,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1903,4,-1.249,2.145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.96,0.27
1,1903,5,-0.374,1.403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.96,0.27
2,1903,6,-0.875,1.767,-0.249,0.657,NaN,NaN,NaN,NaN,NaN,NaN,3.96,0.27
3,1903,7,0.891,2.546,-0.328,0.644,NaN,NaN,NaN,NaN,NaN,NaN,3.96,0.27
4,1903,8,0.413,1.648,-0.373,0.634,NaN,NaN,NaN,NaN,NaN,NaN,3.96,0.27
5,1903,9,-1.738,2.798,-0.345,0.632,NaN,NaN,NaN,NaN,NaN,NaN,3.96,0.27
6,1903,10,-0.044,1.815,-0.280,0.676,NaN,NaN,NaN,NaN,NaN,NaN,3.96,0.27
7,1903,11,-0.043,1.467,-0.421,0.622,NaN,NaN,NaN,NaN,NaN,NaN,3.96,0.27
8,1903,12,-0.131,1.465,-0.267,0.660,NaN,NaN,NaN,NaN,NaN,NaN,3.96,0.27
9,1904,1,-0.610,1.504,-0.511,0.654,NaN,NaN,NaN,NaN,NaN,NaN,3.96,0.27
10,1904,2,-0.320,1.455,-0.572,0.717,NaN,NaN,NaN,NaN,NaN,NaN,3.96,0.27
11,1904,3,-0.062,1.921,-0.481,0.662,NaN,NaN,NaN,NaN,NaN,NaN,3.96,0.27
12,1904,4,-0.464,1.537,-0.601,0.774,NaN,NaN,NaN,NaN,NaN,NaN,3.96,0.27
13,1904,5,-2.073,3.781,-0.528,0.740,NaN,NaN,NaN,NaN,NaN,NaN,3.96,0.27
14,1904,6,0.974,2.510,-0.563,0.790,-0.242,0.304,NaN,NaN,NaN,NaN,3.96,0.27
