,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1903,4,-2.857,3.712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.36,0.71
1,1903,5,-1.736,2.855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.36,0.71
2,1903,6,-2.002,3.654,-0.706,0.756,NaN,NaN,NaN,NaN,NaN,NaN,-1.36,0.71
3,1903,7,0.657,2.428,-0.705,0.716,NaN,NaN,NaN,NaN,NaN,NaN,-1.36,0.71
4,1903,8,1.384,3.593,-0.737,0.683,NaN,NaN,NaN,NaN,NaN,NaN,-1.36,0.71
5,1903,9,-2.732,4.007,-0.696,0.661,NaN,NaN,NaN,NaN,NaN,NaN,-1.36,0.71
6,1903,10,0.184,2.849,-0.559,0.722,NaN,NaN,NaN,NaN,NaN,NaN,-1.36,0.71
7,1903,11,-0.055,1.992,-0.727,0.663,NaN,NaN,NaN,NaN,NaN,NaN,-1.36,0.71
8,1903,12,-0.091,2.215,-0.542,0.772,NaN,NaN,NaN,NaN,NaN,NaN,-1.36,0.71
9,1904,1,-0.406,1.733,-0.785,0.658,NaN,NaN,NaN,NaN,NaN,NaN,-1.36,0.71
10,1904,2,-0.499,1.806,-1.023,0.789,NaN,NaN,NaN,NaN,NaN,NaN,-1.36,0.71
11,1904,3,-0.196,2.041,-0.809,0.658,NaN,NaN,NaN,NaN,NaN,NaN,-1.36,0.71
12,1904,4,-1.210,1.608,-1.071,0.848,NaN,NaN,NaN,NaN,NaN,NaN,-1.36,0.71
13,1904,5,-3.762,5.871,-1.000,0.811,NaN,NaN,NaN,NaN,NaN,NaN,-1.36,0.71
14,1904,6,0.225,2.111,-1.096,0.977,NaN,NaN,NaN,NaN,NaN,NaN,-1.36,0.71
15,1904,7,-2.258,3.742,-1.134,1.069,-0.679,0.328,NaN,NaN,NaN,NaN,-1.36,0.71
16,1904,8,-1.471,2.272,-1.210,1.125,-0.683,0.319,NaN,NaN,NaN,NaN,-1.36,0.71
17,1904,9,-0.167,2.385,-1.227,1.173,-0.673,0.315,NaN,NaN,NaN,NaN,-1.36,0.71
18,1904,10,-2.963,4.609,-1.287,1.290,-0.652,0.311,NaN,NaN,NaN,NaN,-1.36,0.71
19,1904,11,0.793,2.533,-1.090,1.073,-0.630,0.313,NaN,NaN,NaN,NaN,-1.36,0.71
20,1904,12,-1.236,2.161,-1.257,1.388,-0.639,0.310,NaN,NaN,NaN,NaN,-1.36,0.71
21,1905,1,-0.863,1.806,-1.120,1.173,-0.649,0.307,NaN,NaN,NaN,NaN,-1.36,0.71
22,1905,2,-1.418,1.650,-0.860,0.839,-0.655,0.308,NaN,NaN,NaN,NaN,-1.36,0.71
23,1905,3,-0.399,1.722,-0.757,0.773,-0.661,0.305,NaN,NaN,NaN,NaN,-1.36,0.71
24,1905,4,-1.922,2.297,-0.468,0.748,-0.654,0.300,NaN,NaN,NaN,NaN,-1.36,0.71
25,1905,5,-1.406,2.972,-0.518,0.724,-0.645,0.299,NaN,NaN,NaN,NaN,-1.36,0.71
26,1905,6,-1.779,3.501,-0.413,0.788,-0.642,0.300,NaN,NaN,NaN,NaN,-1.36,0.71
27,1905,7,NaN,NaN,-0.345,0.865,-0.646,0.299,NaN,NaN,NaN,NaN,-1.36,0.71
28,1905,8,1.652,4.446,-0.268,0.872,-0.646,0.301,NaN,NaN,NaN,NaN,-1.36,0.71
29,1905,9,1.064,3.841,-0.297,0.842,-0.644,0.309,NaN,NaN,NaN,NaN,-1.36,0.71
30,1905,10,0.515,3.155,-0.057,1.065,-0.590,0.348,NaN,NaN,NaN,NaN,-1.36,0.71
31,1905,11,0.186,1.829,0.085,1.327,-0.535,0.403,-0.348,0.373,NaN,NaN,-1.36,0.71
32,1905,12,0.023,1.773,0.142,1.416,-0.448,0.526,-0.357,0.375,NaN,NaN,-1.36,0.71
33,1906,1,-0.042,1.888,0.109,1.318,-0.489,0.459,-0.360,0.378,NaN,NaN,-1.36,0.71
34,1906,2,-0.492,1.613,0.011,1.107,-0.480,0.476,-0.364,0.378,NaN,NaN,-1.36,0.71
35,1906,3,-0.752,1.688,-0.219,0.820,-0.400,0.597,-0.374,0.379,NaN,NaN,-1.36,0.71
36,1906,4,0.959,2.985,-0.319,0.736,-0.390,0.618,-0.387,0.376,NaN,NaN,-1.36,0.71
37,1906,5,0.302,2.303,-0.343,0.739,-0.387,0.646,-0.379,0.379,NaN,NaN,-1.36,0.71
38,1906,6,-1.102,2.468,-0.354,0.725,-0.394,0.640,-0.373,0.377,NaN,NaN,-1.36,0.71
39,1906,7,-1.005,2.226,-0.420,0.710,-0.395,0.655,-0.367,0.380,NaN,NaN,-1.36,0.71
40,1906,8,0.472,1.891,-0.404,0.734,-0.389,0.662,-0.364,0.380,NaN,NaN,-1.36,0.71
41,1906,9,-1.689,2.618,-0.360,0.789,-0.388,0.663,-0.360,0.380,NaN,NaN,-1.36,0.71
42,1906,10,-0.686,1.704,-0.399,0.798,-0.382,0.670,-0.357,0.377,NaN,NaN,-1.36,0.71
43,1906,11,-0.110,1.991,-0.374,0.872,-0.349,0.724,-0.375,0.375,NaN,NaN,-1.36,0.71
44,1906,12,-0.107,1.754,-0.366,0.948,-0.368,0.690,-0.394,0.378,NaN,NaN,-1.36,0.71
45,1907,1,-0.830,1.661,-0.382,0.976,-0.343,0.723,-0.391,0.376,NaN,NaN,-1.36,0.71
46,1907,2,-0.305,2.365,-0.486,0.947,-0.299,0.789,-0.389,0.377,NaN,NaN,-1.36,0.71
47,1907,3,-0.214,2.111,-0.497,0.976,-0.307,0.766,-0.379,0.372,NaN,NaN,-1.36,0.71
48,1907,4,0.484,3.336,-0.512,1.005,-0.247,0.873,-0.392,0.371,NaN,NaN,-1.36,0.71
49,1907,5,0.602,3.601,-0.563,0.989,-0.261,0.856,-0.390,0.365,NaN,NaN,-1.36,0.71
50,1907,6,-1.002,1.676,-0.641,0.959,-0.246,0.890,-0.386,0.365,NaN,NaN,-1.36,0.71
51,1907,7,-1.203,1.894,-0.628,0.928,-0.217,0.895,-0.404,0.361,NaN,NaN,-1.36,0.71
52,1907,8,NaN,NaN,-0.610,0.873,-0.194,0.891,-0.418,0.361,NaN,NaN,-1.36,0.71
53,1907,9,-1.822,2.209,-0.639,0.885,-0.180,0.884,-0.410,0.358,NaN,NaN,-1.36,0.71
54,1907,10,-0.860,1.612,-0.648,0.866,-0.130,0.906,-0.412,0.356,NaN,NaN,-1.36,0.71
55,1907,11,-0.721,1.861,-0.569,0.863,-0.087,0.944,-0.429,0.354,NaN,NaN,-1.36,0.71
56,1907,12,-1.048,1.623,-0.217,1.306,-0.031,0.999,-0.437,0.352,NaN,NaN,-1.36,0.71
57,1908,1,-0.675,1.610,-0.267,1.149,-0.001,1.002,-0.440,0.349,NaN,NaN,-1.36,0.71
58,1908,2,-0.080,1.773,-0.043,1.450,-0.037,0.927,-0.445,0.349,NaN,NaN,-1.36,0.71
59,1908,3,-0.566,2.320,0.283,1.961,-0.045,0.868,-0.446,0.351,NaN,NaN,-1.36,0.71
60,1908,4,0.375,3.017,0.422,2.263,-0.060,0.835,-0.432,0.375,NaN,NaN,-1.36,0.71
61,1908,5,1.549,3.555,0.488,2.433,-0.040,0.817,-0.404,0.394,-0.378,0.340,-1.36,0.71
62,1908,6,3.224,6.746,0.535,2.499,-0.062,0.813,-0.405,0.414,-0.376,0.334,-1.36,0.71
63,1908,7,-1.804,3.632,0.554,2.635,-0.079,0.801,-0.432,0.396,-0.372,0.330,-1.36,0.71
64,1908,8,1.913,4.810,0.547,2.674,-0.080,0.791,-0.445,0.373,-0.376,0.331,-1.36,0.71
65,1908,9,2.089,5.388,0.583,2.653,-0.084,0.796,-0.419,0.399,-0.371,0.336,-1.36,0.71
66,1908,10,0.804,4.143,0.482,2.478,-0.132,0.751,-0.428,0.379,-0.357,0.335,-1.36,0.71
67,1908,11,0.072,3.476,0.203,2.064,-0.123,0.733,-0.444,0.365,-0.356,0.327,-1.36,0.71
68,1908,12,-0.485,1.891,-0.142,1.482,-0.091,0.766,-0.441,0.356,-0.351,0.338,-1.36,0.71
69,1909,1,-0.441,2.297,-0.057,1.634,-0.060,0.791,-0.438,0.347,-0.348,0.337,-1.36,0.71
70,1909,2,-0.169,2.038,-0.115,1.496,-0.060,0.784,-0.434,0.339,-0.348,0.338,-1.36,0.71
71,1909,3,-0.132,2.134,-0.344,1.144,-0.035,0.822,-0.429,0.330,-0.346,0.337,-1.36,0.71
72,1909,4,-0.833,1.648,-0.357,1.068,-0.033,0.824,-0.406,0.332,-0.346,0.337,-1.36,0.71
73,1909,5,-1.806,2.573,-0.369,0.931,-0.076,0.805,-0.351,0.369,-0.354,0.337,-1.36,0.71
74,1909,6,-0.913,1.902,-0.355,0.918,-0.118,0.809,-0.346,0.365,-0.350,0.337,-1.36,0.71
75,1909,7,-0.777,2.036,-0.248,0.808,-0.103,0.797,-0.335,0.395,-0.340,0.337,-1.36,0.71
76,1909,8,1.216,3.134,-0.233,0.729,-0.094,0.770,-0.322,0.404,-0.333,0.321,-1.36,0.71
77,1909,9,-0.659,1.620,-0.189,0.691,-0.085,0.733,-0.318,0.398,-0.324,0.320,-1.36,0.71
78,1909,10,0.641,3.130,-0.028,0.686,-0.133,0.688,-0.306,0.429,-0.323,0.319,-1.36,0.71
79,1909,11,-0.069,1.826,0.221,0.665,-0.150,0.612,-0.329,0.411,-0.333,0.319,-1.36,0.71
80,1909,12,-0.315,1.804,0.427,0.751,-0.132,0.610,-0.314,0.419,-0.329,0.320,-1.36,0.71
81,1910,1,0.843,2.267,0.593,0.825,-0.160,0.610,-0.311,0.426,-0.324,0.320,-1.36,0.71
82,1910,2,0.011,1.142,0.447,0.592,-0.181,0.603,-0.305,0.421,-0.324,0.320,-1.36,0.71
83,1910,3,0.397,1.082,0.551,0.539,-0.158,0.621,-0.301,0.417,-0.324,0.321,-1.36,0.71
84,1910,4,1.090,1.290,0.466,0.475,-0.171,0.616,-0.288,0.435,-0.320,0.321,-1.36,0.71
85,1910,5,1.191,3.632,0.585,0.481,-0.214,0.599,-0.282,0.458,-0.321,0.315,-1.36,0.71
86,1910,6,1.559,2.928,0.505,0.475,-0.232,0.598,-0.277,0.484,-0.323,0.308,-1.36,0.71
87,1910,7,1.208,0.984,0.348,0.458,-0.233,0.586,-0.277,0.494,-0.322,0.311,-1.36,0.71
88,1910,8,-0.534,2.105,0.300,0.485,-0.244,0.570,-0.306,0.465,-0.323,0.300,-1.36,0.71
89,1910,9,0.593,1.457,0.186,0.494,-0.249,0.544,-0.317,0.439,-0.320,0.316,-1.36,0.71
90,1910,10,-0.384,1.690,-0.067,0.520,-0.274,0.510,-0.321,0.420,-0.336,0.314,-1.36,0.71
91,1910,11,1.365,2.395,-0.098,0.588,-0.273,0.464,-0.291,0.455,-0.336,0.315,-1.36,0.71
92,1910,12,-1.274,1.613,-0.157,0.560,-0.362,0.360,-0.288,0.461,-0.336,0.323,-1.36,0.71
93,1911,1,-1.044,1.452,-0.187,0.583,-0.374,0.396,-0.282,0.467,-0.338,0.321,-1.36,0.71
94,1911,2,-0.570,1.731,-0.103,0.569,-0.409,0.334,-0.280,0.468,-0.341,0.316,-1.36,0.71
95,1911,3,-0.970,1.465,-0.166,0.724,-0.437,0.266,-0.293,0.453,-0.344,0.315,-1.36,0.71
96,1911,4,-1.950,1.546,-0.185,0.664,-0.466,0.223,-0.304,0.466,-0.346,0.306,-1.36,0.71
97,1911,5,0.828,1.579,-0.522,0.925,-0.500,0.198,-0.313,0.496,-0.353,0.308,-1.36,0.71
98,1911,6,0.842,4.055,-0.635,1.178,-0.488,0.192,-0.305,0.506,-0.350,0.293,-1.36,0.71
99,1911,7,0.848,0.860,-0.541,1.138,-0.482,0.183,-0.315,0.494,-0.346,0.302,-1.36,0.71
100,1911,8,0.478,2.645,-0.474,1.162,-0.480,0.195,-0.326,0.470,-0.351,0.314,-1.36,0.71
101,1911,9,-0.167,2.677,-0.364,0.936,-0.470,0.216,-0.315,0.517,-0.352,0.313,-1.36,0.71
102,1911,10,-0.606,0.948,-0.402,0.980,-0.430,0.230,-0.320,0.514,-0.354,0.296,-1.36,0.71
103,1911,11,-2.675,2.272,-0.507,0.572,-0.352,0.232,-0.314,0.521,-0.359,0.292,-1.36,0.71
104,1911,12,-2.636,3.535,-0.571,0.322,-0.323,0.255,-0.308,0.541,-0.363,0.285,-1.36,0.71
105,1912,1,0.083,0.942,-0.881,0.380,-0.326,0.302,-0.299,0.553,-0.362,0.284,-1.36,0.71
106,1912,2,0.233,0.977,-1.090,0.663,-0.345,0.309,-0.299,0.554,-0.366,0.281,-1.36,0.71
107,1912,3,0.348,3.079,-1.116,0.813,-0.328,0.350,-0.292,0.560,-0.364,0.285,-1.36,0.71
108,1912,4,-2.403,0.935,-1.198,0.801,-0.364,0.412,-0.297,0.535,-0.358,0.297,-1.36,0.71
109,1912,5,-0.433,5.305,-1.253,0.818,-0.396,0.409,-0.294,0.500,-0.365,0.293,-1.36,0.71
110,1912,6,0.075,2.933,-1.213,0.961,-0.383,0.439,-0.277,0.520,-0.367,0.287,-1.36,0.71
111,1912,7,-2.867,1.762,-1.280,1.083,-0.405,0.443,-0.262,0.500,-0.353,0.286,-1.36,0.71
112,1912,8,-2.036,2.323,-1.359,1.166,-0.416,0.439,-0.263,0.482,-0.348,0.297,-1.36,0.71
113,1912,9,-0.474,1.045,-1.462,0.998,-0.422,0.442,-0.271,0.495,-0.345,0.293,-1.36,0.71
114,1912,10,-1.592,0.917,-1.355,0.906,-0.445,0.468,-0.267,0.479,-0.347,0.285,-1.36,0.71
115,1912,11,-3.339,2.002,-1.182,0.574,-0.478,0.569,-0.245,0.490,-0.335,0.291,-1.36,0.71
116,1912,12,-2.148,1.817,-1.364,0.580,-0.522,0.650,-0.235,0.496,-0.329,0.291,-1.36,0.71
117,1913,1,-0.726,2.235,-1.338,0.454,-0.554,0.697,-0.218,0.507,-0.331,0.281,-1.36,0.71
118,1913,2,-0.714,1.412,-1.185,0.361,-0.574,0.645,-0.211,0.520,-0.330,0.284,-1.36,0.71
119,1913,3,-0.884,1.189,-1.113,0.335,-0.588,0.617,-0.202,0.524,-0.335,0.270,-1.36,0.71
120,1913,4,-1.120,1.804,-1.057,0.358,-0.583,0.615,-0.196,0.529,-0.327,0.269,-1.36,0.71
121,1913,5,1.635,1.163,-0.943,0.463,-0.542,0.695,-0.221,0.523,-0.314,0.266,-1.36,0.71
122,1913,6,-2.106,2.886,-0.741,0.558,-0.513,0.726,-0.241,0.512,-0.305,0.260,-1.36,0.71
123,1913,7,-2.554,1.171,-0.690,0.432,-0.485,0.759,-0.221,0.502,-0.308,0.254,-1.36,0.71
124,1913,8,-0.195,2.641,-0.633,0.483,-0.480,0.765,-0.245,0.507,-0.320,0.247,-1.36,0.71
125,1913,9,0.391,1.168,-0.520,0.535,-0.502,0.725,-0.258,0.526,-0.319,0.264,-1.36,0.71
126,1913,10,-0.925,1.680,-0.299,0.736,-0.477,0.791,-0.247,0.536,-0.329,0.249,-1.36,0.71
127,1913,11,-1.971,1.106,-0.196,0.774,-0.503,0.891,-0.254,0.528,-0.334,0.243,-1.36,0.71
128,1913,12,0.277,0.879,0.048,0.728,-0.519,0.974,-0.243,0.555,-0.343,0.236,-1.36,0.71
129,1914,1,-0.119,0.960,0.182,1.070,-0.571,0.936,-0.240,0.560,-0.346,0.231,-1.36,0.71
130,1914,2,-0.021,1.785,0.207,1.281,-0.591,0.930,-0.243,0.564,-0.357,0.225,-1.36,0.71
131,1914,3,0.471,1.775,0.201,1.445,-0.596,1.089,-0.242,0.570,-0.357,0.232,-1.36,0.71
132,1914,4,1.533,1.601,0.152,1.581,-0.607,1.078,-0.243,0.570,-0.364,0.231,-1.36,0.71
133,1914,5,2.864,1.423,0.152,1.500,-0.551,1.138,-0.244,0.564,-0.354,0.239,-1.36,0.71
134,1914,6,0.829,2.401,0.169,1.630,-0.498,1.240,-0.230,0.559,-0.353,0.239,-1.36,0.71
135,1914,7,-0.951,4.082,0.137,1.825,-0.495,1.266,-0.206,0.551,-0.357,0.242,-1.36,0.71
136,1914,8,0.108,0.782,0.084,1.652,-0.503,1.284,-0.204,0.523,-0.348,0.243,-1.36,0.71
137,1914,9,0.322,2.995,0.049,1.589,-0.500,1.261,-0.188,0.521,-0.349,0.240,-1.36,0.71
138,1914,10,-1.515,3.240,-0.103,1.693,-0.462,1.223,-0.196,0.528,-0.338,0.240,-1.36,0.71
139,1914,11,-1.974,0.987,-0.405,1.842,-0.438,1.072,-0.217,0.533,-0.343,0.240,-1.36,0.71
140,1914,12,0.487,1.885,-0.566,1.848,-0.422,1.067,-0.214,0.537,-0.344,0.233,-1.36,0.71
141,1915,1,-0.513,2.448,-0.547,1.719,-0.364,1.000,-0.224,0.522,-0.345,0.229,-1.36,0.71
142,1915,2,-0.651,0.977,-0.700,1.605,-0.345,0.934,-0.228,0.526,-0.344,0.226,-1.36,0.71
143,1915,3,0.054,1.189,-0.747,1.327,-0.383,0.971,-0.232,0.523,-0.346,0.226,-1.36,0.71
144,1915,4,-0.298,2.784,-0.625,1.059,-0.364,0.934,-0.234,0.518,-0.337,0.225,-1.36,0.71
