,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1881,1,-0.172,4.558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.80,0.76
1,1881,2,-1.186,4.398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.80,0.76
2,1881,3,-0.262,4.394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.80,0.76
3,1881,4,0.186,4.308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.80,0.76
4,1881,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.80,0.76
5,1881,6,-0.484,4.325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.80,0.76
6,1881,7,0.026,4.333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.80,0.76
7,1881,8,0.297,4.306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.80,0.76
8,1881,9,-0.688,4.327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.80,0.76
9,1881,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.80,0.76
10,1881,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.80,0.76
11,1881,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.80,0.76
12,1882,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.80,0.76
13,1882,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.80,0.76
14,1882,3,0.075,4.292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.80,0.76
15,1882,4,-0.657,4.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.80,0.76
16,1882,5,-0.861,4.286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.80,0.76
17,1882,6,NaN,NaN,-0.126,1.759,NaN,NaN,NaN,NaN,NaN,NaN,-4.80,0.76
18,1882,7,-0.419,4.308,-0.251,1.743,NaN,NaN,NaN,NaN,NaN,NaN,-4.80,0.76
19,1882,8,1.237,4.461,-0.312,1.748,NaN,NaN,NaN,NaN,NaN,NaN,-4.80,0.76
20,1882,9,0.076,4.313,-0.360,1.744,NaN,NaN,NaN,NaN,NaN,NaN,-4.80,0.76
21,1882,10,-0.060,4.362,-0.225,1.764,-0.299,0.988,NaN,NaN,NaN,NaN,-4.80,0.76
22,1882,11,-1.861,4.528,-0.170,1.791,-0.307,0.987,NaN,NaN,NaN,NaN,-4.80,0.76
23,1882,12,-1.095,4.296,-0.050,1.801,-0.332,0.987,NaN,NaN,NaN,NaN,-4.80,0.76
24,1883,1,0.339,4.464,-0.039,1.795,-0.324,0.989,NaN,NaN,NaN,NaN,-4.80,0.76
25,1883,2,-0.638,4.621,-0.211,1.760,-0.327,0.990,NaN,NaN,NaN,NaN,-4.80,0.76
26,1883,3,-0.503,4.284,-0.243,1.751,-0.342,0.989,NaN,NaN,NaN,NaN,-4.80,0.76
27,1883,4,0.958,4.556,-0.267,1.741,-0.349,0.988,NaN,NaN,NaN,NaN,-4.80,0.76
28,1883,5,-0.200,4.515,-0.106,1.784,-0.353,0.985,NaN,NaN,NaN,NaN,-4.80,0.76
