,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1881,1,0.915,4.966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-10.07,1.53
1,1881,2,-0.617,4.510,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-10.07,1.53
2,1881,3,-1.602,4.593,-0.658,2.031,NaN,NaN,NaN,NaN,NaN,NaN,-10.07,1.53
3,1881,4,-0.050,4.784,-0.642,2.034,NaN,NaN,NaN,NaN,NaN,NaN,-10.07,1.53
4,1881,5,-0.758,4.805,-0.550,2.024,NaN,NaN,NaN,NaN,NaN,NaN,-10.07,1.53
5,1881,6,-1.581,4.533,-0.481,2.027,NaN,NaN,NaN,NaN,NaN,NaN,-10.07,1.53
6,1881,7,0.087,4.591,-0.470,2.040,NaN,NaN,NaN,NaN,NaN,NaN,-10.07,1.53
7,1881,8,-0.233,4.509,-0.468,2.050,NaN,NaN,NaN,NaN,NaN,NaN,-10.07,1.53
8,1881,9,-0.828,4.619,-0.390,2.054,NaN,NaN,NaN,NaN,NaN,NaN,-10.07,1.53
9,1881,10,NaN,NaN,-0.395,2.044,NaN,NaN,NaN,NaN,NaN,NaN,-10.07,1.53
10,1881,11,-0.513,4.744,-0.366,2.035,NaN,NaN,NaN,NaN,NaN,NaN,-10.07,1.53
11,1881,12,NaN,NaN,-0.310,2.033,NaN,NaN,NaN,NaN,NaN,NaN,-10.07,1.53
12,1882,1,1.048,4.914,-0.342,2.029,NaN,NaN,NaN,NaN,NaN,NaN,-10.07,1.53
13,1882,2,-0.594,4.764,-0.268,2.021,NaN,NaN,NaN,NaN,NaN,NaN,-10.07,1.53
14,1882,3,-0.661,4.417,-0.199,2.025,NaN,NaN,NaN,NaN,NaN,NaN,-10.07,1.53
15,1882,4,-0.106,4.451,-0.228,2.002,NaN,NaN,NaN,NaN,NaN,NaN,-10.07,1.53
16,1882,5,-0.421,4.411,-0.498,1.986,-0.605,1.178,NaN,NaN,NaN,NaN,-10.07,1.53
17,1882,6,-0.900,4.540,-0.571,1.971,-0.632,1.174,NaN,NaN,NaN,NaN,-10.07,1.53
18,1882,7,-0.299,4.466,-0.636,1.959,-0.651,1.167,NaN,NaN,NaN,NaN,-10.07,1.53
19,1882,8,0.651,4.639,-0.597,1.985,-0.642,1.162,NaN,NaN,NaN,NaN,-10.07,1.53
20,1882,9,0.001,4.481,-0.550,1.982,-0.637,1.160,NaN,NaN,NaN,NaN,-10.07,1.53
21,1882,10,-0.488,4.652,-0.462,2.005,-0.636,1.157,NaN,NaN,NaN,NaN,-10.07,1.53
22,1882,11,-3.752,4.861,-0.431,2.038,-0.651,1.156,NaN,NaN,NaN,NaN,-10.07,1.53
23,1882,12,-1.328,4.701,-0.316,2.102,-0.659,1.156,NaN,NaN,NaN,NaN,-10.07,1.53
24,1883,1,0.269,4.684,-0.363,2.078,-0.658,1.157,NaN,NaN,NaN,NaN,-10.07,1.53
25,1883,2,-0.126,4.987,-0.523,2.034,-0.666,1.157,NaN,NaN,NaN,NaN,-10.07,1.53
26,1883,3,-0.095,4.693,-0.610,2.031,-0.688,1.154,NaN,NaN,NaN,NaN,-10.07,1.53
27,1883,4,0.949,4.673,-0.659,2.002,-0.708,1.154,NaN,NaN,NaN,NaN,-10.07,1.53
28,1883,5,-0.054,4.559,-0.331,2.081,-0.727,1.152,NaN,NaN,NaN,NaN,-10.07,1.53
29,1883,6,0.476,4.600,-0.211,2.087,-0.698,1.148,NaN,NaN,NaN,NaN,-10.07,1.53
