,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1857,3,-1.798,2.087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
1,1857,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
2,1857,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
3,1857,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
4,1857,7,0.342,2.930,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
5,1857,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
6,1857,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
7,1857,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
8,1857,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
9,1857,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
10,1858,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
11,1858,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
12,1858,3,-1.472,2.564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
13,1858,4,0.363,1.490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
14,1858,5,-0.178,1.559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
15,1858,6,1.170,2.027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
16,1858,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
17,1858,8,0.231,2.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
18,1858,9,0.584,1.316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
19,1858,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
20,1858,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
21,1858,12,-1.763,2.949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
22,1859,1,-1.103,2.699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
23,1859,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
24,1859,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
25,1859,4,1.238,2.195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
26,1859,5,1.815,2.058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
27,1859,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
28,1859,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
29,1859,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
30,1859,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
31,1859,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
32,1859,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
33,1859,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
34,1860,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
35,1860,2,-0.969,2.571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
36,1860,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
37,1860,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
38,1860,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
39,1860,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
40,1860,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
41,1860,8,-0.071,2.618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
42,1860,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
43,1860,10,-1.658,3.481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
44,1860,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
45,1860,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
46,1861,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
47,1861,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
48,1861,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
49,1861,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
50,1861,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
51,1861,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
52,1861,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
53,1861,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
54,1861,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
55,1861,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
56,1861,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.22
