,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1849,1,0.329,3.010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
1,1849,2,0.347,1.628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
2,1849,3,0.380,1.402,-0.477,0.912,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
3,1849,4,-0.909,2.160,-0.503,0.830,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
4,1849,5,-0.870,1.821,-0.436,0.691,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
5,1849,6,-1.144,1.794,-0.477,0.551,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
6,1849,7,-1.555,0.845,-0.485,0.500,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
7,1849,8,-1.381,1.368,-0.463,0.504,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
8,1849,9,-1.162,0.743,-0.480,0.604,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
9,1849,10,-0.316,0.819,-0.438,0.605,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
10,1849,11,0.131,2.622,-0.428,0.653,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
11,1849,12,0.424,2.065,-0.369,0.715,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
12,1850,1,0.242,2.326,-0.329,0.693,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
13,1850,2,0.600,2.196,-0.323,0.687,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
14,1850,3,0.181,2.432,-0.324,0.847,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
15,1850,4,-0.408,2.133,-0.351,0.950,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
16,1850,5,-0.743,1.958,-0.376,1.221,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
17,1850,6,-0.444,1.126,-0.361,1.387,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
18,1850,7,-1.074,1.685,-0.363,1.364,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
19,1850,8,-1.302,1.981,-0.380,1.335,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
20,1850,9,-1.180,2.740,-0.373,1.264,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
21,1850,10,-0.640,2.102,-0.326,1.181,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
22,1850,11,-0.167,1.850,-0.304,1.105,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
23,1850,12,0.603,4.192,-0.352,1.165,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
24,1851,1,0.213,0.956,-0.348,1.283,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
25,1851,2,0.405,1.788,-0.349,1.313,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
26,1851,3,0.262,1.186,-0.318,1.177,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
27,1851,4,0.157,1.275,-0.306,1.096,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
28,1851,5,-0.475,0.997,-0.329,1.090,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
29,1851,6,-1.024,2.031,-0.347,0.988,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
30,1851,7,-1.027,1.943,-0.401,1.042,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
31,1851,8,-1.315,1.857,-0.440,1.204,NaN,NaN,NaN,NaN,NaN,NaN,21.47,0.53
