,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1863,1,-0.558,2.750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.67,0.29
1,1863,2,-0.080,1.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.67,0.29
2,1863,3,-0.729,1.330,-0.620,0.790,NaN,NaN,NaN,NaN,NaN,NaN,30.67,0.29
3,1863,4,-1.299,2.479,-0.706,0.802,NaN,NaN,NaN,NaN,NaN,NaN,30.67,0.29
4,1863,5,-1.177,2.252,-0.704,0.684,NaN,NaN,NaN,NaN,NaN,NaN,30.67,0.29
5,1863,6,-0.209,2.183,-0.760,0.454,NaN,NaN,NaN,NaN,NaN,NaN,30.67,0.29
6,1863,7,-1.077,3.394,-0.768,0.570,NaN,NaN,NaN,NaN,NaN,NaN,30.67,0.29
7,1863,8,-0.929,3.531,-0.788,0.610,NaN,NaN,NaN,NaN,NaN,NaN,30.67,0.29
8,1863,9,-0.820,1.683,-0.864,0.596,NaN,NaN,NaN,NaN,NaN,NaN,30.67,0.29
9,1863,10,-0.565,1.219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.67,0.29
10,1863,11,-0.614,2.376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.67,0.29
11,1863,12,-1.057,4.226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.67,0.29
12,1864,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.67,0.29
13,1864,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.67,0.29
14,1864,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.67,0.29
15,1864,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.67,0.29
16,1864,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.67,0.29
17,1864,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.67,0.29
18,1864,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.67,0.29
19,1864,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.67,0.29
20,1864,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.67,0.29
21,1864,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.67,0.29
