,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1863,1,0.672,1.843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
1,1863,2,1.283,1.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
2,1863,3,1.093,2.240,-0.045,0.651,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
3,1863,4,-0.204,1.475,0.010,0.633,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
4,1863,5,0.020,1.691,0.039,0.645,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
5,1863,6,0.281,1.665,0.009,0.594,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
6,1863,7,-0.187,1.433,-0.068,0.662,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
7,1863,8,-0.241,2.352,-0.067,0.715,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
8,1863,9,-0.625,1.395,-0.251,0.724,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
9,1863,10,-0.498,2.235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
10,1863,11,-0.656,1.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
11,1863,12,-0.834,1.533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
12,1864,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
13,1864,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
14,1864,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
15,1864,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
16,1864,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
17,1864,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
18,1864,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
19,1864,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
20,1864,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
21,1864,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
22,1864,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
23,1864,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
24,1865,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
25,1865,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
26,1865,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.14,0.28
