,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,0.054,2.506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
1,1814,2,-4.524,2.730,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
2,1814,3,-0.140,2.150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
3,1814,4,2.657,1.354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
4,1814,5,-0.571,1.165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
5,1814,6,0.535,1.323,0.311,1.300,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
6,1814,7,1.737,1.304,0.229,1.254,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
7,1814,8,0.648,1.142,0.769,1.129,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
8,1814,9,-1.549,1.222,0.972,1.011,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
9,1814,10,-0.073,1.209,0.905,0.998,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
10,1814,11,2.080,2.310,1.232,1.027,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
11,1814,12,2.875,1.140,1.306,1.001,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
12,1815,1,-0.929,1.884,1.168,0.963,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
13,1815,2,1.964,1.335,1.126,0.975,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
14,1815,3,2.292,0.990,1.355,1.020,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
15,1815,4,1.853,1.224,1.571,1.085,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
16,1815,5,3.350,1.442,1.331,0.967,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
17,1815,6,1.424,1.050,0.948,0.980,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
18,1815,7,0.085,1.033,1.126,0.960,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
19,1815,8,0.138,1.253,0.762,0.924,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
20,1815,9,1.196,1.612,0.543,0.900,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
21,1815,10,2.525,1.945,0.439,0.898,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
22,1815,11,-0.807,1.089,0.250,0.889,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
23,1815,12,-1.718,1.272,0.182,0.939,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
24,1816,1,1.212,1.738,0.220,1.038,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
25,1816,2,-2.404,1.171,0.161,1.044,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
26,1816,3,-0.343,0.971,0.077,1.033,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
27,1816,4,0.610,1.189,-0.032,0.972,NaN,NaN,NaN,NaN,NaN,NaN,11.09,2.63
