,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1880,8,-0.235,0.995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
1,1880,9,0.026,1.726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
2,1880,10,-0.228,0.928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
3,1880,11,-0.248,0.854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
4,1880,12,-0.001,1.343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
5,1881,1,-0.426,1.106,0.004,0.569,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
6,1881,2,0.076,1.097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
7,1881,3,0.519,1.508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
8,1881,4,0.640,0.844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
9,1881,5,0.393,0.913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
10,1881,6,-0.625,0.841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
11,1881,7,0.153,0.942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
12,1881,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
13,1881,9,0.198,1.361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
14,1881,10,0.355,1.304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
15,1881,11,-0.230,1.122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
16,1881,12,-0.246,0.955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
17,1882,1,0.436,0.790,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
18,1882,2,0.320,0.865,-0.080,0.451,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
19,1882,3,-0.197,0.993,-0.096,0.421,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
20,1882,4,-0.112,0.865,-0.154,0.400,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
21,1882,5,0.315,0.999,-0.205,0.381,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
22,1882,6,-0.565,0.766,-0.267,0.394,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
23,1882,7,-0.937,1.055,-0.338,0.449,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
24,1882,8,-0.294,0.837,-0.404,0.520,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
25,1882,9,0.006,0.894,-0.390,0.533,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
26,1882,10,-0.344,0.916,-0.386,0.550,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
27,1882,11,-0.845,0.897,-0.424,0.505,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
28,1882,12,-0.987,1.395,-0.389,0.497,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
29,1883,1,-0.422,1.145,-0.429,0.429,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
30,1883,2,-0.466,1.536,-0.440,0.446,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
31,1883,3,-0.034,0.913,-0.464,0.457,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
32,1883,4,-0.065,0.998,-0.428,0.427,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
33,1883,5,-0.133,0.787,-0.420,0.444,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
34,1883,6,-0.149,0.840,-0.378,0.392,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
35,1883,7,-1.422,2.288,-0.382,0.354,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
36,1883,8,-0.416,0.764,-0.380,0.346,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
37,1883,9,-0.291,1.124,-0.422,0.345,NaN,NaN,NaN,NaN,NaN,NaN,26.83,0.21
