,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1880,8,-0.448,1.781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
1,1880,9,0.598,1.604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
2,1880,10,0.441,1.589,-0.034,0.714,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
3,1880,11,-0.205,1.230,0.015,0.758,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
4,1880,12,-0.593,2.141,-0.044,0.745,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
5,1881,1,-1.123,0.905,-0.016,0.743,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
6,1881,2,-0.332,1.147,0.041,0.812,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
7,1881,3,0.238,1.486,0.003,0.795,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
8,1881,4,0.984,1.853,0.037,0.831,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
9,1881,5,0.554,1.275,0.052,0.847,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
10,1881,6,-0.577,1.164,0.054,0.770,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
11,1881,7,0.266,1.058,0.155,0.792,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
12,1881,8,0.236,0.971,0.171,0.782,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
13,1881,9,0.142,1.452,0.078,0.715,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
14,1881,10,0.856,2.271,0.013,0.696,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
15,1881,11,-0.034,1.571,-0.001,0.734,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
16,1881,12,-0.559,1.457,-0.005,0.778,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
17,1882,1,0.080,1.106,-0.076,0.758,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
18,1882,2,-0.140,1.060,-0.101,0.751,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
19,1882,3,-0.871,1.015,-0.089,0.702,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
20,1882,4,0.207,1.443,-0.131,0.627,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
21,1882,5,0.379,1.464,-0.116,0.597,-0.172,0.549,NaN,NaN,NaN,NaN,31.47,0.83
22,1882,6,-0.622,0.990,-0.133,0.614,-0.162,0.568,NaN,NaN,NaN,NaN,31.47,0.83
23,1882,7,-0.591,1.087,-0.176,0.654,-0.166,0.589,NaN,NaN,NaN,NaN,31.47,0.83
24,1882,8,-0.057,1.276,-0.227,0.685,-0.154,0.609,NaN,NaN,NaN,NaN,31.47,0.83
25,1882,9,0.282,1.062,-0.192,0.768,-0.155,0.619,NaN,NaN,NaN,NaN,31.47,0.83
26,1882,10,0.349,1.173,-0.184,0.766,-0.143,0.653,NaN,NaN,NaN,NaN,31.47,0.83
27,1882,11,0.151,1.375,-0.228,0.708,-0.151,0.660,NaN,NaN,NaN,NaN,31.47,0.83
28,1882,12,-0.759,1.398,-0.161,0.661,-0.161,0.670,NaN,NaN,NaN,NaN,31.47,0.83
29,1883,1,-0.444,1.478,-0.192,0.574,-0.154,0.674,NaN,NaN,NaN,NaN,31.47,0.83
30,1883,2,-0.753,1.732,-0.200,0.589,-0.120,0.701,NaN,NaN,NaN,NaN,31.47,0.83
31,1883,3,-0.449,1.739,-0.209,0.597,-0.129,0.684,NaN,NaN,NaN,NaN,31.47,0.83
32,1883,4,0.307,1.357,-0.169,0.670,-0.126,0.670,NaN,NaN,NaN,NaN,31.47,0.83
33,1883,5,-0.154,1.194,-0.179,0.705,-0.120,0.665,NaN,NaN,NaN,NaN,31.47,0.83
34,1883,6,0.189,1.473,-0.165,0.724,-0.112,0.657,NaN,NaN,NaN,NaN,31.47,0.83
35,1883,7,-0.968,2.452,-0.174,0.661,-0.102,0.676,NaN,NaN,NaN,NaN,31.47,0.83
36,1883,8,-0.150,1.138,-0.164,0.577,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
37,1883,9,0.177,1.267,-0.165,0.543,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
38,1883,10,0.820,2.021,-0.211,0.512,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
39,1883,11,0.040,1.752,-0.229,0.520,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
40,1883,12,-0.600,1.658,-0.311,0.542,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
41,1884,1,-0.545,0.937,-0.246,0.715,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
42,1884,2,-0.637,0.961,-0.242,0.737,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
43,1884,3,-0.454,1.335,-0.231,0.796,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
44,1884,4,-0.247,1.024,-0.331,0.694,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
45,1884,5,-0.370,1.116,-0.368,0.672,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
46,1884,6,-0.798,1.265,-0.374,0.696,NaN,NaN,NaN,NaN,NaN,NaN,31.47,0.83
47,1884,7,-0.188,1.270,-0.397,0.813,-0.109,0.700,NaN,NaN,NaN,NaN,31.47,0.83
48,1884,8,-0.108,1.016,-0.346,0.956,-0.108,0.727,NaN,NaN,NaN,NaN,31.47,0.83
49,1884,9,0.317,1.987,-0.380,0.924,-0.100,0.753,-0.089,0.625,NaN,NaN,31.47,0.83
50,1884,10,-0.382,1.007,-0.299,1.043,-0.101,0.753,-0.081,0.626,NaN,NaN,31.47,0.83
51,1884,11,-0.406,1.404,-0.309,1.044,-0.096,0.753,-0.081,0.631,NaN,NaN,31.47,0.83
52,1884,12,-0.676,1.668,NaN,NaN,-0.099,0.763,-0.072,0.628,NaN,NaN,31.47,0.83
53,1885,1,-0.815,2.197,NaN,NaN,-0.099,0.761,-0.071,0.632,NaN,NaN,31.47,0.83
54,1885,2,-0.030,1.876,NaN,NaN,-0.110,0.754,-0.064,0.635,NaN,NaN,31.47,0.83
55,1885,3,-0.859,1.033,NaN,NaN,-0.118,0.757,-0.062,0.644,NaN,NaN,31.47,0.83
56,1885,4,0.723,2.390,NaN,NaN,-0.122,0.753,-0.062,0.653,NaN,NaN,31.47,0.83
57,1885,5,-0.490,1.152,NaN,NaN,-0.120,0.759,-0.063,0.652,NaN,NaN,31.47,0.83
58,1885,6,NaN,NaN,NaN,NaN,-0.120,0.759,-0.069,0.655,NaN,NaN,31.47,0.83
59,1885,7,NaN,NaN,NaN,NaN,-0.129,0.763,-0.077,0.646,NaN,NaN,31.47,0.83
60,1885,8,NaN,NaN,NaN,NaN,-0.132,0.766,-0.083,0.646,NaN,NaN,31.47,0.83
61,1885,9,NaN,NaN,NaN,NaN,-0.135,0.775,-0.088,0.645,NaN,NaN,31.47,0.83
62,1885,10,NaN,NaN,NaN,NaN,-0.131,0.796,-0.090,0.634,NaN,NaN,31.47,0.83
63,1885,11,0.167,1.190,NaN,NaN,-0.129,0.823,-0.086,0.632,NaN,NaN,31.47,0.83
64,1885,12,-0.117,1.511,NaN,NaN,-0.132,0.844,-0.084,0.624,-0.184,0.389,31.47,0.83
65,1886,1,-0.547,1.581,NaN,NaN,-0.105,0.869,-0.076,0.633,-0.182,0.391,31.47,0.83
66,1886,2,-0.765,1.274,NaN,NaN,-0.091,0.878,-0.075,0.635,-0.181,0.391,31.47,0.83
67,1886,3,0.051,2.929,0.112,0.890,-0.087,0.874,-0.082,0.627,-0.178,0.388,31.47,0.83
68,1886,4,0.537,2.981,0.149,0.937,-0.096,0.847,-0.092,0.614,-0.175,0.386,31.47,0.83
69,1886,5,0.258,1.059,0.170,0.935,-0.092,0.839,-0.103,0.602,-0.173,0.385,31.47,0.83
70,1886,6,0.321,1.167,0.134,0.906,-0.081,0.844,-0.103,0.602,-0.168,0.381,31.47,0.83
71,1886,7,0.778,1.117,0.123,0.940,-0.079,0.850,-0.105,0.598,-0.165,0.380,31.47,0.83
72,1886,8,0.091,1.430,0.177,1.051,-0.066,0.881,-0.109,0.598,-0.165,0.378,31.47,0.83
73,1886,9,-0.032,1.113,0.142,0.991,-0.060,0.872,-0.106,0.598,-0.164,0.379,31.47,0.83
74,1886,10,1.040,1.376,0.109,0.887,-0.052,0.874,-0.113,0.581,-0.164,0.377,31.47,0.83
75,1886,11,0.423,1.110,0.145,0.936,-0.038,0.877,-0.113,0.575,-0.164,0.377,31.47,0.83
76,1886,12,-0.546,1.416,0.051,0.983,-0.028,0.872,-0.108,0.567,-0.168,0.381,31.47,0.83
77,1887,1,-0.679,1.970,-0.064,0.936,-0.024,0.819,-0.121,0.561,-0.172,0.384,31.47,0.83
78,1887,2,-0.117,2.899,-0.132,0.910,-0.021,0.782,-0.123,0.556,-0.176,0.386,31.47,0.83
79,1887,3,-0.374,2.297,-0.144,0.953,-0.019,0.761,-0.122,0.555,-0.177,0.385,31.47,0.83
80,1887,4,0.144,1.671,-0.222,0.921,0.002,0.759,-0.119,0.550,-0.177,0.384,31.47,0.83
81,1887,5,0.691,1.553,-0.237,0.973,0.011,0.754,-0.118,0.542,-0.177,0.382,31.47,0.83
82,1887,6,-0.811,1.232,-0.255,0.998,0.017,0.730,-0.112,0.542,-0.176,0.381,31.47,0.83
83,1887,7,-0.595,1.273,-0.278,1.019,0.025,0.715,-0.110,0.546,-0.177,0.382,31.47,0.83
84,1887,8,-0.725,1.504,-0.346,0.913,0.025,0.700,-0.115,0.544,-0.181,0.385,31.47,0.83
85,1887,9,-0.181,1.285,-0.368,0.915,0.030,0.708,-0.120,0.541,-0.180,0.389,31.47,0.83
86,1887,10,0.104,1.152,-0.335,1.000,0.019,0.688,-0.122,0.537,-0.179,0.390,31.47,0.83
87,1887,11,0.242,1.772,-0.396,1.050,0.025,0.681,-0.128,0.535,-0.180,0.391,31.47,0.83
88,1887,12,-0.754,1.830,-0.324,1.051,0.022,0.676,-0.130,0.520,-0.181,0.391,31.47,0.83
89,1888,1,-0.966,2.011,-0.220,1.041,-0.000,0.656,-0.138,0.515,-0.180,0.388,31.47,0.83
90,1888,2,-0.927,1.636,-0.103,1.167,-0.046,0.632,-0.139,0.506,-0.182,0.388,31.47,0.83
91,1888,3,-0.638,2.317,-0.056,1.182,-0.047,0.649,-0.142,0.497,-0.187,0.386,31.47,0.83
92,1888,4,0.536,2.630,-0.041,1.147,-0.054,0.648,-0.150,0.488,-0.190,0.385,31.47,0.83
93,1888,5,-0.042,2.022,-0.038,1.105,-0.053,0.644,-0.153,0.483,-0.190,0.382,31.47,0.83
94,1888,6,0.060,1.140,0.030,1.135,-0.056,0.641,-0.160,0.488,-0.189,0.381,31.47,0.83
95,1888,7,0.651,1.177,0.076,1.045,-0.050,0.641,-0.156,0.503,-0.189,0.381,31.47,0.83
96,1888,8,0.682,1.169,0.166,1.080,-0.040,0.641,-0.159,0.502,-0.192,0.382,31.47,0.83
97,1888,9,0.384,1.039,0.211,0.939,-0.052,0.604,-0.161,0.498,-0.192,0.383,31.47,0.83
98,1888,10,0.281,0.936,0.185,0.818,-0.064,0.564,-0.170,0.481,-0.196,0.382,31.47,0.83
99,1888,11,0.277,1.302,0.230,0.739,-0.082,0.541,-0.176,0.478,-0.200,0.379,31.47,0.83
100,1888,12,0.064,1.943,0.207,0.667,-0.095,0.532,-0.177,0.479,-0.201,0.378,31.47,0.83
101,1889,1,-0.418,1.359,0.158,0.572,-0.109,0.519,-0.182,0.480,-0.206,0.375,31.47,0.83
102,1889,2,0.156,2.017,0.103,0.523,-0.113,0.521,-0.184,0.485,-0.209,0.373,31.47,0.83
103,1889,3,-0.097,1.211,0.108,0.532,-0.105,0.536,-0.190,0.479,-0.209,0.371,31.47,0.83
104,1889,4,0.221,1.391,0.161,0.573,-0.122,0.517,-0.195,0.481,-0.209,0.367,31.47,0.83
105,1889,5,0.498,1.188,0.146,0.595,-0.130,0.514,-0.191,0.479,-0.209,0.365,31.47,0.83
106,1889,6,-0.216,1.228,0.116,0.652,-0.121,0.498,-0.189,0.478,-0.207,0.367,31.47,0.83
