,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1851,4,-0.197,4.585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
1,1851,5,-1.966,3.727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
2,1851,6,-1.982,3.406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
3,1851,7,-3.021,2.686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
4,1851,8,-2.294,2.583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
5,1851,9,-1.141,3.764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
6,1851,10,-0.169,3.037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
7,1851,11,-4.491,2.338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
8,1851,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
9,1852,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
10,1852,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
11,1852,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
12,1852,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
13,1852,5,-0.978,3.266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
14,1852,6,-1.113,2.920,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
15,1852,7,-2.127,5.442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
16,1852,8,-1.808,3.071,-1.160,2.431,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
17,1852,9,-1.270,3.152,-1.043,2.243,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
18,1852,10,NaN,NaN,-0.828,1.989,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
19,1852,11,-1.023,4.361,-0.827,1.943,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
20,1852,12,1.247,3.933,-0.743,1.825,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
21,1853,1,-0.260,3.096,-0.648,1.719,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
22,1853,2,-1.056,2.295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
23,1853,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
24,1853,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
25,1853,5,-0.960,2.953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
26,1853,6,-0.105,2.265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
27,1853,7,-0.989,3.506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
28,1853,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
29,1853,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
30,1853,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
31,1853,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
32,1853,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
33,1854,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
34,1854,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
35,1854,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
36,1854,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
37,1854,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
38,1854,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
39,1854,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
40,1854,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
41,1854,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
42,1854,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
43,1854,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
44,1854,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
45,1855,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
46,1855,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
47,1855,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
48,1855,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
49,1855,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
50,1855,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
51,1855,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
52,1855,8,-0.293,2.440,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
53,1855,9,-0.325,2.250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
54,1855,10,-0.821,2.778,-0.931,1.276,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
55,1855,11,-0.769,2.344,-1.004,1.287,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
56,1855,12,-0.877,2.461,-0.927,1.271,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
57,1856,1,-1.807,2.695,-0.906,1.228,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
58,1856,2,-1.472,2.532,-0.987,1.279,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
59,1856,3,-1.934,2.704,-1.014,1.324,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
60,1856,4,0.204,2.504,-1.014,1.322,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
61,1856,5,-0.831,2.951,-1.111,1.338,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
62,1856,6,-0.681,2.373,-1.165,1.384,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
63,1856,7,-1.263,2.799,-1.248,1.425,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
64,1856,8,-1.270,2.532,-1.061,1.381,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
65,1856,9,-0.645,2.582,-0.999,1.382,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
66,1856,10,-0.827,2.758,-1.123,1.384,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
67,1856,11,-1.932,2.649,-1.180,1.368,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
68,1856,12,-1.525,2.882,-1.288,1.385,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
69,1857,1,-2.797,3.447,-1.277,1.401,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
70,1857,2,0.774,3.028,-1.259,1.431,NaN,NaN,NaN,NaN,NaN,NaN,8.73,0.23
71,1857,3,-1.196,3.023,-1.226,1.434,-0.874,1.145,NaN,NaN,NaN,NaN,8.73,0.23
72,1857,4,-1.282,2.657,-1.210,1.442,-0.903,1.146,NaN,NaN,NaN,NaN,8.73,0.23
73,1857,5,-1.521,2.552,-1.191,1.547,-0.894,1.148,NaN,NaN,NaN,NaN,8.73,0.23
74,1857,6,-1.975,2.929,-1.022,1.611,-0.897,1.149,NaN,NaN,NaN,NaN,8.73,0.23
75,1857,7,-1.128,2.920,-0.744,1.579,-0.878,1.150,NaN,NaN,NaN,NaN,8.73,0.23
76,1857,8,-1.054,3.233,-0.946,1.655,-0.851,1.148,NaN,NaN,NaN,NaN,8.73,0.23
77,1857,9,-0.245,2.390,-0.927,1.659,-0.816,1.141,NaN,NaN,NaN,NaN,8.73,0.23
78,1857,10,-0.635,2.738,-0.845,1.614,-0.827,1.140,NaN,NaN,NaN,NaN,8.73,0.23
79,1857,11,-1.710,3.161,-0.850,1.572,-0.830,1.140,NaN,NaN,NaN,NaN,8.73,0.23
80,1857,12,0.503,3.177,-0.696,1.523,-0.808,1.143,NaN,NaN,NaN,NaN,8.73,0.23
