,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1856,1,-0.082,0.938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
1,1856,2,-0.961,2.220,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
2,1856,3,-0.677,1.222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
3,1856,4,-0.785,0.919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
4,1856,5,-1.218,0.967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
5,1856,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
6,1856,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
7,1856,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
8,1856,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
9,1856,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
10,1856,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
11,1856,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
12,1857,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
13,1857,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
14,1857,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
15,1857,4,-1.503,0.791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
16,1857,5,-1.575,0.855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
17,1857,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
18,1857,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
19,1857,8,-1.240,1.022,-1.048,0.485,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
20,1857,9,-1.399,0.811,-1.036,0.490,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
21,1857,10,-1.451,0.922,-0.924,0.505,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
22,1857,11,-1.066,0.867,-0.869,0.535,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
23,1857,12,-0.776,1.169,-0.841,0.546,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
24,1858,1,-0.328,1.394,-0.915,0.586,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
25,1858,2,-0.925,0.935,-0.878,0.551,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
26,1858,3,-0.884,0.839,-0.861,0.536,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
27,1858,4,-0.165,0.984,-0.818,0.549,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
28,1858,5,-0.914,0.962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
29,1858,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
30,1858,7,-1.307,1.107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
31,1858,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
32,1858,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
33,1858,10,-0.928,0.956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
34,1858,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
35,1858,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
36,1859,1,-0.297,1.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
37,1859,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
38,1859,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
39,1859,4,0.275,0.973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
40,1859,5,-0.231,0.815,-0.583,0.478,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
41,1859,6,-0.420,0.726,-0.496,0.443,-0.767,0.241,NaN,NaN,NaN,NaN,25.48,0.73
42,1859,7,-0.543,0.856,-0.444,0.389,-0.782,0.241,NaN,NaN,NaN,NaN,25.48,0.73
43,1859,8,-0.631,0.812,-0.371,0.370,-0.791,0.238,NaN,NaN,NaN,NaN,25.48,0.73
44,1859,9,-1.174,0.728,-0.388,0.466,-0.783,0.239,NaN,NaN,NaN,NaN,25.48,0.73
45,1859,10,-0.781,0.883,-0.465,0.474,-0.768,0.245,NaN,NaN,NaN,NaN,25.48,0.73
46,1859,11,-0.715,1.104,-0.490,0.506,-0.755,0.247,NaN,NaN,NaN,NaN,25.48,0.73
47,1859,12,-0.260,1.300,-0.473,0.506,-0.750,0.248,NaN,NaN,NaN,NaN,25.48,0.73
48,1860,1,0.325,1.618,-0.452,0.507,-0.748,0.247,NaN,NaN,NaN,NaN,25.48,0.73
49,1860,2,0.102,1.570,-0.430,0.505,-0.740,0.245,NaN,NaN,NaN,NaN,25.48,0.73
50,1860,3,-0.602,2.373,-0.368,0.506,-0.738,0.245,NaN,NaN,NaN,NaN,25.48,0.73
51,1860,4,NaN,NaN,-0.368,0.523,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
52,1860,5,-0.527,0.765,-0.414,0.591,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
53,1860,6,-0.214,0.751,-0.545,0.623,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
54,1860,7,-0.299,0.784,-0.716,0.605,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
55,1860,8,-0.369,0.827,-0.819,0.575,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
56,1860,9,-0.420,0.796,-0.853,0.480,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
57,1860,10,-0.784,0.769,-0.888,0.434,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
58,1860,11,-1.270,0.977,-0.920,0.428,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
59,1860,12,-1.835,1.073,-0.951,0.424,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
60,1861,1,-1.719,1.559,-0.977,0.415,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
61,1861,2,-1.132,0.987,-1.005,0.393,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
62,1861,3,-1.011,0.903,-1.045,0.386,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
63,1861,4,-1.069,1.178,-1.054,0.383,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
64,1861,5,-0.915,0.723,-1.026,0.375,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
65,1861,6,-0.582,0.860,-0.943,0.398,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
66,1861,7,-0.616,0.889,-0.924,0.420,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
67,1861,8,-0.702,0.751,-0.946,0.437,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
68,1861,9,NaN,NaN,-0.905,0.409,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
69,1861,10,NaN,NaN,-0.867,0.406,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
70,1861,11,-0.923,1.050,-0.857,0.420,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
71,1861,12,-0.838,0.960,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
72,1862,1,-1.495,1.275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
73,1862,2,-1.393,0.881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
74,1862,3,-0.525,0.977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
75,1862,4,-0.611,1.308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
76,1862,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
77,1862,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
78,1862,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
79,1862,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
80,1862,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
81,1862,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
82,1862,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
83,1862,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.48,0.73
