,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1853,12,-0.211,1.639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
1,1854,1,1.418,2.474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
2,1854,2,0.082,2.581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
3,1854,3,-0.191,2.177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
4,1854,4,-0.196,1.810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
5,1854,5,-0.587,2.702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
6,1854,6,-1.151,1.412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
7,1854,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
8,1854,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
9,1854,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
10,1854,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
11,1854,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
12,1854,12,-0.797,2.574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
13,1855,1,0.468,0.859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
14,1855,2,-0.919,4.128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
15,1855,3,-0.934,1.534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
16,1855,4,-0.553,0.892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
17,1855,5,-0.838,0.818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
18,1855,6,-1.520,1.333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
19,1855,7,-1.887,1.320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
20,1855,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
21,1855,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
22,1855,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
23,1855,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
24,1855,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
25,1856,1,-0.583,2.595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
26,1856,2,-0.717,2.061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
27,1856,3,-0.309,2.509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
28,1856,4,0.150,1.631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
29,1856,5,-0.196,2.587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
30,1856,6,-0.591,1.143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
31,1856,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
32,1856,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
33,1856,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
34,1856,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
35,1856,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
36,1856,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
37,1857,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
38,1857,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
39,1857,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
40,1857,4,-1.064,2.093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
41,1857,5,-1.368,2.233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
42,1857,6,-1.527,2.629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
43,1857,7,-1.404,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
44,1857,8,-1.600,1.804,-0.812,1.535,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
45,1857,9,NaN,NaN,-0.843,1.508,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
46,1857,10,NaN,NaN,-0.764,1.435,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
47,1857,11,-0.880,2.659,-0.719,1.440,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
48,1857,12,0.034,2.234,-0.587,1.319,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
49,1858,1,0.410,1.392,-0.606,1.455,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
50,1858,2,-1.084,3.019,-0.607,1.472,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
51,1858,3,-1.054,1.917,-0.574,1.447,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
52,1858,4,-0.122,1.500,-0.534,1.408,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
53,1858,5,-0.827,2.223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
54,1858,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
55,1858,7,-1.633,1.542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
56,1858,8,-1.612,1.755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
57,1858,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.71,0.68
