,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1856,1,-0.384,2.444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
1,1856,2,-1.126,2.844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
2,1856,3,-1.405,1.461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
3,1856,4,-1.353,1.267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
4,1856,5,-2.022,0.980,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
5,1856,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
6,1856,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
7,1856,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
8,1856,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
9,1856,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
10,1856,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
11,1856,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
12,1857,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
13,1857,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
14,1857,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
15,1857,4,-1.416,0.959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
16,1857,5,-1.670,0.946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
17,1857,6,-1.501,0.887,-0.957,0.612,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
18,1857,7,-1.008,1.682,-0.810,0.544,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
19,1857,8,-0.781,1.148,-0.966,0.560,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
20,1857,9,-1.024,1.393,-1.027,0.541,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
21,1857,10,-0.700,1.315,-0.985,0.554,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
22,1857,11,-0.864,1.588,-0.972,0.579,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
23,1857,12,-0.404,1.218,-0.863,0.594,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
24,1858,1,-0.460,1.478,-0.820,0.653,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
25,1858,2,-1.331,1.321,-0.824,0.596,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
26,1858,3,-1.165,0.850,-0.808,0.559,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
27,1858,4,-0.913,1.131,-0.735,0.514,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
28,1858,5,-1.518,1.230,-0.748,0.529,-0.800,0.414,NaN,NaN,NaN,NaN,23.13,0.80
29,1858,6,-0.189,0.869,-0.732,0.514,-0.789,0.415,NaN,NaN,NaN,NaN,23.13,0.80
30,1858,7,-0.486,1.110,-0.671,0.557,-0.789,0.411,NaN,NaN,NaN,NaN,23.13,0.80
31,1858,8,-0.840,0.810,-0.565,0.508,-0.779,0.408,NaN,NaN,NaN,NaN,23.13,0.80
32,1858,9,-0.829,1.061,-0.450,0.561,-0.774,0.399,NaN,NaN,NaN,NaN,23.13,0.80
33,1858,10,0.185,0.999,-0.435,0.652,-0.769,0.401,NaN,NaN,NaN,NaN,23.13,0.80
34,1858,11,-1.025,2.065,-0.334,0.766,-0.760,0.406,NaN,NaN,NaN,NaN,23.13,0.80
35,1858,12,-0.217,1.093,-0.354,0.741,-0.759,0.412,NaN,NaN,NaN,NaN,23.13,0.80
36,1859,1,0.278,0.918,-0.346,0.747,-0.751,0.414,NaN,NaN,NaN,NaN,23.13,0.80
37,1859,2,-0.056,2.434,-0.284,0.759,-0.740,0.412,NaN,NaN,NaN,NaN,23.13,0.80
38,1859,3,NaN,NaN,-0.300,0.769,-0.719,0.415,NaN,NaN,NaN,NaN,23.13,0.80
39,1859,4,NaN,NaN,-0.383,0.664,-0.694,0.419,NaN,NaN,NaN,NaN,23.13,0.80
40,1859,5,-0.313,1.935,-0.361,0.705,-0.662,0.423,NaN,NaN,NaN,NaN,23.13,0.80
41,1859,6,-0.426,0.886,-0.449,0.642,-0.638,0.439,NaN,NaN,NaN,NaN,23.13,0.80
42,1859,7,-0.388,0.844,-0.418,0.652,-0.612,0.443,NaN,NaN,NaN,NaN,23.13,0.80
43,1859,8,-0.095,0.851,-0.457,0.579,-0.643,0.450,NaN,NaN,NaN,NaN,23.13,0.80
44,1859,9,-1.026,0.888,-0.471,0.556,-0.649,0.451,NaN,NaN,NaN,NaN,23.13,0.80
45,1859,10,-0.805,1.388,-0.470,0.503,-0.627,0.447,NaN,NaN,NaN,NaN,23.13,0.80
46,1859,11,-0.762,0.938,-0.484,0.472,-0.599,0.446,NaN,NaN,NaN,NaN,23.13,0.80
47,1859,12,-1.273,2.186,-0.460,0.464,-0.587,0.451,NaN,NaN,NaN,NaN,23.13,0.80
48,1860,1,0.645,1.543,-0.476,0.497,-0.558,0.451,NaN,NaN,NaN,NaN,23.13,0.80
49,1860,2,-0.521,1.143,-0.532,0.514,-0.546,0.451,NaN,NaN,NaN,NaN,23.13,0.80
50,1860,3,NaN,NaN,-0.504,0.543,-0.533,0.451,NaN,NaN,NaN,NaN,23.13,0.80
51,1860,4,NaN,NaN,-0.484,0.592,-0.526,0.456,NaN,NaN,NaN,NaN,23.13,0.80
52,1860,5,-0.475,1.449,-0.482,0.565,-0.517,0.452,NaN,NaN,NaN,NaN,23.13,0.80
53,1860,6,-0.146,1.114,-0.461,0.509,-0.508,0.443,NaN,NaN,NaN,NaN,23.13,0.80
54,1860,7,-0.582,1.085,-0.548,0.536,-0.479,0.443,NaN,NaN,NaN,NaN,23.13,0.80
55,1860,8,-0.764,0.994,-0.549,0.526,-0.448,0.446,NaN,NaN,NaN,NaN,23.13,0.80
56,1860,9,-0.683,1.117,-0.643,0.492,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
57,1860,10,-0.568,1.008,-0.674,0.459,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
58,1860,11,-0.744,0.850,-0.754,0.480,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
59,1860,12,-1.022,1.086,-0.777,0.516,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
60,1861,1,-0.396,2.271,-0.794,0.520,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
61,1861,2,-0.526,0.952,-0.786,0.508,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
62,1861,3,-1.084,1.382,-0.752,0.504,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
63,1861,4,-1.094,1.014,-0.715,0.508,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
64,1861,5,-1.438,1.192,-0.658,0.563,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
65,1861,6,-0.427,1.076,-0.590,0.633,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
66,1861,7,-0.783,1.184,-0.613,0.637,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
67,1861,8,-0.662,0.832,-0.679,0.742,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
68,1861,9,-0.285,1.007,-0.653,0.721,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
69,1861,10,-0.123,1.013,-0.573,0.713,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
70,1861,11,-0.061,1.214,-0.449,0.676,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
71,1861,12,-0.195,1.381,-0.482,0.738,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
72,1862,1,-0.678,0.995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
73,1862,2,-1.323,2.632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
74,1862,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
75,1862,4,-0.135,0.842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
76,1862,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
77,1862,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
78,1862,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
79,1862,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
80,1862,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
81,1862,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
82,1862,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
83,1862,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
84,1863,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
85,1863,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
86,1863,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
87,1863,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
88,1863,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
89,1863,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
90,1863,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
91,1863,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
92,1863,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
93,1863,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
94,1863,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
95,1863,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
96,1864,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
97,1864,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
98,1864,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
99,1864,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
100,1864,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
101,1864,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
102,1864,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
103,1864,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
104,1864,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
105,1864,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
106,1864,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
107,1864,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
108,1865,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
109,1865,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
110,1865,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
111,1865,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
112,1865,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
113,1865,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
114,1865,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
115,1865,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
116,1865,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
117,1865,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
118,1865,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
119,1865,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
120,1866,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
121,1866,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
122,1866,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
123,1866,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
124,1866,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
125,1866,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
126,1866,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
127,1866,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
128,1866,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
129,1866,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
130,1866,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
131,1866,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
132,1867,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
133,1867,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
134,1867,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
135,1867,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
136,1867,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
137,1867,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
138,1867,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
139,1867,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
140,1867,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
141,1867,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
142,1867,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
143,1867,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
144,1868,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
145,1868,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
146,1868,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
147,1868,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
148,1868,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
149,1868,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
150,1868,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
151,1868,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
152,1868,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
153,1868,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
154,1868,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
155,1868,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
156,1869,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
157,1869,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
158,1869,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
159,1869,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
160,1869,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
161,1869,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.13,0.80
