,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1846,1,0.476,1.580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.69,0.46
1,1846,2,-0.890,3.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.69,0.46
2,1846,3,0.198,1.841,-0.030,0.867,NaN,NaN,NaN,NaN,NaN,NaN,21.69,0.46
3,1846,4,0.302,0.836,0.046,1.070,NaN,NaN,NaN,NaN,NaN,NaN,21.69,0.46
4,1846,5,0.532,0.881,-0.021,1.051,NaN,NaN,NaN,NaN,NaN,NaN,21.69,0.46
5,1846,6,0.483,0.641,0.101,0.969,NaN,NaN,NaN,NaN,NaN,NaN,21.69,0.46
6,1846,7,0.007,1.024,0.106,1.222,NaN,NaN,NaN,NaN,NaN,NaN,21.69,0.46
7,1846,8,0.105,2.076,0.097,0.915,NaN,NaN,NaN,NaN,NaN,NaN,21.69,0.46
8,1846,9,0.595,0.737,-0.024,0.829,NaN,NaN,NaN,NaN,NaN,NaN,21.69,0.46
9,1846,10,-0.313,3.647,-0.116,0.967,NaN,NaN,NaN,NaN,NaN,NaN,21.69,0.46
10,1846,11,0.017,1.686,-0.179,0.963,NaN,NaN,NaN,NaN,NaN,NaN,21.69,0.46
11,1846,12,-0.300,1.054,-0.253,1.104,NaN,NaN,NaN,NaN,NaN,NaN,21.69,0.46
12,1847,1,0.530,2.272,-0.265,1.062,NaN,NaN,NaN,NaN,NaN,NaN,21.69,0.46
13,1847,2,-0.990,2.256,-0.323,1.105,NaN,NaN,NaN,NaN,NaN,NaN,21.69,0.46
14,1847,3,-1.257,1.875,-0.375,1.239,NaN,NaN,NaN,NaN,NaN,NaN,21.69,0.46
15,1847,4,-0.801,3.048,-0.400,1.179,-0.372,1.005,NaN,NaN,NaN,NaN,21.69,0.46
16,1847,5,-0.229,0.669,-0.400,1.335,-0.341,0.986,NaN,NaN,NaN,NaN,21.69,0.46
