,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1750,1,-0.306,1.732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
1,1750,2,0.277,2.294,-0.245,0.940,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
2,1750,3,2.140,2.689,-0.237,0.950,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
3,1750,4,0.413,1.539,-0.233,0.939,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
4,1750,5,-1.227,1.544,-0.496,0.932,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
5,1750,6,0.125,1.611,-0.546,0.935,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
6,1750,7,0.774,1.793,-0.658,0.940,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
7,1750,8,0.675,1.593,-0.969,0.884,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
8,1750,9,-0.336,2.072,-1.043,0.835,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
9,1750,10,-1.685,1.458,-1.219,0.820,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
10,1750,11,-4.547,1.572,-1.173,0.784,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
11,1750,12,-2.849,1.759,-1.238,0.784,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
12,1751,1,-1.651,1.781,-1.206,0.734,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
13,1751,2,-3.464,1.825,-1.174,0.725,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
14,1751,3,1.261,1.608,-1.163,0.707,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
15,1751,4,-1.696,1.449,-1.147,0.714,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
16,1751,5,-0.684,1.520,-1.042,0.737,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
17,1751,6,-0.655,1.601,-0.980,0.764,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
18,1751,7,1.162,1.689,-0.945,0.773,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
19,1751,8,1.058,1.433,-0.581,0.748,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
20,1751,9,-0.201,1.433,-0.646,0.746,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
21,1751,10,-1.492,1.474,-0.584,0.703,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
22,1751,11,-3.292,1.556,-0.587,0.670,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
23,1751,12,-2.105,2.020,-0.428,0.642,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
24,1752,1,-1.235,1.816,-0.435,0.645,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
25,1752,2,0.903,1.656,-0.571,0.671,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
26,1752,3,0.490,1.384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
27,1752,4,-0.958,1.541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
28,1752,5,-0.717,1.389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
29,1752,6,1.253,1.312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
30,1752,7,1.075,1.458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
31,1752,8,-0.574,1.692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
33,1752,10,-0.394,1.441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
34,1752,11,-0.318,1.507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
35,1752,12,-1.054,1.797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
36,1753,1,-1.356,1.652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
37,1753,2,-1.176,1.739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
38,1753,3,1.235,1.501,-0.269,0.790,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
39,1753,4,0.397,1.884,-0.253,0.795,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
40,1753,5,0.202,1.235,-0.376,0.785,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
41,1753,6,0.323,1.725,-0.556,0.798,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
42,1753,7,0.206,1.697,-0.504,0.811,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
43,1753,8,-0.834,1.402,-0.603,0.791,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
44,1753,9,-0.455,1.335,-0.947,0.760,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
45,1753,10,-0.200,1.373,-0.929,0.813,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
46,1753,11,-1.798,1.327,-0.861,0.852,NaN,NaN,NaN,NaN,NaN,NaN,7.52,0.45
