,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1818,1,2.353,2.744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.10,0.30
1,1818,2,3.702,3.094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.10,0.30
2,1818,3,1.981,2.705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.10,0.30
3,1818,4,-0.277,2.807,1.547,1.234,NaN,NaN,NaN,NaN,NaN,NaN,-2.10,0.30
4,1818,5,3.314,2.913,1.427,1.201,NaN,NaN,NaN,NaN,NaN,NaN,-2.10,0.30
5,1818,6,1.267,2.686,1.439,1.193,NaN,NaN,NaN,NaN,NaN,NaN,-2.10,0.30
6,1818,7,0.398,2.735,1.424,1.207,NaN,NaN,NaN,NaN,NaN,NaN,-2.10,0.30
7,1818,8,0.794,2.694,1.302,1.174,NaN,NaN,NaN,NaN,NaN,NaN,-2.10,0.30
8,1818,9,NaN,NaN,1.223,1.178,NaN,NaN,NaN,NaN,NaN,NaN,-2.10,0.30
9,1818,10,1.018,2.722,1.330,1.192,NaN,NaN,NaN,NaN,NaN,NaN,-2.10,0.30
10,1818,11,0.142,2.673,1.157,1.186,NaN,NaN,NaN,NaN,NaN,NaN,-2.10,0.30
11,1818,12,1.239,3.511,1.132,1.209,NaN,NaN,NaN,NaN,NaN,NaN,-2.10,0.30
12,1819,1,2.177,5.324,1.141,1.211,NaN,NaN,NaN,NaN,NaN,NaN,-2.10,0.30
13,1819,2,2.237,4.775,1.404,1.226,NaN,NaN,NaN,NaN,NaN,NaN,-2.10,0.30
14,1819,3,1.029,5.666,1.351,1.208,NaN,NaN,NaN,NaN,NaN,NaN,-2.10,0.30
15,1819,4,1.005,3.731,1.256,1.230,NaN,NaN,NaN,NaN,NaN,NaN,-2.10,0.30
16,1819,5,1.241,3.897,1.262,1.247,NaN,NaN,NaN,NaN,NaN,NaN,-2.10,0.30
17,1819,6,NaN,NaN,1.132,1.226,NaN,NaN,NaN,NaN,NaN,NaN,-2.10,0.30
