,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1886,5,-0.942,1.523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
1,1886,6,-0.707,1.609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
2,1886,7,-0.379,1.445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
3,1886,8,-0.337,1.640,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
4,1886,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
5,1886,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
6,1886,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
7,1886,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
8,1887,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
9,1887,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
10,1887,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
11,1887,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
12,1887,5,-0.785,1.577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
13,1887,6,-0.696,1.635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
14,1887,7,-0.704,1.574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
15,1887,8,-0.739,1.494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
16,1887,9,0.028,1.996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
17,1887,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
18,1887,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
19,1887,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
20,1888,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
21,1888,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
22,1888,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
23,1888,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
24,1888,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
25,1888,6,-1.383,1.546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
26,1888,7,-0.956,1.492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
27,1888,8,-0.612,1.488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
28,1888,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
29,1888,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
30,1888,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
31,1888,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
32,1889,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
33,1889,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
34,1889,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
35,1889,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
36,1889,5,-0.563,1.459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
37,1889,6,-0.371,1.456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
38,1889,7,0.006,1.480,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
39,1889,8,-0.160,1.553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
40,1889,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
41,1889,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
42,1889,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
43,1889,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
44,1890,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
45,1890,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
46,1890,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
47,1890,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
48,1890,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
49,1890,6,-0.715,1.544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
50,1890,7,-1.321,1.818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
51,1890,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
52,1890,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
53,1890,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
54,1890,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
55,1890,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
56,1891,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
57,1891,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
58,1891,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
59,1891,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
60,1891,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
61,1891,6,-1.207,1.503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
62,1891,7,-0.099,1.914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
63,1891,8,-0.603,1.561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
64,1891,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
65,1891,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
66,1891,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
67,1891,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
68,1892,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
69,1892,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
70,1892,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
71,1892,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
72,1892,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
73,1892,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
74,1892,7,-1.216,1.914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
75,1892,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
76,1892,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
77,1892,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
78,1892,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
79,1892,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.40,0.64
