,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1899,1,-0.171,0.655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.61,0.57
1,1899,2,-0.448,0.870,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.61,0.57
2,1899,3,-0.323,1.356,-0.340,0.809,NaN,NaN,NaN,NaN,NaN,NaN,24.61,0.57
3,1899,4,-0.247,0.718,-0.291,0.773,NaN,NaN,NaN,NaN,NaN,NaN,24.61,0.57
4,1899,5,-0.471,1.355,-0.194,0.745,NaN,NaN,NaN,NaN,NaN,NaN,24.61,0.57
5,1899,6,-0.272,1.845,-0.184,0.820,NaN,NaN,NaN,NaN,NaN,NaN,24.61,0.57
6,1899,7,-0.048,2.039,-0.248,0.822,NaN,NaN,NaN,NaN,NaN,NaN,24.61,0.57
7,1899,8,0.096,1.172,-0.250,0.713,NaN,NaN,NaN,NaN,NaN,NaN,24.61,0.57
8,1899,9,-0.099,0.621,-0.212,0.687,NaN,NaN,NaN,NaN,NaN,NaN,24.61,0.57
9,1899,10,-0.178,0.791,-0.164,0.837,NaN,NaN,NaN,NaN,NaN,NaN,24.61,0.57
10,1899,11,0.208,0.681,-0.172,0.719,NaN,NaN,NaN,NaN,NaN,NaN,24.61,0.57
11,1899,12,-0.252,1.229,-0.136,0.692,NaN,NaN,NaN,NaN,NaN,NaN,24.61,0.57
12,1900,1,-0.943,0.802,-0.144,0.593,NaN,NaN,NaN,NaN,NaN,NaN,24.61,0.57
13,1900,2,-0.477,1.095,-0.132,0.636,NaN,NaN,NaN,NaN,NaN,NaN,24.61,0.57
14,1900,3,0.139,0.971,-0.107,0.655,-0.504,0.305,NaN,NaN,NaN,NaN,24.61,0.57
15,1900,4,0.326,2.400,-0.057,0.769,-0.500,0.309,NaN,NaN,NaN,NaN,24.61,0.57
16,1900,5,-0.567,0.561,-0.065,0.861,-0.484,0.318,NaN,NaN,NaN,NaN,24.61,0.57
17,1900,6,0.162,1.581,-0.068,0.725,-0.481,0.324,NaN,NaN,NaN,NaN,24.61,0.57
18,1900,7,-0.149,0.859,-0.061,0.704,-0.480,0.334,NaN,NaN,NaN,NaN,24.61,0.57
19,1900,8,0.248,1.774,-0.104,0.774,-0.466,0.341,NaN,NaN,NaN,NaN,24.61,0.57
20,1900,9,0.204,0.845,-0.180,0.684,-0.441,0.348,NaN,NaN,NaN,NaN,24.61,0.57
21,1900,10,0.413,1.344,-0.257,0.525,-0.438,0.337,NaN,NaN,NaN,NaN,24.61,0.57
22,1900,11,0.122,0.949,-0.282,0.547,-0.440,0.338,NaN,NaN,NaN,NaN,24.61,0.57
