,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1863,12,-2.239,2.498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
1,1864,1,-3.218,2.340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
2,1864,2,-0.802,2.281,-0.767,0.935,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
3,1864,3,2.520,3.040,-0.694,0.878,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
4,1864,4,-1.252,2.305,-0.501,0.809,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
5,1864,5,0.049,1.943,-0.316,0.793,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
6,1864,6,-0.769,2.613,-0.166,0.861,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
7,1864,7,-1.272,2.289,0.200,0.945,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
8,1864,8,-0.309,1.654,0.245,0.992,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
9,1864,9,0.053,1.981,0.227,0.953,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
10,1864,10,1.665,3.037,0.246,0.981,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
11,1864,11,1.780,3.125,0.135,0.925,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
12,1864,12,-0.437,2.171,0.221,1.006,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
13,1865,1,1.175,2.448,0.223,1.022,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
14,1865,2,-0.261,2.390,0.220,0.973,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
15,1865,3,2.297,2.394,0.085,0.886,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
16,1865,4,-1.016,1.676,0.166,0.846,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
17,1865,5,-1.281,1.812,0.008,0.751,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
18,1865,6,0.259,1.821,-0.085,0.734,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
19,1865,7,-1.255,2.195,-0.313,0.700,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
20,1865,8,-0.344,2.336,-0.344,0.722,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
21,1865,9,-1.565,2.184,-0.506,0.771,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
22,1865,10,2.643,2.396,-0.421,0.810,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
23,1865,11,-0.124,2.203,-0.250,0.726,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
24,1865,12,-1.553,1.869,-0.401,0.792,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
25,1866,1,-1.558,2.276,-0.242,0.769,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
26,1866,2,-0.630,2.088,-0.241,0.777,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
27,1866,3,0.349,2.035,-0.034,0.767,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
28,1866,4,0.012,2.334,-0.306,0.761,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
29,1866,5,0.762,2.132,-0.439,0.759,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
30,1866,6,-1.544,2.022,-0.373,0.782,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
31,1866,7,0.655,1.969,-0.265,0.782,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
32,1866,8,-0.333,1.673,-0.381,0.815,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
33,1866,9,0.913,1.668,-0.474,0.809,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
34,1866,10,-0.623,1.715,-0.510,0.818,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
35,1866,11,-1.720,1.684,-0.636,0.890,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
36,1866,12,-0.758,1.515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
37,1867,1,-0.261,2.176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
38,1867,2,-2.018,2.547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
39,1867,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
40,1867,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
41,1867,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
42,1867,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
43,1867,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
44,1867,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
45,1867,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
46,1867,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
47,1867,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
48,1867,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
49,1868,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
50,1868,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
51,1868,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
52,1868,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
53,1868,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
54,1868,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
55,1868,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
56,1868,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
57,1868,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
58,1868,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
59,1868,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
60,1868,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
61,1869,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
62,1869,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
63,1869,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
64,1869,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
65,1869,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.76,0.33
