,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1863,12,-1.213,1.612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
1,1864,1,-2.664,1.795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
2,1864,2,-0.662,1.718,-0.550,0.754,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
3,1864,3,1.314,1.895,-0.618,0.763,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
4,1864,4,-1.027,1.477,-0.505,0.709,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
5,1864,5,-0.370,1.599,-0.317,0.682,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
6,1864,6,1.402,1.433,-0.243,0.670,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
7,1864,7,-1.845,2.011,0.077,0.773,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
8,1864,8,-1.102,1.519,0.155,0.776,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
9,1864,9,-0.650,1.829,0.170,0.748,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
10,1864,10,1.240,2.237,0.136,0.699,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
11,1864,11,1.768,3.127,0.075,0.652,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
12,1864,12,-0.321,2.330,-0.044,0.620,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
13,1865,1,1.174,1.936,0.043,0.669,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
14,1865,2,0.283,2.129,0.084,0.686,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
15,1865,3,1.487,2.005,0.008,0.651,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
16,1865,4,-1.429,1.611,-0.046,0.596,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
17,1865,5,-1.104,1.602,-0.157,0.552,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
18,1865,6,-0.023,1.576,-0.279,0.549,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
19,1865,7,-0.809,2.038,-0.469,0.606,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
20,1865,8,-0.602,1.319,-0.546,0.625,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
21,1865,9,-1.566,2.304,-0.654,0.600,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
22,1865,10,0.595,1.433,-0.579,0.595,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
23,1865,11,0.432,2.210,-0.507,0.630,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
24,1865,12,-1.789,1.626,-0.587,0.605,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
25,1866,1,-1.103,2.211,-0.539,0.610,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
26,1866,2,-0.636,1.976,-0.560,0.608,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
27,1866,3,0.190,2.276,-0.442,0.648,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
28,1866,4,-0.529,1.631,-0.543,0.679,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
29,1866,5,-0.249,1.550,-0.686,0.681,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
30,1866,6,-0.984,2.099,-0.627,0.744,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
31,1866,7,-0.226,1.534,-0.599,0.670,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
32,1866,8,-0.854,1.372,-0.668,0.666,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
33,1866,9,-0.150,1.597,-0.860,0.753,NaN,NaN,NaN,NaN,NaN,NaN,11.57,0.24
