,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1852,5,-0.681,3.182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.01,0.54
1,1852,6,-0.917,2.653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.01,0.54
2,1852,7,-1.859,5.073,-1.074,2.388,NaN,NaN,NaN,NaN,NaN,NaN,29.01,0.54
3,1852,8,-1.763,2.477,-1.167,2.121,NaN,NaN,NaN,NaN,NaN,NaN,29.01,0.54
4,1852,9,-0.686,2.872,-1.015,1.959,NaN,NaN,NaN,NaN,NaN,NaN,29.01,0.54
5,1852,10,-1.238,2.154,-0.741,1.662,NaN,NaN,NaN,NaN,NaN,NaN,29.01,0.54
6,1852,11,-0.598,4.923,-0.704,1.739,NaN,NaN,NaN,NaN,NaN,NaN,29.01,0.54
7,1852,12,0.657,2.931,-0.675,1.507,NaN,NaN,NaN,NaN,NaN,NaN,29.01,0.54
8,1853,1,-0.568,2.158,-0.546,1.457,NaN,NaN,NaN,NaN,NaN,NaN,29.01,0.54
9,1853,2,-1.228,1.468,-0.473,1.168,NaN,NaN,NaN,NaN,NaN,NaN,29.01,0.54
10,1853,3,-0.166,2.561,-0.482,0.985,NaN,NaN,NaN,NaN,NaN,NaN,29.01,0.54
11,1853,4,0.156,2.700,-0.389,1.000,NaN,NaN,NaN,NaN,NaN,NaN,29.01,0.54
12,1853,5,-0.239,3.942,-0.363,0.923,NaN,NaN,NaN,NaN,NaN,NaN,29.01,0.54
13,1853,6,-0.562,1.237,-0.481,0.886,NaN,NaN,NaN,NaN,NaN,NaN,29.01,0.54
14,1853,7,-0.314,3.572,-0.357,1.141,-0.694,0.328,NaN,NaN,NaN,NaN,29.01,0.54
15,1853,8,-0.888,3.597,-0.249,1.379,-0.699,0.325,NaN,NaN,NaN,NaN,29.01,0.54
16,1853,9,-0.794,0.970,-0.279,1.382,-0.687,0.333,NaN,NaN,NaN,NaN,29.01,0.54
17,1853,10,-0.122,1.252,-0.359,1.382,-0.680,0.327,NaN,NaN,NaN,NaN,29.01,0.54
18,1853,11,-0.291,1.834,-0.367,1.282,-0.638,0.315,NaN,NaN,NaN,NaN,29.01,0.54
19,1853,12,-0.757,2.675,-0.383,1.261,-0.602,0.307,NaN,NaN,NaN,NaN,29.01,0.54
20,1854,1,0.920,2.803,-0.320,1.063,-0.562,0.300,NaN,NaN,NaN,NaN,29.01,0.54
21,1854,2,0.076,2.891,-0.262,1.151,-0.525,0.316,NaN,NaN,NaN,NaN,29.01,0.54
22,1854,3,-0.531,2.399,-0.224,1.148,-0.496,0.338,NaN,NaN,NaN,NaN,29.01,0.54
23,1854,4,-0.802,2.143,-0.192,1.152,-0.488,0.355,NaN,NaN,NaN,NaN,29.01,0.54
24,1854,5,-0.341,2.542,-0.243,1.130,-0.417,0.375,NaN,NaN,NaN,NaN,29.01,0.54
25,1854,6,-0.745,1.511,-0.126,1.271,-0.372,0.399,NaN,NaN,NaN,NaN,29.01,0.54
26,1854,7,0.436,2.436,-0.221,0.999,-0.392,1.406,NaN,NaN,NaN,NaN,29.01,0.54
27,1854,8,-0.189,1.838,-0.311,0.998,-0.391,1.346,NaN,NaN,NaN,NaN,29.01,0.54
28,1854,9,-0.346,1.745,-0.268,1.010,-0.365,1.353,NaN,NaN,NaN,NaN,29.01,0.54
29,1854,10,0.267,1.379,-0.265,0.912,-0.332,1.177,-0.708,0.358,NaN,NaN,29.01,0.54
30,1854,11,-0.908,1.795,-0.280,0.756,-0.347,1.153,-0.720,0.351,NaN,NaN,29.01,0.54
31,1854,12,0.646,4.502,-0.299,0.840,-0.348,1.154,-0.705,0.352,NaN,NaN,29.01,0.54
32,1855,1,-0.212,1.337,-0.531,0.876,-0.347,1.122,-0.704,0.334,NaN,NaN,29.01,0.54
33,1855,2,-1.007,3.607,-0.565,0.974,-0.340,1.107,-0.716,0.326,NaN,NaN,29.01,0.54
34,1855,3,-0.011,2.766,-0.552,0.988,-0.354,1.066,-0.717,0.297,NaN,NaN,29.01,0.54
35,1855,4,-0.768,1.098,-0.642,1.034,-0.362,1.082,-0.706,0.298,NaN,NaN,29.01,0.54
36,1855,5,-0.521,1.298,-0.551,0.885,-0.379,1.047,-0.704,0.287,NaN,NaN,29.01,0.54
37,1855,6,-0.970,2.074,-0.550,0.685,-0.409,1.017,-0.712,0.280,NaN,NaN,29.01,0.54
38,1855,7,-2.352,1.661,-0.462,1.010,-0.405,1.010,-0.712,0.280,NaN,NaN,29.01,0.54
39,1855,8,-0.599,0.521,-0.306,1.081,-0.392,1.076,-0.712,0.280,NaN,NaN,29.01,0.54
40,1855,9,-0.195,0.701,-0.218,1.211,-0.424,1.073,-0.700,0.279,NaN,NaN,29.01,0.54
41,1855,10,-0.812,2.338,-0.146,1.277,-0.454,1.030,-0.690,0.276,NaN,NaN,29.01,0.54
42,1855,11,0.191,1.552,-0.055,1.493,-0.469,0.998,-0.692,0.272,NaN,NaN,29.01,0.54
43,1855,12,0.655,1.772,0.056,1.449,-0.482,1.000,-0.680,0.273,NaN,NaN,29.01,0.54
44,1856,1,0.842,3.927,0.238,1.373,-0.492,1.019,-0.684,0.278,NaN,NaN,29.01,0.54
45,1856,2,0.868,3.764,0.273,1.424,-0.497,1.063,-0.687,0.281,NaN,NaN,29.01,0.54
46,1856,3,1.039,4.396,0.288,1.538,-0.496,1.072,-0.692,0.282,NaN,NaN,29.01,0.54
