,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1888,4,-0.421,1.642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
1,1888,5,-1.016,1.537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
2,1888,6,-0.607,1.760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
3,1888,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
4,1888,8,0.237,1.804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
5,1888,9,0.173,1.509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
6,1888,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
7,1888,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
8,1888,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
9,1889,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
10,1889,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
11,1889,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
12,1889,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
13,1889,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
14,1889,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
15,1889,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
16,1889,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
17,1889,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
18,1889,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
19,1889,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
20,1889,12,0.290,1.613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
21,1890,1,-1.567,1.717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
22,1890,2,-0.489,1.749,-0.315,0.722,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
23,1890,3,-1.386,1.620,-0.418,0.734,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
24,1890,4,-1.153,1.637,-0.529,0.705,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
25,1890,5,0.101,1.586,-0.580,0.716,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
26,1890,6,-0.959,1.593,-0.655,0.721,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
27,1890,7,0.314,1.794,-0.613,0.750,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
28,1890,8,0.446,1.624,-0.687,0.724,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
29,1890,9,-0.840,1.719,-0.598,0.721,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
30,1890,10,-0.899,1.738,-0.530,0.697,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
31,1890,11,-0.814,1.874,-0.569,0.686,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
32,1890,12,NaN,NaN,-0.564,0.663,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
33,1891,1,-1.070,1.666,-0.613,0.656,NaN,NaN,NaN,NaN,NaN,NaN,33.79,1.27
