,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1840,1,-0.072,1.460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.27,0.13
1,1840,2,-0.362,0.964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.27,0.13
2,1840,3,-0.734,2.531,-0.756,0.654,NaN,NaN,NaN,NaN,NaN,NaN,26.27,0.13
3,1840,4,-1.288,1.280,-0.780,0.617,NaN,NaN,NaN,NaN,NaN,NaN,26.27,0.13
4,1840,5,-0.496,1.285,-0.680,0.623,NaN,NaN,NaN,NaN,NaN,NaN,26.27,0.13
5,1840,6,-0.620,1.244,-0.647,0.586,NaN,NaN,NaN,NaN,NaN,NaN,26.27,0.13
6,1840,7,-0.082,1.320,-0.653,0.632,NaN,NaN,NaN,NaN,NaN,NaN,26.27,0.13
7,1840,8,-0.525,1.404,-0.654,0.691,NaN,NaN,NaN,NaN,NaN,NaN,26.27,0.13
8,1840,9,-0.503,1.144,-0.635,0.698,NaN,NaN,NaN,NaN,NaN,NaN,26.27,0.13
9,1840,10,-1.151,1.221,-0.574,0.863,NaN,NaN,NaN,NaN,NaN,NaN,26.27,0.13
10,1840,11,-0.719,1.953,-0.567,0.895,NaN,NaN,NaN,NaN,NaN,NaN,26.27,0.13
11,1840,12,-1.218,1.127,-0.509,1.015,NaN,NaN,NaN,NaN,NaN,NaN,26.27,0.13
12,1841,1,-0.142,2.036,-0.473,1.092,NaN,NaN,NaN,NaN,NaN,NaN,26.27,0.13
13,1841,2,-0.373,1.849,-0.385,1.113,NaN,NaN,NaN,NaN,NaN,NaN,26.27,0.13
14,1841,3,-0.503,3.025,-0.368,1.147,-0.537,0.476,NaN,NaN,NaN,NaN,26.27,0.13
15,1841,4,-0.561,2.733,-0.268,1.160,-0.543,0.471,NaN,NaN,NaN,NaN,26.27,0.13
16,1841,5,-0.404,0.904,-0.238,1.248,-0.545,0.483,NaN,NaN,NaN,NaN,26.27,0.13
17,1841,6,0.075,1.143,-0.119,1.386,-0.549,0.466,NaN,NaN,NaN,NaN,26.27,0.13
18,1841,7,0.352,1.054,-0.095,1.393,-0.568,0.452,NaN,NaN,NaN,NaN,26.27,0.13
19,1841,8,0.522,1.684,-0.008,1.458,-0.589,0.459,NaN,NaN,NaN,NaN,26.27,0.13
20,1841,9,-0.293,1.339,0.002,1.171,-0.547,0.453,NaN,NaN,NaN,NaN,26.27,0.13
21,1841,10,0.042,1.486,-0.029,0.971,-0.549,0.456,NaN,NaN,NaN,NaN,26.27,0.13
22,1841,11,-0.358,2.362,-0.055,0.917,-0.549,0.460,NaN,NaN,NaN,NaN,26.27,0.13
23,1841,12,0.210,2.550,-0.103,0.936,-0.551,0.458,NaN,NaN,NaN,NaN,26.27,0.13
24,1842,1,0.154,2.312,-0.194,0.917,-0.565,0.451,NaN,NaN,NaN,NaN,26.27,0.13
25,1842,2,0.670,2.056,-0.281,0.851,-0.585,0.439,NaN,NaN,NaN,NaN,26.27,0.13
26,1842,3,-0.391,1.264,-0.326,0.811,-0.591,0.434,NaN,NaN,NaN,NaN,26.27,0.13
27,1842,4,-0.927,1.329,-0.446,0.716,-0.602,0.423,NaN,NaN,NaN,NaN,26.27,0.13
28,1842,5,-0.718,0.917,-0.532,0.586,-0.603,0.418,NaN,NaN,NaN,NaN,26.27,0.13
29,1842,6,-0.500,1.680,-0.578,0.489,-0.596,0.428,NaN,NaN,NaN,NaN,26.27,0.13
30,1842,7,-0.736,1.158,-0.582,0.509,-0.616,0.416,NaN,NaN,NaN,NaN,26.27,0.13
31,1842,8,-0.527,1.015,-0.652,0.638,-0.618,0.451,-0.792,0.332,NaN,NaN,26.27,0.13
