,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1858,1,0.989,2.833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
1,1858,2,-0.142,2.119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
2,1858,3,0.255,2.173,0.136,1.569,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
3,1858,4,-0.037,3.010,0.225,1.603,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
4,1858,5,-0.651,1.733,0.235,1.551,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
5,1858,6,0.175,2.179,0.097,1.417,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
6,1858,7,-0.004,2.994,-0.024,1.302,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
7,1858,8,0.711,1.986,-0.033,1.313,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
8,1858,9,0.856,1.598,-0.117,1.294,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
9,1858,10,0.761,2.123,-0.163,1.271,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
10,1858,11,-0.727,1.876,-0.155,1.219,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
11,1858,12,-1.029,2.338,-0.215,1.206,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
12,1859,1,-0.454,2.066,-0.274,1.112,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
13,1859,2,-0.249,2.518,-0.343,1.113,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
14,1859,3,-0.763,2.017,-0.414,1.184,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
15,1859,4,-0.588,2.439,-0.496,1.122,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
16,1859,5,-0.555,2.369,-0.490,1.217,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
17,1859,6,-0.543,1.953,-0.524,1.345,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
18,1859,7,-0.711,2.534,-0.506,1.359,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
19,1859,8,-0.112,2.893,-0.521,1.201,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
20,1859,9,0.005,2.161,-0.535,1.145,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
21,1859,10,-0.229,1.183,-0.615,1.107,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
22,1859,11,-0.652,1.709,-0.696,1.059,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
23,1859,12,-1.439,3.469,-0.698,0.993,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
24,1860,1,-0.232,2.065,-0.722,1.047,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
25,1860,2,-0.437,2.088,-0.707,1.056,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
26,1860,3,-0.932,2.079,-0.741,1.110,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
27,1860,4,-1.543,1.877,-0.771,1.170,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
28,1860,5,-1.524,2.098,-0.785,1.110,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
29,1860,6,-0.575,1.914,-0.762,1.022,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
30,1860,7,-0.999,2.679,-0.786,1.087,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
31,1860,8,0.074,2.154,-0.817,1.071,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
32,1860,9,NaN,NaN,-0.863,1.056,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
33,1860,10,-0.591,1.935,-0.950,1.051,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
34,1860,11,-0.819,1.545,-0.967,1.067,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
35,1860,12,-1.155,1.755,-0.966,1.074,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
36,1861,1,-0.520,2.375,-0.952,1.000,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
37,1861,2,NaN,NaN,-0.997,1.088,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
38,1861,3,-1.484,1.895,-0.937,1.121,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
39,1861,4,-2.588,2.262,-0.820,1.076,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
40,1861,5,-1.738,2.418,-0.771,1.065,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
41,1861,6,-0.563,1.897,-0.771,1.027,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
42,1861,7,-0.831,1.420,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
43,1861,8,-0.467,2.585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
44,1861,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
45,1861,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.53,0.23
46,1861,11,-0.229,1.431,NaN,NaN,NaN,NaN,-0.564,0.757,NaN,NaN,31.53,0.23
47,1861,12,-1.158,2.054,NaN,NaN,NaN,NaN,-0.549,0.746,NaN,NaN,31.53,0.23
48,1862,1,NaN,NaN,NaN,NaN,NaN,NaN,-0.543,0.740,NaN,NaN,31.53,0.23
49,1862,2,NaN,NaN,NaN,NaN,NaN,NaN,-0.548,0.730,NaN,NaN,31.53,0.23
50,1862,3,NaN,NaN,NaN,NaN,NaN,NaN,-0.546,0.735,NaN,NaN,31.53,0.23
51,1862,4,NaN,NaN,NaN,NaN,NaN,NaN,-0.542,0.727,NaN,NaN,31.53,0.23
52,1862,5,NaN,NaN,NaN,NaN,NaN,NaN,-0.525,0.710,NaN,NaN,31.53,0.23
53,1862,6,NaN,NaN,NaN,NaN,NaN,NaN,-0.509,0.705,NaN,NaN,31.53,0.23
54,1862,7,NaN,NaN,NaN,NaN,NaN,NaN,-0.499,0.699,NaN,NaN,31.53,0.23
55,1862,8,NaN,NaN,NaN,NaN,NaN,NaN,-0.495,0.695,NaN,NaN,31.53,0.23
56,1862,9,NaN,NaN,NaN,NaN,NaN,NaN,-0.494,0.686,NaN,NaN,31.53,0.23
57,1862,10,NaN,NaN,NaN,NaN,NaN,NaN,-0.491,0.677,NaN,NaN,31.53,0.23
58,1862,11,NaN,NaN,NaN,NaN,NaN,NaN,-0.492,0.677,NaN,NaN,31.53,0.23
59,1862,12,NaN,NaN,NaN,NaN,NaN,NaN,-0.509,0.675,NaN,NaN,31.53,0.23
60,1863,1,-1.129,2.716,NaN,NaN,NaN,NaN,-0.516,0.656,NaN,NaN,31.53,0.23
61,1863,2,-0.373,1.364,NaN,NaN,NaN,NaN,-0.512,0.650,NaN,NaN,31.53,0.23
62,1863,3,-0.947,1.169,-0.751,1.264,NaN,NaN,-0.516,0.649,NaN,NaN,31.53,0.23
63,1863,4,-1.457,3.093,-0.848,1.296,NaN,NaN,-0.522,0.643,NaN,NaN,31.53,0.23
64,1863,5,-1.157,3.291,-0.935,1.388,NaN,NaN,-0.523,0.638,NaN,NaN,31.53,0.23
65,1863,6,-0.365,1.959,-1.022,1.310,NaN,NaN,-0.523,0.624,NaN,NaN,31.53,0.23
66,1863,7,-1.097,2.696,-1.014,1.092,NaN,NaN,-0.521,0.613,NaN,NaN,31.53,0.23
67,1863,8,-0.932,3.110,-1.078,1.041,-0.652,0.695,-0.527,0.620,NaN,NaN,31.53,0.23
68,1863,9,-1.211,1.635,-1.123,1.175,-0.632,0.676,-0.532,0.627,NaN,NaN,31.53,0.23
69,1863,10,-0.592,1.238,-1.105,0.995,-0.597,0.659,-0.529,0.619,NaN,NaN,31.53,0.23
70,1863,11,-1.519,3.136,-1.039,0.838,-0.577,0.662,-0.524,0.618,NaN,NaN,31.53,0.23
71,1863,12,-1.486,1.664,-1.004,0.726,-0.570,0.647,-0.515,0.608,NaN,NaN,31.53,0.23
72,1864,1,-1.026,1.903,-1.009,0.781,-0.562,0.647,-0.512,0.608,NaN,NaN,31.53,0.23
73,1864,2,-1.151,1.281,-0.990,0.833,-0.561,0.625,-0.503,0.599,NaN,NaN,31.53,0.23
74,1864,3,-1.487,2.400,-0.945,0.828,-0.564,0.614,-0.496,0.600,NaN,NaN,31.53,0.23
75,1864,4,-1.239,1.809,-0.905,0.878,-0.577,0.597,-0.498,0.588,NaN,NaN,31.53,0.23
76,1864,5,-0.364,1.990,-0.804,0.849,-0.590,0.595,-0.490,0.582,-0.386,0.555,31.53,0.23
77,1864,6,0.056,1.493,-0.659,0.827,-0.565,0.596,-0.483,0.576,-0.385,0.557,31.53,0.23
78,1864,7,-1.161,1.529,-0.614,0.944,-0.542,0.592,-0.472,0.570,-0.389,0.562,31.53,0.23
79,1864,8,-0.704,1.384,-0.533,0.966,-0.512,0.586,-0.469,0.567,-0.391,0.565,31.53,0.23
80,1864,9,-0.665,1.644,-0.439,0.927,-0.499,0.588,-0.465,0.561,-0.389,0.570,31.53,0.23
