,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1875,1,0.127,2.773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.31,0.40
1,1875,2,-1.002,2.088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.31,0.40
2,1875,3,3.351,3.848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.31,0.40
3,1875,4,1.891,3.568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.31,0.40
4,1875,5,1.588,3.173,0.737,1.262,NaN,NaN,NaN,NaN,NaN,NaN,10.31,0.40
5,1875,6,NaN,NaN,0.705,1.187,NaN,NaN,NaN,NaN,NaN,NaN,10.31,0.40
6,1875,7,2.025,2.997,0.650,1.080,NaN,NaN,NaN,NaN,NaN,NaN,10.31,0.40
7,1875,8,1.464,2.414,0.741,1.010,NaN,NaN,NaN,NaN,NaN,NaN,10.31,0.40
8,1875,9,0.345,2.133,0.398,0.824,NaN,NaN,NaN,NaN,NaN,NaN,10.31,0.40
9,1875,10,-1.112,2.114,0.173,0.704,NaN,NaN,NaN,NaN,NaN,NaN,10.31,0.40
10,1875,11,-0.452,2.306,0.047,0.725,NaN,NaN,NaN,NaN,NaN,NaN,10.31,0.40
11,1875,12,-0.757,2.299,-0.088,0.731,NaN,NaN,NaN,NaN,NaN,NaN,10.31,0.40
12,1876,1,-0.530,2.229,-0.342,0.815,NaN,NaN,NaN,NaN,NaN,NaN,10.31,0.40
13,1876,2,0.098,2.346,-0.528,0.898,NaN,NaN,NaN,NaN,NaN,NaN,10.31,0.40
14,1876,3,-0.774,2.336,-0.610,0.958,NaN,NaN,NaN,NaN,NaN,NaN,10.31,0.40
15,1876,4,-0.808,2.099,-0.735,0.980,NaN,NaN,NaN,NaN,NaN,NaN,10.31,0.40
16,1876,5,0.076,1.992,-0.849,0.959,NaN,NaN,NaN,NaN,NaN,NaN,10.31,0.40
17,1876,6,-0.636,2.315,-0.796,0.904,-0.418,0.365,NaN,NaN,NaN,NaN,10.31,0.40
18,1876,7,-1.018,2.155,-0.837,0.886,-0.366,0.366,NaN,NaN,NaN,NaN,10.31,0.40
19,1876,8,-0.769,2.019,-0.998,0.850,-0.322,0.359,NaN,NaN,NaN,NaN,10.31,0.40
20,1876,9,-0.640,1.992,-0.934,0.792,-0.315,0.354,NaN,NaN,NaN,NaN,10.31,0.40
21,1876,10,-2.615,2.165,-1.152,0.779,-0.277,0.350,NaN,NaN,NaN,NaN,10.31,0.40
22,1876,11,-1.808,1.964,-1.315,0.808,-0.265,0.346,NaN,NaN,NaN,NaN,10.31,0.40
23,1876,12,-0.124,1.889,-1.357,0.771,-0.263,0.345,NaN,NaN,NaN,NaN,10.31,0.40
24,1877,1,-1.028,2.000,-1.203,0.726,-0.265,0.344,NaN,NaN,NaN,NaN,10.31,0.40
25,1877,2,-1.831,2.264,-0.912,0.663,-0.284,0.344,NaN,NaN,NaN,NaN,10.31,0.40
26,1877,3,-0.007,1.847,-0.786,0.642,-0.281,0.343,NaN,NaN,NaN,NaN,10.31,0.40
27,1877,4,-3.427,1.890,-0.742,0.657,-0.302,0.341,NaN,NaN,NaN,NaN,10.31,0.40
28,1877,5,-1.874,2.165,-0.711,0.669,-0.297,0.345,NaN,NaN,NaN,NaN,10.31,0.40
29,1877,6,-1.146,2.094,-0.901,0.676,-0.302,0.349,NaN,NaN,NaN,NaN,10.31,0.40
30,1877,7,0.829,1.979,-0.934,0.670,-0.276,0.340,-0.113,0.404,NaN,NaN,10.31,0.40
31,1877,8,2.727,2.455,-0.943,0.639,-0.289,0.338,-0.100,0.412,NaN,NaN,10.31,0.40
32,1877,9,0.868,1.914,-0.843,0.655,-0.263,0.349,-0.102,0.414,NaN,NaN,10.31,0.40
33,1877,10,-2.089,2.361,-0.708,0.656,-0.252,0.369,-0.114,0.420,NaN,NaN,10.31,0.40
34,1877,11,-1.425,1.980,-0.792,0.673,-0.251,0.402,-0.093,0.415,NaN,NaN,10.31,0.40
35,1877,12,-2.410,2.012,-0.765,0.739,-0.239,0.411,-0.072,0.421,NaN,NaN,10.31,0.40
36,1878,1,-1.421,1.955,-0.885,0.787,-0.281,0.434,-0.076,0.423,NaN,NaN,10.31,0.40
37,1878,2,-1.944,2.193,-1.200,0.908,-0.289,0.454,-0.104,0.438,NaN,NaN,10.31,0.40
38,1878,3,1.201,1.788,-1.267,1.011,-0.303,0.466,-0.100,0.434,NaN,NaN,10.31,0.40
39,1878,4,-1.812,1.863,-1.106,0.984,-0.278,0.467,-0.090,0.442,NaN,NaN,10.31,0.40
40,1878,5,-2.888,2.429,-0.925,0.894,-0.271,0.466,-0.082,0.450,NaN,NaN,10.31,0.40
41,1878,6,-0.818,2.640,-0.669,0.860,-0.274,0.459,-0.066,0.450,NaN,NaN,10.31,0.40
42,1878,7,-0.606,2.069,-0.359,0.866,-0.233,0.458,-0.067,0.452,NaN,NaN,10.31,0.40
43,1878,8,-1.058,2.053,-0.037,0.774,-0.199,0.454,-0.051,0.454,NaN,NaN,10.31,0.40
44,1878,9,0.066,2.413,-0.215,0.752,-0.190,0.459,-0.043,0.460,NaN,NaN,10.31,0.40
45,1878,10,-0.155,2.145,0.036,0.720,-0.176,0.474,-0.042,0.462,NaN,NaN,10.31,0.40
46,1878,11,0.742,1.829,0.344,0.702,-0.157,0.489,-0.049,0.461,NaN,NaN,10.31,0.40
47,1878,12,0.666,2.006,0.396,0.728,-0.142,0.500,-0.037,0.453,NaN,NaN,10.31,0.40
48,1879,1,2.298,1.966,0.412,0.764,-0.107,0.516,-0.019,0.452,NaN,NaN,10.31,0.40
49,1879,2,1.925,2.348,0.434,0.768,-0.074,0.531,-0.016,0.447,NaN,NaN,10.31,0.40
50,1879,3,-0.944,2.338,0.409,0.877,-0.055,0.542,-0.013,0.445,NaN,NaN,10.31,0.40
51,1879,4,1.201,2.152,0.382,0.993,-0.013,0.559,-0.009,0.448,NaN,NaN,10.31,0.40
52,1879,5,0.809,1.788,0.262,1.025,0.021,0.570,-0.010,0.449,NaN,NaN,10.31,0.40
53,1879,6,-0.189,2.099,0.152,0.991,-0.004,0.573,-0.013,0.449,NaN,NaN,10.31,0.40
54,1879,7,-0.422,2.130,0.100,0.961,0.014,0.583,-0.012,0.451,NaN,NaN,10.31,0.40
55,1879,8,-0.794,1.936,-0.209,0.904,0.022,0.593,-0.018,0.453,NaN,NaN,10.31,0.40
56,1879,9,-0.231,2.092,0.277,0.936,0.016,0.605,-0.026,0.455,NaN,NaN,10.31,0.40
57,1879,10,-0.476,1.892,0.394,0.996,0.055,0.611,-0.052,0.452,NaN,NaN,10.31,0.40
58,1879,11,-0.699,2.056,0.461,1.064,0.088,0.620,-0.056,0.450,NaN,NaN,10.31,0.40
59,1879,12,-0.652,2.212,0.620,1.133,0.130,0.631,-0.050,0.449,NaN,NaN,10.31,0.40
60,1880,1,1.676,2.207,0.616,1.158,0.090,0.622,-0.076,0.445,-0.150,0.394,10.31,0.40
61,1880,2,-1.792,1.955,0.764,1.273,0.071,0.625,-0.086,0.440,-0.145,0.399,10.31,0.40
62,1880,3,4.894,2.774,0.741,1.250,0.043,0.625,-0.109,0.443,-0.139,0.402,10.31,0.40
