,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1876,4,-1.509,2.393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
1,1876,5,-0.438,2.212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
2,1876,6,-1.436,2.321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
3,1876,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
4,1876,8,-0.758,2.178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
5,1876,9,-1.560,2.354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
6,1876,10,-0.848,2.308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
7,1876,11,-0.671,2.456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
8,1876,12,-1.527,2.457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
9,1877,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
10,1877,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
11,1877,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
12,1877,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
13,1877,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
14,1877,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
15,1877,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
16,1877,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
17,1877,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
18,1877,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
19,1877,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
20,1877,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
21,1878,1,-0.970,2.155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
22,1878,2,-0.416,2.172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
23,1878,3,0.665,2.117,-0.004,0.691,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
24,1878,4,-0.806,2.127,0.065,0.669,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
25,1878,5,-0.138,2.191,-0.315,0.635,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
26,1878,6,-0.294,2.117,-0.670,0.657,NaN,NaN,NaN,NaN,NaN,NaN,8.88,0.17
27,1878,7,-0.143,2.104,-0.688,0.697,-0.953,0.400,NaN,NaN,NaN,NaN,8.88,0.17
28,1878,8,0.669,2.452,-0.694,0.709,-0.918,0.387,NaN,NaN,NaN,NaN,8.88,0.17
29,1878,9,0.033,2.269,-0.822,0.698,-0.887,0.384,NaN,NaN,NaN,NaN,8.88,0.17
30,1878,10,-0.266,2.110,-0.832,0.725,-0.849,0.379,NaN,NaN,NaN,NaN,8.88,0.17
31,1878,11,-2.879,2.805,-0.924,0.766,-0.830,0.374,NaN,NaN,NaN,NaN,8.88,0.17
32,1878,12,-3.490,2.968,-0.915,0.748,-0.826,0.366,NaN,NaN,NaN,NaN,8.88,0.17
33,1879,1,-1.186,2.360,-0.995,0.772,-0.831,0.357,NaN,NaN,NaN,NaN,8.88,0.17
34,1879,2,-0.488,2.115,-1.059,0.784,-0.817,0.352,NaN,NaN,NaN,NaN,8.88,0.17
35,1879,3,-0.878,2.156,-1.191,0.789,-0.810,0.347,NaN,NaN,NaN,NaN,8.88,0.17
36,1879,4,-0.921,2.202,-1.338,0.842,-0.808,0.346,NaN,NaN,NaN,NaN,8.88,0.17
37,1879,5,-1.251,2.273,-1.324,0.829,-0.824,0.353,NaN,NaN,NaN,NaN,8.88,0.17
