,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1878,3,0.690,1.412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.07,1.08
1,1878,4,0.521,1.292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.07,1.08
2,1878,5,-0.489,1.156,0.291,0.756,NaN,NaN,NaN,NaN,NaN,NaN,31.07,1.08
3,1878,6,0.055,1.263,0.285,0.740,NaN,NaN,NaN,NaN,NaN,NaN,31.07,1.08
4,1878,7,0.611,1.785,0.310,0.727,NaN,NaN,NaN,NaN,NaN,NaN,31.07,1.08
5,1878,8,0.546,1.327,0.204,0.691,NaN,NaN,NaN,NaN,NaN,NaN,31.07,1.08
6,1878,9,0.041,1.247,0.041,0.687,NaN,NaN,NaN,NaN,NaN,NaN,31.07,1.08
7,1878,10,0.390,1.237,-0.082,0.664,NaN,NaN,NaN,NaN,NaN,NaN,31.07,1.08
8,1878,11,0.127,1.303,-0.124,0.648,NaN,NaN,NaN,NaN,NaN,NaN,31.07,1.08
9,1878,12,0.121,1.218,-0.176,0.631,NaN,NaN,NaN,NaN,NaN,NaN,31.07,1.08
10,1879,1,0.585,1.203,-0.281,0.637,NaN,NaN,NaN,NaN,NaN,NaN,31.07,1.08
11,1879,2,-0.745,1.506,-0.423,0.650,NaN,NaN,NaN,NaN,NaN,NaN,31.07,1.08
12,1879,3,-1.268,1.634,-0.520,0.703,NaN,NaN,NaN,NaN,NaN,NaN,31.07,1.08
13,1879,4,-0.958,1.320,-0.635,0.728,NaN,NaN,NaN,NaN,NaN,NaN,31.07,1.08
14,1879,5,-0.990,1.144,-0.665,0.692,NaN,NaN,NaN,NaN,NaN,NaN,31.07,1.08
15,1879,6,-0.569,1.223,-0.730,0.680,-0.267,0.485,NaN,NaN,NaN,NaN,31.07,1.08
16,1879,7,-0.655,1.248,-0.858,0.711,-0.257,0.493,NaN,NaN,NaN,NaN,31.07,1.08
17,1879,8,-1.155,1.312,-0.848,0.641,-0.258,0.498,NaN,NaN,NaN,NaN,31.07,1.08
18,1879,9,-1.127,1.578,-0.732,0.606,-0.263,0.494,NaN,NaN,NaN,NaN,31.07,1.08
19,1879,10,-0.989,1.255,-0.663,0.608,-0.255,0.504,NaN,NaN,NaN,NaN,31.07,1.08
20,1879,11,-0.235,1.174,-0.621,0.618,-0.261,0.502,NaN,NaN,NaN,NaN,31.07,1.08
21,1879,12,-0.650,1.346,-0.585,0.615,-0.287,0.503,NaN,NaN,NaN,NaN,31.07,1.08
22,1880,1,-0.951,1.577,-0.578,0.585,-0.310,0.507,NaN,NaN,NaN,NaN,31.07,1.08
23,1880,2,-0.631,1.252,-0.462,0.625,-0.324,0.508,NaN,NaN,NaN,NaN,31.07,1.08
24,1880,3,0.125,1.827,-0.451,0.641,-0.320,0.522,NaN,NaN,NaN,NaN,31.07,1.08
25,1880,4,-0.134,1.296,-0.434,0.663,-0.316,0.540,NaN,NaN,NaN,NaN,31.07,1.08
26,1880,5,NaN,NaN,-0.496,0.666,-0.318,0.534,NaN,NaN,NaN,NaN,31.07,1.08
27,1880,6,-0.135,1.251,-0.586,0.634,-0.331,0.534,NaN,NaN,NaN,NaN,31.07,1.08
28,1880,7,-0.575,1.155,-0.513,0.728,-0.327,0.548,NaN,NaN,NaN,NaN,31.07,1.08
29,1880,8,0.244,1.837,-0.499,0.698,-0.357,0.560,NaN,NaN,NaN,NaN,31.07,1.08
30,1880,9,-0.994,1.145,-0.508,0.667,-0.350,0.593,-0.445,0.549,NaN,NaN,31.07,1.08
31,1880,10,-0.789,1.092,-0.451,0.697,-0.351,0.611,-0.445,0.548,NaN,NaN,31.07,1.08
32,1880,11,-0.974,1.182,-0.332,0.793,-0.346,0.613,-0.446,0.545,NaN,NaN,31.07,1.08
33,1880,12,-1.734,1.111,-0.375,0.739,-0.326,0.610,-0.446,0.544,NaN,NaN,31.07,1.08
34,1881,1,-0.078,1.634,-0.345,0.718,-0.331,0.600,-0.443,0.548,NaN,NaN,31.07,1.08
35,1881,2,-0.462,1.159,-0.344,0.668,-0.345,0.603,-0.450,0.545,NaN,NaN,31.07,1.08
36,1881,3,0.024,1.321,-0.323,0.684,-0.356,0.616,-0.448,0.544,NaN,NaN,31.07,1.08
37,1881,4,0.547,1.791,-0.303,0.724,-0.377,0.628,-0.451,0.549,NaN,NaN,31.07,1.08
38,1881,5,0.943,2.284,-0.303,0.728,-0.391,0.645,-0.449,0.545,NaN,NaN,31.07,1.08
39,1881,6,-0.656,1.050,-0.160,0.839,-0.411,0.620,-0.450,0.543,NaN,NaN,31.07,1.08
40,1881,7,-0.206,1.148,-0.109,0.864,-0.442,0.595,-0.450,0.541,NaN,NaN,31.07,1.08
41,1881,8,0.246,1.217,-0.022,0.956,-0.449,0.575,-0.451,0.538,NaN,NaN,31.07,1.08
42,1881,9,-0.739,1.113,-0.084,0.941,-0.451,0.572,-0.454,0.539,NaN,NaN,31.07,1.08
43,1881,10,-0.546,1.436,-0.155,0.869,-0.451,0.589,-0.449,0.538,NaN,NaN,31.07,1.08
44,1881,11,-0.975,1.340,-0.308,0.781,-0.450,0.605,-0.443,0.539,NaN,NaN,31.07,1.08
45,1881,12,-0.023,1.867,-0.400,0.822,-0.440,0.626,-0.448,0.549,NaN,NaN,31.07,1.08
46,1882,1,0.537,1.930,-0.480,0.845,-0.450,0.636,-0.455,0.544,NaN,NaN,31.07,1.08
47,1882,2,0.582,1.760,-0.541,0.825,-0.454,0.627,-0.467,0.543,NaN,NaN,31.07,1.08
