,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1883,1,-1.918,1.222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
1,1883,2,-2.000,1.493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
2,1883,3,-1.368,0.989,-1.262,0.751,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
3,1883,4,-1.381,1.297,-1.306,0.779,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
4,1883,5,-0.707,1.262,-1.328,0.816,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
5,1883,6,-1.113,1.523,-1.357,0.795,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
6,1883,7,-0.487,0.978,-1.357,0.764,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
7,1883,8,-0.965,1.285,-1.303,0.664,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
8,1883,9,-1.528,1.226,-1.307,0.612,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
9,1883,10,-1.503,1.370,-1.330,0.573,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
10,1883,11,-1.595,1.273,-1.371,0.519,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
11,1883,12,-1.720,1.185,-1.363,0.469,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
12,1884,1,-1.910,1.509,-1.412,0.474,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
13,1884,2,-1.364,1.212,-1.405,0.476,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
14,1884,3,-1.413,1.430,-1.417,0.480,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
15,1884,4,-1.658,1.167,-1.429,0.470,-1.100,0.351,NaN,NaN,NaN,NaN,20.33,0.25
16,1884,5,-1.191,1.111,-1.401,0.461,-1.115,0.346,NaN,NaN,NaN,NaN,20.33,0.25
17,1884,6,-1.017,1.229,-1.339,0.472,-1.121,0.346,NaN,NaN,NaN,NaN,20.33,0.25
18,1884,7,-1.076,1.028,-1.320,0.493,-1.149,0.341,NaN,NaN,NaN,NaN,20.33,0.25
19,1884,8,-0.879,1.009,-1.287,0.503,-1.174,0.350,NaN,NaN,NaN,NaN,20.33,0.25
20,1884,9,-1.675,1.714,-1.260,0.494,-1.201,0.365,NaN,NaN,NaN,NaN,20.33,0.25
21,1884,10,-1.654,1.178,-1.205,0.516,-1.211,0.366,NaN,NaN,NaN,NaN,20.33,0.25
22,1884,11,-1.258,1.127,-1.157,0.524,-1.210,0.357,NaN,NaN,NaN,NaN,20.33,0.25
23,1884,12,-0.974,1.058,-1.178,0.534,-1.200,0.343,NaN,NaN,NaN,NaN,20.33,0.25
24,1885,1,-1.681,1.277,-1.118,0.535,-1.197,0.347,NaN,NaN,NaN,NaN,20.33,0.25
25,1885,2,-0.966,1.321,-1.173,0.539,-1.205,0.351,NaN,NaN,NaN,NaN,20.33,0.25
26,1885,3,-1.085,1.140,-1.202,0.528,-1.204,0.346,NaN,NaN,NaN,NaN,20.33,0.25
27,1885,4,-1.009,1.109,-1.207,0.557,-1.200,0.332,NaN,NaN,NaN,NaN,20.33,0.25
28,1885,5,-0.607,1.215,-1.215,0.622,-1.195,0.326,NaN,NaN,NaN,NaN,20.33,0.25
29,1885,6,-1.271,1.047,-1.177,0.595,-1.184,0.311,NaN,NaN,NaN,NaN,20.33,0.25
30,1885,7,-0.352,1.098,-1.148,0.597,-1.181,0.315,NaN,NaN,NaN,NaN,20.33,0.25
31,1885,8,-1.547,1.862,-1.136,0.575,-1.169,0.308,NaN,NaN,NaN,NaN,20.33,0.25
32,1885,9,-2.016,1.928,-1.153,0.559,-1.169,0.309,NaN,NaN,NaN,NaN,20.33,0.25
33,1885,10,-1.720,2.023,-1.170,0.565,-1.164,0.307,NaN,NaN,NaN,NaN,20.33,0.25
34,1885,11,NaN,NaN,-1.168,0.553,-1.166,0.309,NaN,NaN,NaN,NaN,20.33,0.25
35,1885,12,-0.509,1.639,-1.148,0.536,-1.168,0.310,NaN,NaN,NaN,NaN,20.33,0.25
36,1886,1,-1.336,1.258,-1.151,0.559,-1.169,0.317,NaN,NaN,NaN,NaN,20.33,0.25
37,1886,2,-0.820,1.721,-1.048,0.533,-1.164,0.321,NaN,NaN,NaN,NaN,20.33,0.25
38,1886,3,-1.293,1.187,-0.919,0.576,-1.155,0.323,NaN,NaN,NaN,NaN,20.33,0.25
39,1886,4,-1.210,1.014,-0.807,0.734,-1.141,0.326,NaN,NaN,NaN,NaN,20.33,0.25
40,1886,5,-0.589,0.982,-0.849,0.665,-1.128,0.328,NaN,NaN,NaN,NaN,20.33,0.25
41,1886,6,-1.023,1.214,-0.936,0.584,-1.121,0.336,NaN,NaN,NaN,NaN,20.33,0.25
42,1886,7,-0.389,1.163,-1.025,0.529,-1.113,0.340,NaN,NaN,NaN,NaN,20.33,0.25
43,1886,8,-0.314,1.357,-1.159,0.507,-1.098,0.343,NaN,NaN,NaN,NaN,20.33,0.25
44,1886,9,-0.467,1.357,-1.263,0.599,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
45,1886,10,-0.384,1.707,-1.273,0.613,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
46,1886,11,-1.847,1.327,-1.252,0.590,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
47,1886,12,-1.557,2.761,-1.175,0.551,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
48,1887,1,-2.404,1.589,-1.156,0.555,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
49,1887,2,-2.431,2.050,-1.220,0.596,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
50,1887,3,-2.543,2.587,-1.219,0.610,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
51,1887,4,-1.324,1.025,-1.250,0.617,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
52,1887,5,-0.341,1.470,-1.184,0.558,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
53,1887,6,-0.100,2.678,-1.111,0.475,NaN,NaN,NaN,NaN,NaN,NaN,20.33,0.25
54,1887,7,-0.161,1.094,-1.054,0.493,NaN,NaN,-1.113,0.271,NaN,NaN,20.33,0.25
55,1887,8,-1.085,1.313,-0.959,0.524,NaN,NaN,-1.112,0.272,NaN,NaN,20.33,0.25
56,1887,9,-0.444,1.274,-0.864,0.624,NaN,NaN,-1.117,0.270,NaN,NaN,20.33,0.25
57,1887,10,-0.762,1.143,NaN,NaN,NaN,NaN,-1.113,0.266,NaN,NaN,20.33,0.25
58,1887,11,-1.056,1.353,NaN,NaN,NaN,NaN,-1.113,0.266,NaN,NaN,20.33,0.25
59,1887,12,-0.683,1.478,NaN,NaN,NaN,NaN,-1.112,0.263,NaN,NaN,20.33,0.25
60,1888,1,NaN,NaN,NaN,NaN,NaN,NaN,-1.110,0.258,NaN,NaN,20.33,0.25
61,1888,2,NaN,NaN,NaN,NaN,NaN,NaN,-1.106,0.255,NaN,NaN,20.33,0.25
62,1888,3,NaN,NaN,NaN,NaN,NaN,NaN,-1.105,0.253,NaN,NaN,20.33,0.25
63,1888,4,NaN,NaN,NaN,NaN,NaN,NaN,-1.105,0.249,NaN,NaN,20.33,0.25
64,1888,5,NaN,NaN,NaN,NaN,NaN,NaN,-1.106,0.249,NaN,NaN,20.33,0.25
65,1888,6,NaN,NaN,NaN,NaN,NaN,NaN,-1.098,0.247,NaN,NaN,20.33,0.25
66,1888,7,NaN,NaN,NaN,NaN,NaN,NaN,-1.095,0.249,NaN,NaN,20.33,0.25
67,1888,8,NaN,NaN,NaN,NaN,NaN,NaN,-1.090,0.248,NaN,NaN,20.33,0.25
68,1888,9,NaN,NaN,NaN,NaN,NaN,NaN,-1.081,0.246,NaN,NaN,20.33,0.25
69,1888,10,NaN,NaN,NaN,NaN,NaN,NaN,-1.075,0.246,NaN,NaN,20.33,0.25
70,1888,11,NaN,NaN,NaN,NaN,NaN,NaN,-1.069,0.245,NaN,NaN,20.33,0.25
71,1888,12,NaN,NaN,NaN,NaN,NaN,NaN,-1.068,0.246,NaN,NaN,20.33,0.25
72,1889,1,NaN,NaN,NaN,NaN,NaN,NaN,-1.064,0.247,NaN,NaN,20.33,0.25
73,1889,2,NaN,NaN,NaN,NaN,NaN,NaN,-1.064,0.247,NaN,NaN,20.33,0.25
74,1889,3,NaN,NaN,NaN,NaN,NaN,NaN,-1.060,0.248,NaN,NaN,20.33,0.25
75,1889,4,NaN,NaN,NaN,NaN,NaN,NaN,-1.055,0.249,NaN,NaN,20.33,0.25
76,1889,5,NaN,NaN,NaN,NaN,NaN,NaN,-1.053,0.250,NaN,NaN,20.33,0.25
77,1889,6,NaN,NaN,NaN,NaN,NaN,NaN,-1.051,0.251,NaN,NaN,20.33,0.25
78,1889,7,NaN,NaN,NaN,NaN,NaN,NaN,-1.044,0.252,NaN,NaN,20.33,0.25
79,1889,8,NaN,NaN,NaN,NaN,NaN,NaN,-1.038,0.254,NaN,NaN,20.33,0.25
80,1889,9,NaN,NaN,NaN,NaN,NaN,NaN,-1.027,0.257,NaN,NaN,20.33,0.25
81,1889,10,NaN,NaN,NaN,NaN,NaN,NaN,-1.017,0.260,NaN,NaN,20.33,0.25
82,1889,11,NaN,NaN,NaN,NaN,NaN,NaN,-1.012,0.258,NaN,NaN,20.33,0.25
83,1889,12,NaN,NaN,NaN,NaN,NaN,NaN,-1.011,0.257,NaN,NaN,20.33,0.25
84,1890,1,-1.871,1.177,NaN,NaN,NaN,NaN,-1.005,0.252,-0.976,0.236,20.33,0.25
85,1890,2,-1.556,1.074,NaN,NaN,NaN,NaN,-1.008,0.251,-0.972,0.236,20.33,0.25
86,1890,3,-1.926,1.028,NaN,NaN,NaN,NaN,-1.007,0.252,-0.967,0.236,20.33,0.25
87,1890,4,-1.416,1.515,-1.201,0.545,NaN,NaN,-1.008,0.250,-0.965,0.234,20.33,0.25
88,1890,5,-1.159,1.124,-1.193,0.543,NaN,NaN,-1.002,0.251,-0.969,0.232,20.33,0.25
89,1890,6,-1.091,1.027,-1.197,0.535,NaN,NaN,-0.998,0.251,-0.969,0.232,20.33,0.25
90,1890,7,-1.015,1.251,-1.150,0.525,NaN,NaN,-1.006,0.248,-0.968,0.234,20.33,0.25
91,1890,8,-1.201,0.964,-1.171,0.541,NaN,NaN,-0.999,0.253,-0.966,0.232,20.33,0.25
92,1890,9,-0.376,1.780,-1.099,0.549,NaN,NaN,-0.992,0.258,-0.967,0.229,20.33,0.25
93,1890,10,-0.389,0.989,-1.107,0.578,NaN,NaN,-0.984,0.268,-0.964,0.228,20.33,0.25
94,1890,11,-1.316,1.367,-1.086,0.569,NaN,NaN,-0.980,0.273,-0.962,0.228,20.33,0.25
95,1890,12,-1.053,1.011,-1.128,0.570,NaN,NaN,-0.980,0.278,-0.961,0.226,20.33,0.25
96,1891,1,-1.297,1.413,-1.137,0.585,NaN,NaN,-0.979,0.279,-0.958,0.227,20.33,0.25
97,1891,2,-1.810,1.432,-1.138,0.589,NaN,NaN,-0.984,0.277,-0.960,0.224,20.33,0.25
98,1891,3,-1.062,1.070,-1.207,0.532,-1.007,0.325,-0.982,0.278,-0.960,0.223,20.33,0.25
99,1891,4,-1.515,1.105,-1.260,0.543,-1.010,0.321,-0.983,0.280,-0.963,0.221,20.33,0.25
100,1891,5,-0.902,1.063,-1.256,0.532,-1.011,0.317,-0.984,0.282,-0.964,0.219,20.33,0.25
