,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1846,1,0.579,2.398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
1,1846,2,-0.159,2.014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
2,1846,3,0.391,1.354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
3,1846,4,0.096,1.041,-0.209,0.921,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
4,1846,5,-0.075,1.693,-0.249,0.970,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
5,1846,6,-0.155,1.369,-0.159,0.780,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
6,1846,7,-0.195,1.625,-0.212,0.554,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
7,1846,8,-0.178,1.142,-0.311,0.450,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
8,1846,9,-0.212,1.352,-0.486,0.434,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
9,1846,10,-1.014,1.634,-0.634,0.520,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
10,1846,11,-0.482,1.653,-0.704,0.671,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
11,1846,12,-0.505,1.737,-0.815,0.947,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
12,1847,1,-0.058,1.928,-0.890,1.025,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
13,1847,2,-1.346,1.637,-0.956,1.129,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
14,1847,3,-1.705,1.060,-1.023,1.425,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
15,1847,4,-1.684,2.438,-1.048,1.506,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
16,1847,5,-0.915,2.030,-1.057,1.714,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
17,1847,6,-1.482,3.318,-1.040,1.646,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
18,1847,7,-1.106,1.036,-1.099,1.379,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
19,1847,8,-0.959,1.945,-1.000,1.156,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
20,1847,9,-1.017,3.256,-0.950,1.241,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
21,1847,10,-1.322,2.517,-0.857,1.067,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
22,1847,11,-0.579,1.527,-0.873,0.980,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
23,1847,12,-0.312,1.403,-0.814,0.789,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
24,1848,1,-0.756,2.224,-0.831,0.886,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
25,1848,2,-0.160,2.004,-0.801,0.734,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
26,1848,3,-1.110,2.004,-0.817,0.689,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
27,1848,4,-0.569,0.940,-0.788,0.647,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
28,1848,5,-1.108,1.464,-0.806,0.613,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
29,1848,6,-0.769,1.017,-0.780,0.675,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
30,1848,7,-1.315,1.871,-0.749,0.965,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
31,1848,8,-0.597,0.799,-0.778,1.301,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
32,1848,9,-1.210,2.669,-0.734,1.103,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
33,1848,10,-0.972,1.783,-0.842,1.249,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
34,1848,11,-0.797,1.176,-0.882,1.562,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
35,1848,12,0.003,2.216,-0.895,1.627,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
36,1849,1,-0.384,2.587,-0.913,1.376,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
37,1849,2,-0.505,2.984,-0.921,1.503,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
38,1849,3,-0.584,1.144,-0.919,1.394,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
39,1849,4,-1.864,1.831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.85,0.34
