,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1846,1,0.510,1.546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.29,0.30
1,1846,2,-1.029,3.499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.29,0.30
2,1846,3,0.158,1.733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.29,0.30
3,1846,4,0.288,0.839,0.025,1.059,NaN,NaN,NaN,NaN,NaN,NaN,22.29,0.30
4,1846,5,0.449,0.886,-0.034,1.036,NaN,NaN,NaN,NaN,NaN,NaN,22.29,0.30
5,1846,6,0.513,0.691,0.085,0.958,NaN,NaN,NaN,NaN,NaN,NaN,22.29,0.30
6,1846,7,-0.024,1.045,0.102,1.190,NaN,NaN,NaN,NaN,NaN,NaN,22.29,0.30
7,1846,8,0.130,1.975,0.102,0.874,NaN,NaN,NaN,NaN,NaN,NaN,22.29,0.30
8,1846,9,0.560,0.740,-0.035,0.815,NaN,NaN,NaN,NaN,NaN,NaN,22.29,0.30
9,1846,10,-0.386,3.544,-0.136,0.958,NaN,NaN,NaN,NaN,NaN,NaN,22.29,0.30
10,1846,11,0.103,1.546,-0.196,0.951,NaN,NaN,NaN,NaN,NaN,NaN,22.29,0.30
11,1846,12,-0.257,1.056,-0.271,1.087,NaN,NaN,NaN,NaN,NaN,NaN,22.29,0.30
12,1847,1,0.713,2.083,-0.285,1.048,NaN,NaN,NaN,NaN,NaN,NaN,22.29,0.30
13,1847,2,-1.024,2.121,-0.349,1.093,NaN,NaN,NaN,NaN,NaN,NaN,22.29,0.30
14,1847,3,-1.491,1.785,-0.403,1.222,NaN,NaN,NaN,NaN,NaN,NaN,22.29,0.30
15,1847,4,-0.917,2.962,-0.429,1.163,NaN,NaN,NaN,NaN,NaN,NaN,22.29,0.30
16,1847,5,-0.274,0.673,-0.430,1.313,NaN,NaN,NaN,NaN,NaN,NaN,22.29,0.30
17,1847,6,-0.385,2.220,-0.382,1.269,-0.351,1.014,NaN,NaN,NaN,NaN,22.29,0.30
18,1847,7,-0.194,0.729,-0.462,1.037,-0.429,0.990,NaN,NaN,NaN,NaN,22.29,0.30
19,1847,8,-0.638,2.358,-0.351,1.161,-0.423,1.003,NaN,NaN,NaN,NaN,22.29,0.30
20,1847,9,-0.092,2.028,-0.278,1.297,-0.413,1.033,NaN,NaN,NaN,NaN,22.29,0.30
21,1847,10,-0.700,2.743,-0.234,1.296,-0.409,1.028,NaN,NaN,NaN,NaN,22.29,0.30
22,1847,11,0.100,2.158,-0.240,1.414,-0.391,1.025,NaN,NaN,NaN,NaN,22.29,0.30
23,1847,12,0.312,1.748,-0.234,1.391,-0.376,1.001,NaN,NaN,NaN,NaN,22.29,0.30
24,1848,1,-0.245,1.671,-0.266,1.483,-0.361,0.978,NaN,NaN,NaN,NaN,22.29,0.30
25,1848,2,0.312,1.940,-0.281,1.385,-0.356,0.985,NaN,NaN,NaN,NaN,22.29,0.30
