,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1819,1,-1.617,6.328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.89,0.45
1,1819,2,-1.223,6.219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.89,0.45
2,1819,3,1.114,7.291,0.273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.89,0.45
3,1819,4,-0.217,6.599,0.479,5.051,NaN,NaN,NaN,NaN,NaN,NaN,25.89,0.45
4,1819,5,3.419,4.365,0.714,5.240,NaN,NaN,NaN,NaN,NaN,NaN,25.89,0.45
5,1819,6,3.246,6.865,0.786,5.294,NaN,NaN,NaN,NaN,NaN,NaN,25.89,0.45
6,1819,7,0.416,4.993,1.018,4.878,NaN,NaN,NaN,NaN,NaN,NaN,25.89,0.45
7,1819,8,0.257,7.434,1.365,4.860,NaN,NaN,NaN,NaN,NaN,NaN,25.89,0.45
8,1819,9,-1.103,5.677,1.223,4.605,NaN,NaN,NaN,NaN,NaN,NaN,25.89,0.45
9,1819,10,2.866,3.520,1.400,4.678,NaN,NaN,NaN,NaN,NaN,NaN,25.89,0.45
10,1819,11,2.655,4.292,1.281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.89,0.45
11,1819,12,-0.383,1.926,1.134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.89,0.45
12,1820,1,1.166,2.862,1.232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.89,0.45
13,1820,2,2.945,6.310,1.195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.89,0.45
14,1820,3,-0.593,4.540,1.227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.89,0.45
15,1820,4,1.910,4.839,1.142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.89,0.45
16,1820,5,NaN,NaN,0.804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.89,0.45
17,1820,6,1.475,5.233,0.733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.89,0.45
18,1820,7,1.598,3.277,0.781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.89,0.45
19,1820,8,-0.193,5.845,0.415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.89,0.45
