,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1853,1,-0.259,2.183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
1,1853,2,-1.356,1.808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
2,1853,3,-0.545,1.870,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
3,1853,4,-0.374,2.060,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
4,1853,5,-0.533,1.561,-0.363,1.195,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
5,1853,6,-0.140,1.547,-0.450,1.167,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
6,1853,7,-0.433,1.636,-0.440,1.205,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
7,1853,8,-0.396,1.692,-0.395,1.376,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
8,1853,9,-0.380,1.811,-0.377,1.420,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
9,1853,10,-0.450,2.817,-0.483,1.352,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
10,1853,11,0.546,1.864,-0.456,1.418,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
11,1853,12,-1.085,1.691,-0.438,1.469,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
12,1854,1,-0.131,1.714,-0.387,1.406,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
13,1854,2,-0.822,2.450,-0.383,1.441,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
14,1854,3,-0.328,2.301,-0.445,1.423,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
15,1854,4,-1.647,1.513,-0.387,1.275,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
16,1854,5,-0.212,2.252,-0.627,1.214,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
17,1854,6,0.083,1.735,-0.620,1.243,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
18,1854,7,0.173,1.421,-0.630,1.180,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
19,1854,8,-0.346,2.062,-0.680,1.155,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
20,1854,9,-1.125,1.699,-0.723,1.045,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
21,1854,10,NaN,NaN,-0.642,1.085,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
22,1854,11,-2.338,1.741,-0.650,1.032,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
23,1854,12,-1.001,1.966,-0.735,0.989,-0.847,1.156,NaN,NaN,NaN,NaN,19.43,0.24
24,1855,1,-0.249,1.537,-0.804,0.975,-0.848,1.139,NaN,NaN,NaN,NaN,19.43,0.24
25,1855,2,-1.420,2.313,-0.846,0.976,-0.864,1.141,NaN,NaN,NaN,NaN,19.43,0.24
26,1855,3,-0.844,1.550,-0.837,0.942,-0.876,1.128,NaN,NaN,NaN,NaN,19.43,0.24
27,1855,4,-0.677,1.701,-0.977,0.982,-0.888,1.126,NaN,NaN,NaN,NaN,19.43,0.24
28,1855,5,-0.307,1.637,-0.900,1.027,-0.901,1.125,NaN,NaN,NaN,NaN,19.43,0.24
29,1855,6,-0.934,1.468,-0.933,0.989,-0.887,1.120,NaN,NaN,NaN,NaN,19.43,0.24
30,1855,7,-0.658,1.268,-1.028,1.062,-0.875,1.112,NaN,NaN,NaN,NaN,19.43,0.24
31,1855,8,-0.845,2.101,-1.025,1.101,-0.884,1.114,NaN,NaN,NaN,NaN,19.43,0.24
32,1855,9,-1.026,1.536,-1.105,1.225,-0.889,1.113,NaN,NaN,NaN,NaN,19.43,0.24
33,1855,10,-1.423,2.023,-1.146,1.205,-0.913,1.106,NaN,NaN,NaN,NaN,19.43,0.24
34,1855,11,-1.416,1.993,-1.206,1.220,-0.934,1.104,NaN,NaN,NaN,NaN,19.43,0.24
35,1855,12,-1.394,1.872,-1.188,1.311,-0.948,1.100,NaN,NaN,NaN,NaN,19.43,0.24
36,1856,1,-1.390,1.682,-1.267,1.394,-0.942,1.097,NaN,NaN,NaN,NaN,19.43,0.24
37,1856,2,-1.390,2.670,-1.334,1.438,-0.952,1.090,NaN,NaN,NaN,NaN,19.43,0.24
38,1856,3,-1.802,2.827,-1.329,1.545,-0.949,1.079,NaN,NaN,NaN,NaN,19.43,0.24
39,1856,4,-1.170,1.404,-1.311,1.542,-0.930,1.055,NaN,NaN,NaN,NaN,19.43,0.24
40,1856,5,-1.023,1.632,-1.456,1.488,-0.963,1.038,NaN,NaN,NaN,NaN,19.43,0.24
41,1856,6,-0.720,2.182,-1.504,1.483,-0.939,1.034,NaN,NaN,NaN,NaN,19.43,0.24
42,1856,7,-1.607,1.560,-1.507,1.590,-0.937,1.022,NaN,NaN,NaN,NaN,19.43,0.24
43,1856,8,-1.644,2.508,-1.280,1.473,-0.899,1.006,NaN,NaN,NaN,NaN,19.43,0.24
44,1856,9,-0.968,2.540,-1.155,1.422,-0.918,0.971,NaN,NaN,NaN,NaN,19.43,0.24
45,1856,10,-1.210,1.823,-1.145,1.485,-0.908,0.958,NaN,NaN,NaN,NaN,19.43,0.24
46,1856,11,-3.158,1.664,-1.184,1.484,-0.902,0.932,NaN,NaN,NaN,NaN,19.43,0.24
47,1856,12,-1.968,2.197,-1.259,1.456,-0.897,0.929,NaN,NaN,NaN,NaN,19.43,0.24
48,1857,1,-1.423,2.823,-1.213,1.389,-0.912,0.934,NaN,NaN,NaN,NaN,19.43,0.24
49,1857,2,1.329,1.670,-1.207,1.302,-0.910,0.919,NaN,NaN,NaN,NaN,19.43,0.24
50,1857,3,-0.303,1.971,-1.258,1.199,-0.896,0.918,NaN,NaN,NaN,NaN,19.43,0.24
51,1857,4,-1.041,2.155,-1.225,1.182,-0.890,0.925,NaN,NaN,NaN,NaN,19.43,0.24
52,1857,5,-1.493,1.681,-1.158,1.198,-0.862,0.921,NaN,NaN,NaN,NaN,19.43,0.24
53,1857,6,-1.617,2.018,NaN,NaN,-0.870,0.922,NaN,NaN,NaN,NaN,19.43,0.24
54,1857,7,-1.056,1.472,NaN,NaN,-0.860,0.918,NaN,NaN,NaN,NaN,19.43,0.24
55,1857,8,-1.575,1.876,NaN,NaN,-0.838,0.902,NaN,NaN,NaN,NaN,19.43,0.24
56,1857,9,-1.580,2.963,NaN,NaN,-0.819,0.902,NaN,NaN,NaN,NaN,19.43,0.24
57,1857,10,-0.813,2.103,NaN,NaN,-0.827,0.906,NaN,NaN,NaN,NaN,19.43,0.24
58,1857,11,NaN,NaN,NaN,NaN,-0.839,0.894,NaN,NaN,NaN,NaN,19.43,0.24
59,1857,12,NaN,NaN,NaN,NaN,-0.828,0.886,NaN,NaN,NaN,NaN,19.43,0.24
60,1858,1,0.471,2.749,NaN,NaN,-0.833,0.896,NaN,NaN,NaN,NaN,19.43,0.24
61,1858,2,-1.896,1.363,NaN,NaN,-0.832,0.879,NaN,NaN,NaN,NaN,19.43,0.24
62,1858,3,-0.852,1.629,NaN,NaN,-0.827,0.878,NaN,NaN,NaN,NaN,19.43,0.24
63,1858,4,-1.780,1.776,NaN,NaN,-0.803,0.855,NaN,NaN,NaN,NaN,19.43,0.24
64,1858,5,-1.823,1.766,NaN,NaN,-0.800,0.831,NaN,NaN,NaN,NaN,19.43,0.24
65,1858,6,-0.990,1.917,-0.709,1.026,-0.785,0.826,NaN,NaN,NaN,NaN,19.43,0.24
66,1858,7,-0.021,1.826,-0.749,0.940,-0.767,0.816,NaN,NaN,NaN,NaN,19.43,0.24
67,1858,8,-1.010,1.816,NaN,NaN,-0.764,0.791,NaN,NaN,NaN,NaN,19.43,0.24
68,1858,9,-0.200,2.003,NaN,NaN,-0.759,0.770,NaN,NaN,NaN,NaN,19.43,0.24
69,1858,10,0.706,1.769,NaN,NaN,-0.761,0.769,NaN,NaN,NaN,NaN,19.43,0.24
70,1858,11,-1.454,1.571,NaN,NaN,-0.771,0.754,NaN,NaN,NaN,NaN,19.43,0.24
71,1858,12,0.343,2.300,NaN,NaN,-0.762,0.737,NaN,NaN,NaN,NaN,19.43,0.24
72,1859,1,-0.008,1.515,NaN,NaN,-0.750,0.727,NaN,NaN,NaN,NaN,19.43,0.24
73,1859,2,NaN,NaN,NaN,NaN,-0.729,0.705,NaN,NaN,NaN,NaN,19.43,0.24
74,1859,3,-1.467,2.938,NaN,NaN,-0.724,0.678,NaN,NaN,NaN,NaN,19.43,0.24
75,1859,4,-1.045,1.951,NaN,NaN,-0.709,0.663,NaN,NaN,NaN,NaN,19.43,0.24
76,1859,5,0.118,2.022,NaN,NaN,-0.662,0.657,NaN,NaN,NaN,NaN,19.43,0.24
77,1859,6,0.403,1.559,NaN,NaN,-0.643,0.641,NaN,NaN,NaN,NaN,19.43,0.24
78,1859,7,-0.770,1.521,NaN,NaN,-0.650,0.625,NaN,NaN,NaN,NaN,19.43,0.24
79,1859,8,-0.199,1.624,-0.378,0.708,-0.715,0.605,NaN,NaN,NaN,NaN,19.43,0.24
80,1859,9,-0.257,1.855,-0.232,0.779,-0.738,0.588,NaN,NaN,NaN,NaN,19.43,0.24
81,1859,10,0.605,2.247,-0.238,0.841,-0.741,0.574,NaN,NaN,NaN,NaN,19.43,0.24
82,1859,11,-0.659,1.439,-0.334,0.863,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
83,1859,12,-1.497,2.364,-0.389,0.826,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
84,1860,1,0.364,1.624,-0.408,0.834,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
85,1860,2,-0.130,2.156,-0.453,0.820,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
86,1860,3,0.286,1.854,-0.492,0.799,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
87,1860,4,-1.116,1.982,-0.542,0.738,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
88,1860,5,-1.037,1.384,-0.593,0.715,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
89,1860,6,-0.259,1.428,-0.509,0.747,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
90,1860,7,-0.998,1.577,-0.564,0.817,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
91,1860,8,-0.742,1.486,-0.656,0.694,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
92,1860,9,-0.727,1.630,-0.804,0.675,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
93,1860,10,0.006,1.591,-0.820,0.675,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
94,1860,11,-1.262,1.712,-0.866,0.673,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
95,1860,12,-0.493,2.261,-0.859,0.663,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
96,1861,1,-0.300,1.970,-0.849,0.653,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
97,1861,2,-1.233,1.648,-0.819,0.647,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
98,1861,3,-1.492,2.264,-0.816,0.619,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
99,1861,4,-1.305,1.616,-0.843,0.617,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
100,1861,5,-1.581,1.442,-0.765,0.629,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
101,1861,6,-0.179,1.516,-0.793,0.614,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
102,1861,7,-0.874,1.500,-0.921,0.686,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
103,1861,8,-0.389,1.401,-1.032,0.672,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
104,1861,9,-0.690,1.281,-1.048,0.636,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
105,1861,10,-0.313,1.335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
106,1861,11,-0.334,1.978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
107,1861,12,-0.824,1.512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
108,1862,1,-1.838,2.427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
109,1862,2,-2.560,1.846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
110,1862,3,-1.694,1.676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
111,1862,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
112,1862,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
113,1862,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
114,1862,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
115,1862,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
116,1862,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
117,1862,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
118,1862,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
119,1862,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
120,1863,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
121,1863,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
122,1863,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
123,1863,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
124,1863,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
125,1863,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
126,1863,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
127,1863,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
128,1863,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
129,1863,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
130,1863,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
131,1863,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
132,1864,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
133,1864,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
134,1864,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
135,1864,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
136,1864,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
137,1864,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
138,1864,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
139,1864,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
140,1864,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
141,1864,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
142,1864,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
143,1864,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43,0.24
144,1865,1,-0.408,1.557,NaN,NaN,NaN,NaN,NaN,NaN,-0.837,0.631,19.43,0.24
145,1865,2,0.552,2.218,NaN,NaN,NaN,NaN,NaN,NaN,-0.836,0.625,19.43,0.24
146,1865,3,-0.883,1.797,NaN,NaN,NaN,NaN,NaN,NaN,-0.835,0.622,19.43,0.24
147,1865,4,-0.971,1.709,NaN,NaN,NaN,NaN,NaN,NaN,-0.840,0.620,19.43,0.24
148,1865,5,-1.340,1.573,NaN,NaN,NaN,NaN,NaN,NaN,-0.842,0.617,19.43,0.24
149,1865,6,-0.451,1.540,-0.597,0.826,NaN,NaN,NaN,NaN,-0.839,0.615,19.43,0.24
150,1865,7,0.426,1.712,-0.547,0.831,NaN,NaN,NaN,NaN,-0.835,0.614,19.43,0.24
151,1865,8,-0.675,1.530,-0.659,0.857,NaN,NaN,NaN,NaN,-0.834,0.609,19.43,0.24
152,1865,9,-0.317,1.957,-0.701,0.766,NaN,NaN,NaN,NaN,-0.834,0.608,19.43,0.24
153,1865,10,-0.162,1.461,-0.777,0.821,NaN,NaN,NaN,NaN,-0.831,0.605,19.43,0.24
154,1865,11,-1.198,2.346,-0.734,0.780,NaN,NaN,NaN,NaN,-0.833,0.602,19.43,0.24
155,1865,12,-1.735,1.575,-0.811,0.890,NaN,NaN,NaN,NaN,-0.844,0.602,19.43,0.24
156,1866,1,0.189,1.536,-0.895,0.941,NaN,NaN,NaN,NaN,-0.846,0.601,19.43,0.24
157,1866,2,-0.790,1.697,-0.856,0.880,NaN,NaN,NaN,NaN,-0.842,0.598,19.43,0.24
158,1866,3,-1.382,1.339,-0.894,0.890,NaN,NaN,NaN,NaN,-0.839,0.590,19.43,0.24
159,1866,4,-1.882,2.388,-0.944,0.913,NaN,NaN,NaN,NaN,-0.840,0.591,19.43,0.24
160,1866,5,-0.825,1.350,-0.982,0.913,NaN,NaN,NaN,NaN,-0.842,0.588,19.43,0.24
161,1866,6,-1.375,2.700,-1.032,0.985,NaN,NaN,NaN,NaN,-0.841,0.583,19.43,0.24
162,1866,7,-0.587,1.510,-1.202,1.001,NaN,NaN,NaN,NaN,-0.839,0.579,19.43,0.24
163,1866,8,-0.205,1.531,-1.169,1.033,NaN,NaN,NaN,NaN,-0.836,0.573,19.43,0.24
164,1866,9,-0.774,1.823,-1.144,0.991,NaN,NaN,NaN,NaN,-0.837,0.569,19.43,0.24
165,1866,10,-0.759,1.393,-1.043,0.864,NaN,NaN,NaN,NaN,-0.836,0.567,19.43,0.24
166,1866,11,-1.659,2.295,-1.088,0.918,NaN,NaN,NaN,NaN,-0.832,0.564,19.43,0.24
167,1866,12,-2.340,2.515,-0.952,0.828,NaN,NaN,NaN,NaN,-0.829,0.563,19.43,0.24
168,1867,1,-1.852,1.452,-0.913,0.818,NaN,NaN,NaN,NaN,-0.825,0.554,19.43,0.24
169,1867,2,-0.393,1.512,-0.984,0.969,-0.798,0.881,NaN,NaN,-0.836,0.549,19.43,0.24
170,1867,3,-1.078,2.121,-0.962,0.939,-0.800,0.883,NaN,NaN,-0.842,0.545,19.43,0.24
171,1867,4,-0.666,1.375,-0.888,0.943,-0.814,0.888,NaN,NaN,-0.838,0.543,19.43,0.24
172,1867,5,-1.368,1.796,-0.989,0.871,-0.846,0.920,NaN,NaN,-0.833,0.542,19.43,0.24
173,1867,6,0.251,1.752,-0.996,0.787,-0.853,0.955,NaN,NaN,-0.829,0.538,19.43,0.24
174,1867,7,NaN,NaN,-0.886,0.788,-0.861,0.951,NaN,NaN,-0.827,0.538,19.43,0.24
175,1867,8,-1.052,2.255,-0.861,0.798,-0.896,0.965,NaN,NaN,-0.824,0.534,19.43,0.24
176,1867,9,-0.506,1.631,-0.809,0.989,-0.892,0.939,NaN,NaN,-0.822,0.532,19.43,0.24
177,1867,10,0.130,1.597,-0.852,1.033,-0.872,0.912,NaN,NaN,-0.827,0.529,19.43,0.24
178,1867,11,-2.880,1.616,-0.827,1.039,-0.859,0.912,NaN,NaN,-0.815,0.525,19.43,0.24
179,1867,12,-2.414,1.757,-0.943,1.040,-0.845,0.907,NaN,NaN,-0.814,0.522,19.43,0.24
180,1868,1,-0.534,1.763,-0.976,1.089,-0.849,0.906,NaN,NaN,-0.826,0.521,19.43,0.24
181,1868,2,-0.096,2.260,-0.930,1.113,-0.849,0.902,NaN,NaN,-0.824,0.523,19.43,0.24
182,1868,3,-0.456,1.926,-0.978,1.047,-0.862,0.897,NaN,NaN,-0.823,0.521,19.43,0.24
183,1868,4,-1.179,1.704,-1.006,1.061,-0.865,0.899,NaN,NaN,-0.815,0.519,19.43,0.24
184,1868,5,-1.071,1.913,-0.852,1.164,-0.869,0.892,NaN,NaN,-0.808,0.514,19.43,0.24
185,1868,6,-1.141,1.918,-0.738,1.224,-0.872,0.898,NaN,NaN,-0.805,0.514,19.43,0.24
186,1868,7,-0.516,1.905,-0.696,1.379,-0.876,0.895,NaN,NaN,-0.803,0.511,19.43,0.24
187,1868,8,-0.494,2.136,-0.689,1.517,-0.880,0.897,-0.897,0.668,-0.801,0.508,19.43,0.24
188,1868,9,-1.089,1.294,-0.740,1.576,-0.864,0.902,-0.898,0.664,-0.800,0.503,19.43,0.24
189,1868,10,-0.198,1.869,-0.780,1.674,-0.835,0.879,-0.907,0.662,-0.798,0.499,19.43,0.24
190,1868,11,-1.037,2.465,-0.761,1.792,-0.833,0.869,-0.905,0.654,-0.793,0.499,19.43,0.24
191,1868,12,-1.039,2.054,-0.678,1.738,-0.826,0.840,-0.901,0.653,-0.801,0.493,19.43,0.24
192,1869,1,-0.032,3.342,-0.648,1.669,-0.831,0.835,-0.907,0.658,-0.804,0.492,19.43,0.24
193,1869,2,-0.012,2.305,-0.628,1.604,-0.839,0.834,-0.908,0.657,-0.810,0.489,19.43,0.24
194,1869,3,-1.073,2.489,-0.593,1.661,-0.848,0.820,-0.909,0.655,-0.811,0.494,19.43,0.24
195,1869,4,-1.660,2.700,-0.707,1.605,-0.847,0.810,-0.915,0.658,-0.810,0.496,19.43,0.24
196,1869,5,-0.844,3.111,-0.880,1.600,-0.862,0.790,-0.916,0.658,-0.809,0.497,19.43,0.24
197,1869,6,-0.142,1.351,-0.900,1.720,-0.879,0.795,-0.915,0.658,-0.813,0.496,19.43,0.24
198,1869,7,-0.154,1.370,-0.972,1.478,-0.860,0.798,-0.910,0.652,-0.809,0.495,19.43,0.24
199,1869,8,-0.258,1.558,-1.103,1.360,-0.912,0.828,-0.910,0.646,-0.808,0.492,19.43,0.24
200,1869,9,-0.671,1.495,-1.066,1.165,-0.936,0.858,-0.908,0.640,-0.806,0.489,19.43,0.24
201,1869,10,-1.559,1.368,-0.909,0.971,-0.933,0.842,-0.898,0.641,-0.808,0.484,19.43,0.24
202,1869,11,-3.111,2.921,-0.883,0.835,-0.913,0.821,-0.913,0.647,-0.808,0.482,19.43,0.24
203,1869,12,-1.283,3.379,-0.841,0.822,-0.912,0.803,-0.909,0.646,-0.809,0.478,19.43,0.24
204,1870,1,-0.896,1.356,-0.813,0.790,-0.915,0.792,-0.924,0.647,-0.816,0.478,19.43,0.24
205,1870,2,-1.586,1.628,-0.845,0.747,-0.898,0.763,-0.939,0.648,-0.814,0.475,19.43,0.24
