,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1850,1,0.101,5.332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.85,0.43
1,1850,2,0.426,1.859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.85,0.43
2,1850,3,-0.369,1.281,-0.734,0.962,NaN,NaN,NaN,NaN,NaN,NaN,27.85,0.43
3,1850,4,-0.603,2.402,-0.719,1.066,NaN,NaN,NaN,NaN,NaN,NaN,27.85,0.43
4,1850,5,-1.425,1.392,-0.837,0.886,NaN,NaN,NaN,NaN,NaN,NaN,27.85,0.43
5,1850,6,-0.265,2.175,-0.802,0.549,NaN,NaN,NaN,NaN,NaN,NaN,27.85,0.43
6,1850,7,-0.576,2.085,-0.738,0.460,NaN,NaN,NaN,NaN,NaN,NaN,27.85,0.43
7,1850,8,-1.139,1.033,-0.696,0.487,NaN,NaN,NaN,NaN,NaN,NaN,27.85,0.43
8,1850,9,-1.612,0.902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.85,0.43
9,1850,10,-1.448,1.828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.85,0.43
10,1850,11,-1.146,1.962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.85,0.43
11,1850,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.85,0.43
12,1851,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.85,0.43
13,1851,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.85,0.43
14,1851,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.85,0.43
15,1851,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.85,0.43
16,1851,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.85,0.43
17,1851,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.85,0.43
18,1851,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.85,0.43
