,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1840,1,-1.320,3.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.29,0.19
1,1840,2,-0.227,3.012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.29,0.19
2,1840,3,-0.251,4.608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.29,0.19
3,1840,4,-0.190,3.769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.29,0.19
4,1840,5,-2.024,5.398,-0.915,1.244,NaN,NaN,NaN,NaN,NaN,NaN,12.29,0.19
5,1840,6,-0.686,4.559,-1.263,1.243,NaN,NaN,NaN,NaN,NaN,NaN,12.29,0.19
6,1840,7,-1.636,2.949,-1.275,1.365,NaN,NaN,NaN,NaN,NaN,NaN,12.29,0.19
7,1840,8,-1.261,2.889,-1.476,1.506,NaN,NaN,NaN,NaN,NaN,NaN,12.29,0.19
8,1840,9,-0.784,4.883,-1.432,1.310,NaN,NaN,NaN,NaN,NaN,NaN,12.29,0.19
9,1840,10,-2.441,3.167,-1.449,1.224,NaN,NaN,NaN,NaN,NaN,NaN,12.29,0.19
10,1840,11,-0.320,3.330,-1.104,1.336,NaN,NaN,NaN,NaN,NaN,NaN,12.29,0.19
11,1840,12,-4.010,4.195,-1.049,1.207,NaN,NaN,NaN,NaN,NaN,NaN,12.29,0.19
12,1841,1,-1.469,7.277,-0.995,1.228,NaN,NaN,NaN,NaN,NaN,NaN,12.29,0.19
13,1841,2,-2.642,4.289,-0.946,1.212,NaN,NaN,NaN,NaN,NaN,NaN,12.29,0.19
14,1841,3,0.281,2.960,-0.851,1.329,NaN,NaN,NaN,NaN,NaN,NaN,12.29,0.19
15,1841,4,-0.393,3.424,-0.681,1.209,NaN,NaN,NaN,NaN,NaN,NaN,12.29,0.19
16,1841,5,2.113,6.091,-0.773,1.195,NaN,NaN,NaN,NaN,NaN,NaN,12.29,0.19
17,1841,6,-0.023,4.868,-0.307,1.180,NaN,NaN,NaN,NaN,NaN,NaN,12.29,0.19
18,1841,7,-0.989,3.465,-0.188,1.200,NaN,NaN,NaN,NaN,NaN,NaN,12.29,0.19
19,1841,8,-0.676,2.890,-0.011,1.276,NaN,NaN,NaN,NaN,NaN,NaN,12.29,0.19
20,1841,9,0.360,3.234,0.128,1.273,NaN,NaN,NaN,NaN,NaN,NaN,12.29,0.19
21,1841,10,-0.405,3.032,0.113,1.241,NaN,NaN,NaN,NaN,NaN,NaN,12.29,0.19
22,1841,11,-1.426,2.960,-0.046,1.228,-0.495,0.594,NaN,NaN,NaN,NaN,12.29,0.19
23,1841,12,1.582,5.057,-0.156,1.195,-0.553,0.563,NaN,NaN,NaN,NaN,12.29,0.19
24,1842,1,-0.042,5.951,-0.192,1.180,-0.592,0.545,NaN,NaN,NaN,NaN,12.29,0.19
25,1842,2,-0.518,8.311,0.049,1.210,-0.573,0.530,NaN,NaN,NaN,NaN,12.29,0.19
26,1842,3,1.949,5.491,-0.054,1.188,-0.589,0.512,NaN,NaN,NaN,NaN,12.29,0.19
27,1842,4,-0.570,3.776,-0.182,1.540,-0.620,0.619,NaN,NaN,NaN,NaN,12.29,0.19
28,1842,5,0.205,3.396,-0.332,1.634,-0.652,0.609,NaN,NaN,NaN,NaN,12.29,0.19
29,1842,6,-1.341,3.292,-0.404,1.571,-0.705,0.602,NaN,NaN,NaN,NaN,12.29,0.19
30,1842,7,-1.419,4.681,-0.230,1.381,-0.636,0.606,NaN,NaN,NaN,NaN,12.29,0.19
