,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1840,3,-0.282,2.685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
1,1840,4,0.007,3.674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
2,1840,5,-0.088,2.924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
3,1840,6,-1.195,1.824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
4,1840,7,-1.248,2.484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
5,1840,8,-0.903,1.929,-1.271,0.951,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
6,1840,9,-2.789,3.256,-1.355,0.958,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
7,1840,10,-2.765,2.464,-1.441,0.915,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
8,1840,11,-0.222,4.567,-1.466,0.871,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
9,1840,12,-3.911,3.032,-1.324,0.850,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
10,1841,1,0.079,6.332,-1.412,0.834,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
11,1841,2,-1.937,3.503,-1.472,0.818,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
12,1841,3,-1.291,2.768,-1.177,0.790,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
13,1841,4,-1.019,3.131,-1.118,0.789,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
14,1841,5,-0.386,2.383,-1.219,0.803,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
15,1841,6,0.501,3.674,-0.793,1.108,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
16,1841,7,-2.297,1.974,-0.752,0.974,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
17,1841,8,-1.632,2.010,-0.583,1.068,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
18,1841,9,0.758,2.194,-0.259,1.119,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
19,1841,10,-2.059,2.362,-0.188,1.131,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
20,1841,11,-1.435,3.370,-0.325,1.087,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
21,1841,12,1.208,3.553,-0.580,1.023,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
22,1842,1,0.563,3.251,-0.615,1.005,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
23,1842,2,0.095,4.638,-0.512,0.981,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
24,1842,3,2.597,4.094,-0.726,0.978,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
25,1842,4,-0.166,3.821,-0.750,0.961,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
26,1842,5,-2.036,3.629,-0.867,0.875,NaN,NaN,NaN,NaN,NaN,NaN,2.27,0.13
27,1842,6,-2.559,3.136,-1.060,0.875,-1.066,NaN,NaN,NaN,NaN,NaN,2.27,0.13
28,1842,7,-2.718,3.063,-0.848,0.896,-0.980,NaN,NaN,NaN,NaN,NaN,2.27,0.13
29,1842,8,-0.396,3.074,-0.980,1.058,-0.975,NaN,NaN,NaN,NaN,NaN,2.27,0.13
30,1842,9,-1.810,2.305,-1.557,1.136,-0.973,NaN,NaN,NaN,NaN,NaN,2.27,0.13
31,1842,10,-2.340,2.222,-1.618,1.116,-0.986,NaN,NaN,NaN,NaN,NaN,2.27,0.13
32,1842,11,-2.848,3.494,-1.606,1.023,-1.029,NaN,NaN,NaN,NaN,NaN,2.27,0.13
33,1842,12,-1.106,3.691,-1.625,0.944,-1.030,NaN,NaN,NaN,NaN,NaN,2.27,0.13
34,1843,1,3.114,4.702,-1.598,NaN,-1.039,NaN,NaN,NaN,NaN,NaN,2.27,0.13
35,1843,2,-1.491,3.180,-1.665,NaN,-1.051,NaN,NaN,NaN,NaN,NaN,2.27,0.13
