,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1878,1,-0.897,2.948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.82,0.20
1,1878,2,-1.432,2.889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.82,0.20
2,1878,3,1.332,2.811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.82,0.20
3,1878,4,-1.243,2.919,-0.714,1.056,NaN,NaN,NaN,NaN,NaN,NaN,18.82,0.20
4,1878,5,-1.730,3.210,-0.557,1.011,NaN,NaN,NaN,NaN,NaN,NaN,18.82,0.20
5,1878,6,-0.869,3.007,-0.368,0.982,NaN,NaN,NaN,NaN,NaN,NaN,18.82,0.20
6,1878,7,NaN,NaN,-0.139,0.980,NaN,NaN,NaN,NaN,NaN,NaN,18.82,0.20
7,1878,8,-0.645,2.868,0.111,0.950,NaN,NaN,NaN,NaN,NaN,NaN,18.82,0.20
8,1878,9,0.469,3.070,-0.067,0.941,NaN,NaN,NaN,NaN,NaN,NaN,18.82,0.20
9,1878,10,-0.000,2.872,0.061,0.926,NaN,NaN,NaN,NaN,NaN,NaN,18.82,0.20
10,1878,11,0.363,2.881,0.182,0.928,NaN,NaN,NaN,NaN,NaN,NaN,18.82,0.20
11,1878,12,0.713,2.936,0.254,0.956,NaN,NaN,NaN,NaN,NaN,NaN,18.82,0.20
12,1879,1,1.849,2.912,0.260,0.968,NaN,NaN,NaN,NaN,NaN,NaN,18.82,0.20
13,1879,2,1.575,3.031,0.277,0.978,NaN,NaN,NaN,NaN,NaN,NaN,18.82,0.20
14,1879,3,-0.806,2.961,0.231,1.031,NaN,NaN,NaN,NaN,NaN,NaN,18.82,0.20
15,1879,4,0.292,2.980,0.207,1.082,NaN,NaN,NaN,NaN,NaN,NaN,18.82,0.20
16,1879,5,-0.283,2.833,0.127,1.092,NaN,NaN,NaN,NaN,NaN,NaN,18.82,0.20
17,1879,6,-0.004,2.933,0.032,1.081,NaN,NaN,NaN,NaN,NaN,NaN,18.82,0.20
18,1879,7,-0.401,2.949,-0.012,1.077,-0.059,0.489,NaN,NaN,NaN,NaN,18.82,0.20
19,1879,8,NaN,NaN,-0.261,1.051,-0.081,0.499,NaN,NaN,NaN,NaN,18.82,0.20
20,1879,9,-0.087,2.899,0.111,1.074,-0.112,0.506,NaN,NaN,NaN,NaN,18.82,0.20
21,1879,10,-0.285,2.871,0.206,1.102,-0.104,0.517,NaN,NaN,NaN,NaN,18.82,0.20
22,1879,11,-0.604,2.927,0.333,1.144,-0.079,0.525,NaN,NaN,NaN,NaN,18.82,0.20
23,1879,12,-0.424,3.169,0.449,1.193,-0.036,0.529,NaN,NaN,NaN,NaN,18.82,0.20
24,1880,1,1.318,3.149,0.447,1.212,-0.055,0.525,NaN,NaN,NaN,NaN,18.82,0.20
25,1880,2,-1.408,2.929,0.511,1.264,-0.061,0.525,NaN,NaN,NaN,NaN,18.82,0.20
26,1880,3,3.650,3.243,0.467,1.265,-0.079,0.528,NaN,NaN,NaN,NaN,18.82,0.20
