,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1876,4,-1.791,2.766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56,0.21
1,1876,5,-0.634,2.640,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56,0.21
2,1876,6,-1.461,2.807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56,0.21
3,1876,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56,0.21
4,1876,8,-0.438,2.578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56,0.21
5,1876,9,-1.447,2.816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56,0.21
6,1876,10,-0.874,2.743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56,0.21
7,1876,11,-0.821,2.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56,0.21
8,1876,12,-1.854,2.820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56,0.21
9,1877,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56,0.21
10,1877,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56,0.21
11,1877,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56,0.21
12,1877,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56,0.21
13,1877,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56,0.21
14,1877,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56,0.21
15,1877,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56,0.21
16,1877,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56,0.21
17,1877,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56,0.21
18,1877,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56,0.21
19,1877,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56,0.21
20,1877,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.56,0.21
