,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1846,1,0.614,2.177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
1,1846,2,-0.313,1.683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
2,1846,3,0.343,1.232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
3,1846,4,0.126,0.991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
4,1846,5,-0.101,1.573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
5,1846,6,-0.292,1.264,-0.162,0.715,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
6,1846,7,-0.125,1.482,-0.200,0.530,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
7,1846,8,-0.114,1.009,-0.283,0.458,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
8,1846,9,-0.170,1.280,-0.460,0.464,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
9,1846,10,-0.916,1.607,-0.609,0.555,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
10,1846,11,-0.473,1.547,-0.665,0.686,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
11,1846,12,-0.525,1.673,-0.776,0.943,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
12,1847,1,0.157,1.844,-0.850,1.016,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
13,1847,2,-1.301,1.586,-0.921,1.114,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
14,1847,3,-1.784,1.088,-0.994,1.393,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
15,1847,4,-1.663,2.349,-1.019,1.465,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
16,1847,5,-0.772,1.842,-1.022,1.655,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
17,1847,6,-1.622,3.154,-0.997,1.591,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
18,1847,7,-1.016,0.991,-1.067,1.343,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
19,1847,8,-0.970,1.873,-0.961,1.134,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
20,1847,9,-1.042,3.110,-0.900,1.206,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
21,1847,10,-1.220,2.406,-0.805,1.041,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
22,1847,11,-0.504,1.449,-0.824,0.961,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
23,1847,12,-0.231,1.367,-0.760,0.775,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.16
