,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1846,1,1.164,1.156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
1,1846,2,0.324,2.417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
2,1846,3,0.511,1.637,-0.039,0.495,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
3,1846,4,0.075,0.891,-0.088,0.492,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
4,1846,5,-0.007,1.185,-0.147,0.501,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
5,1846,6,-0.400,1.045,-0.109,0.499,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
6,1846,7,-0.049,1.506,-0.259,0.509,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
7,1846,8,-0.472,1.396,-0.391,0.509,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
8,1846,9,-0.018,1.961,-0.616,0.493,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
9,1846,10,-0.959,3.050,-0.816,0.512,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
10,1846,11,-0.417,2.482,-0.863,0.593,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
11,1846,12,-1.057,1.104,-1.054,0.667,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
12,1847,1,-0.638,1.780,-1.163,0.645,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
13,1847,2,-1.263,0.941,-1.256,0.718,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
14,1847,3,-2.186,1.789,-1.428,0.877,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
15,1847,4,-2.322,1.973,-1.514,0.786,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
16,1847,5,-0.576,1.802,-1.564,0.867,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
17,1847,6,-2.685,2.297,-1.520,0.927,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
18,1847,7,-1.367,2.005,-1.533,0.715,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
19,1847,8,-1.577,2.247,-1.397,0.775,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
20,1847,9,-2.092,1.980,-1.324,0.760,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
21,1847,10,-1.982,1.528,-1.162,0.865,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
22,1847,11,-1.025,2.467,-1.207,0.871,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
23,1847,12,-0.523,1.145,-1.057,0.840,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
24,1848,1,-0.799,5.015,-1.082,0.871,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
25,1848,2,0.370,1.999,-1.002,0.740,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
26,1848,3,-1.309,2.087,-0.980,0.741,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
27,1848,4,-0.375,1.820,-0.921,0.765,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
28,1848,5,-1.115,2.010,-0.962,0.796,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
29,1848,6,-0.892,1.271,-0.931,0.782,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
30,1848,7,-1.669,2.348,-0.934,1.230,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
31,1848,8,-0.610,0.911,-1.018,1.522,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
32,1848,9,-1.828,2.233,-0.971,1.296,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
33,1848,10,-1.272,2.243,-1.139,1.295,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
34,1848,11,-1.523,2.482,-1.236,1.622,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
35,1848,12,-0.151,1.559,-1.259,1.609,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
36,1849,1,-0.836,2.115,-1.246,1.396,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
37,1849,2,-0.640,4.398,-1.336,1.564,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
38,1849,3,-0.739,1.367,-1.332,1.379,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
39,1849,4,-2.395,1.914,-1.359,1.347,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
40,1849,5,-2.279,3.674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
41,1849,6,-1.169,1.296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
42,1849,7,-1.506,1.176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
43,1849,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
44,1849,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
45,1849,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
46,1849,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
47,1849,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
48,1850,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
49,1850,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
50,1850,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
51,1850,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
52,1850,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
53,1850,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
54,1850,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
55,1850,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
56,1850,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.28,0.55
