,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1852,10,-0.946,1.804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.18,0.34
1,1852,11,-0.968,4.004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.18,0.34
2,1852,12,-0.193,3.901,-0.844,1.172,NaN,NaN,NaN,NaN,NaN,NaN,29.18,0.34
3,1853,1,-0.307,1.085,-0.761,1.202,NaN,NaN,NaN,NaN,NaN,NaN,29.18,0.34
4,1853,2,-1.152,1.259,-0.704,1.204,NaN,NaN,NaN,NaN,NaN,NaN,29.18,0.34
5,1853,3,-0.734,2.216,-0.668,1.107,NaN,NaN,NaN,NaN,NaN,NaN,29.18,0.34
6,1853,4,-0.268,2.877,-0.631,0.994,NaN,NaN,NaN,NaN,NaN,NaN,29.18,0.34
7,1853,5,-0.537,4.112,-0.539,0.893,NaN,NaN,NaN,NaN,NaN,NaN,29.18,0.34
8,1853,6,-0.883,0.744,-0.534,0.866,NaN,NaN,NaN,NaN,NaN,NaN,29.18,0.34
9,1853,7,-0.573,1.812,-0.497,0.931,NaN,NaN,NaN,NaN,NaN,NaN,29.18,0.34
10,1853,8,-0.906,1.171,-0.437,0.959,NaN,NaN,NaN,NaN,NaN,NaN,29.18,0.34
11,1853,9,-0.549,1.314,-0.409,0.984,NaN,NaN,NaN,NaN,NaN,NaN,29.18,0.34
12,1853,10,-0.509,1.137,-0.480,0.877,NaN,NaN,NaN,NaN,NaN,NaN,29.18,0.34
13,1853,11,0.136,1.855,-0.490,0.746,NaN,NaN,NaN,NaN,NaN,NaN,29.18,0.34
14,1853,12,-0.133,0.915,-0.476,0.774,-0.600,0.692,NaN,NaN,NaN,NaN,29.18,0.34
15,1854,1,0.141,1.913,-0.461,0.790,-0.578,0.677,NaN,NaN,NaN,NaN,29.18,0.34
16,1854,2,-0.426,1.892,-0.407,0.804,-0.552,0.690,NaN,NaN,NaN,NaN,29.18,0.34
17,1854,3,-0.398,2.006,-0.397,0.989,-0.549,0.694,NaN,NaN,NaN,NaN,29.18,0.34
18,1854,4,-1.127,1.693,-0.357,1.130,-0.552,0.712,NaN,NaN,NaN,NaN,29.18,0.34
19,1854,5,-0.650,1.712,-0.421,1.065,-0.543,0.712,NaN,NaN,NaN,NaN,29.18,0.34
20,1854,6,-0.718,1.103,-0.386,1.035,-0.533,0.709,NaN,NaN,NaN,NaN,29.18,0.34
21,1854,7,-0.390,2.441,-0.408,0.913,-0.525,0.734,NaN,NaN,NaN,NaN,29.18,0.34
22,1854,8,-0.260,1.532,-0.451,0.875,-0.532,0.704,NaN,NaN,NaN,NaN,29.18,0.34
