,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1852,5,-0.542,1.378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.94,0.37
1,1852,6,-0.718,1.117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.94,0.37
2,1852,7,-0.830,1.444,-0.632,1.196,NaN,NaN,NaN,NaN,NaN,NaN,23.94,0.37
3,1852,8,-0.866,1.289,-0.710,1.147,NaN,NaN,NaN,NaN,NaN,NaN,23.94,0.37
4,1852,9,-0.686,1.376,-0.696,1.066,NaN,NaN,NaN,NaN,NaN,NaN,23.94,0.37
5,1852,10,-0.615,2.667,-0.559,1.038,NaN,NaN,NaN,NaN,NaN,NaN,23.94,0.37
6,1852,11,-0.741,2.548,-0.552,0.973,NaN,NaN,NaN,NaN,NaN,NaN,23.94,0.37
7,1852,12,-0.358,3.044,-0.536,0.877,NaN,NaN,NaN,NaN,NaN,NaN,23.94,0.37
8,1853,1,0.405,1.901,-0.520,0.822,NaN,NaN,NaN,NaN,NaN,NaN,23.94,0.37
9,1853,2,-0.806,1.330,-0.536,0.789,NaN,NaN,NaN,NaN,NaN,NaN,23.94,0.37
10,1853,3,-0.392,1.126,-0.530,0.812,NaN,NaN,NaN,NaN,NaN,NaN,23.94,0.37
11,1853,4,-0.560,1.371,-0.525,0.948,NaN,NaN,NaN,NaN,NaN,NaN,23.94,0.37
12,1853,5,-0.456,1.386,-0.479,0.938,NaN,NaN,NaN,NaN,NaN,NaN,23.94,0.37
13,1853,6,-0.532,1.523,-0.461,1.076,NaN,NaN,NaN,NaN,NaN,NaN,23.94,0.37
14,1853,7,-0.635,1.145,-0.467,1.091,-0.402,0.926,NaN,NaN,NaN,NaN,23.94,0.37
15,1853,8,-1.059,0.898,-0.441,1.368,-0.408,0.973,NaN,NaN,NaN,NaN,23.94,0.37
16,1853,9,-0.609,1.257,-0.435,1.487,-0.410,0.998,NaN,NaN,NaN,NaN,23.94,0.37
17,1853,10,-0.560,3.057,-0.480,1.409,-0.420,0.997,NaN,NaN,NaN,NaN,23.94,0.37
18,1853,11,-0.186,1.932,-0.464,1.459,-0.418,1.005,NaN,NaN,NaN,NaN,23.94,0.37
19,1853,12,-0.142,1.785,-0.429,1.513,-0.423,1.010,NaN,NaN,NaN,NaN,23.94,0.37
20,1854,1,0.335,1.902,-0.386,1.430,-0.427,1.003,NaN,NaN,NaN,NaN,23.94,0.37
21,1854,2,-0.500,3.057,-0.309,1.488,-0.427,1.029,NaN,NaN,NaN,NaN,23.94,0.37
22,1854,3,-0.315,2.417,-0.267,1.487,-0.439,1.046,NaN,NaN,NaN,NaN,23.94,0.37
23,1854,4,-1.099,0.677,-0.236,1.279,-0.440,1.065,NaN,NaN,NaN,NaN,23.94,0.37
24,1854,5,-0.264,2.134,-0.298,1.131,-0.446,1.051,NaN,NaN,NaN,NaN,23.94,0.37
25,1854,6,-0.119,1.445,-0.325,1.101,-0.462,1.018,NaN,NaN,NaN,NaN,23.94,0.37
26,1854,7,-0.110,0.851,-0.322,0.943,-0.473,1.054,NaN,NaN,NaN,NaN,23.94,0.37
27,1854,8,-0.138,1.620,-0.304,0.907,-0.473,1.019,NaN,NaN,NaN,NaN,23.94,0.37
28,1854,9,-0.105,1.254,-0.305,0.806,-0.473,1.031,NaN,NaN,NaN,NaN,23.94,0.37
29,1854,10,-0.186,0.923,-0.286,0.884,-0.458,1.049,-0.529,0.856,NaN,NaN,23.94,0.37
30,1854,11,-0.932,1.103,-0.289,0.816,-0.464,1.054,-0.544,0.866,NaN,NaN,23.94,0.37
31,1854,12,-0.472,1.967,-0.312,0.721,-0.465,1.070,-0.547,0.874,NaN,NaN,23.94,0.37
32,1855,1,0.370,1.356,-0.341,0.655,-0.469,1.060,-0.544,0.871,NaN,NaN,23.94,0.37
33,1855,2,-0.284,3.037,-0.341,0.675,-0.474,1.073,-0.545,0.870,NaN,NaN,23.94,0.37
34,1855,3,-0.317,2.092,-0.379,0.632,-0.477,1.083,-0.546,0.858,NaN,NaN,23.94,0.37
35,1855,4,-0.876,1.148,-0.401,0.740,-0.482,1.061,-0.545,0.854,NaN,NaN,23.94,0.37
36,1855,5,-0.296,1.103,-0.328,0.868,-0.486,1.064,-0.547,0.833,NaN,NaN,23.94,0.37
37,1855,6,-0.404,0.950,-0.287,0.820,-0.487,1.082,-0.552,0.821,NaN,NaN,23.94,0.37
38,1855,7,-0.452,1.180,-0.259,1.001,-0.504,1.058,-0.554,0.826,NaN,NaN,23.94,0.37
39,1855,8,-0.134,2.129,-0.236,1.110,-0.496,1.059,-0.556,0.819,NaN,NaN,23.94,0.37
40,1855,9,-0.566,0.764,-0.256,1.279,-0.510,1.053,-0.558,0.806,NaN,NaN,23.94,0.37
41,1855,10,-0.445,1.950,-0.244,1.274,-0.522,1.037,-0.560,0.788,NaN,NaN,23.94,0.37
42,1855,11,-0.062,2.089,-0.263,1.279,-0.522,1.040,-0.565,0.772,NaN,NaN,23.94,0.37
43,1855,12,0.021,1.395,-0.300,1.408,-0.528,1.042,-0.573,0.745,NaN,NaN,23.94,0.37
44,1856,1,0.709,2.095,-0.329,1.538,-0.530,1.034,-0.584,0.742,NaN,NaN,23.94,0.37
45,1856,2,-0.008,3.345,-0.398,1.608,-0.527,1.028,-0.591,0.741,NaN,NaN,23.94,0.37
46,1856,3,-0.558,2.886,-0.413,1.772,-0.528,1.011,-0.597,0.742,NaN,NaN,23.94,0.37
47,1856,4,-0.730,0.989,-0.399,1.763,-0.529,0.978,-0.605,0.739,NaN,NaN,23.94,0.37
48,1856,5,-0.523,1.022,-0.472,1.649,-0.543,0.954,-0.608,0.740,NaN,NaN,23.94,0.37
49,1856,6,-0.854,2.125,-0.540,1.592,-0.559,0.934,-0.607,0.729,NaN,NaN,23.94,0.37
50,1856,7,-0.802,1.296,-0.683,1.670,-0.575,0.908,-0.606,0.721,NaN,NaN,23.94,0.37
51,1856,8,-0.963,2.920,-0.674,1.373,-0.578,0.877,-0.604,0.715,NaN,NaN,23.94,0.37
52,1856,9,-0.736,2.687,-0.673,1.350,-0.598,0.834,-0.610,0.710,NaN,NaN,23.94,0.37
53,1856,10,-0.280,1.926,-0.721,1.431,-0.601,0.820,-0.610,0.705,NaN,NaN,23.94,0.37
54,1856,11,-0.936,1.393,-0.752,1.454,-0.604,0.785,-0.612,0.702,NaN,NaN,23.94,0.37
