,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1890,1,-0.734,0.746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.63,0.58
1,1890,2,-0.909,1.176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.63,0.58
2,1890,3,-0.220,1.631,-0.447,0.502,NaN,NaN,NaN,NaN,NaN,NaN,29.63,0.58
3,1890,4,-1.497,1.690,-0.452,0.473,NaN,NaN,NaN,NaN,NaN,NaN,29.63,0.58
4,1890,5,-0.314,0.486,-0.426,0.410,NaN,NaN,NaN,NaN,NaN,NaN,29.63,0.58
5,1890,6,-0.206,1.081,-0.446,0.394,NaN,NaN,NaN,NaN,NaN,NaN,29.63,0.58
6,1890,7,-0.452,1.129,-0.437,0.380,NaN,NaN,NaN,NaN,NaN,NaN,29.63,0.58
7,1890,8,-0.354,0.836,-0.480,0.375,NaN,NaN,NaN,NaN,NaN,NaN,29.63,0.58
8,1890,9,0.036,1.649,-0.533,0.327,NaN,NaN,NaN,NaN,NaN,NaN,29.63,0.58
9,1890,10,-0.233,0.784,-0.424,0.343,NaN,NaN,NaN,NaN,NaN,NaN,29.63,0.58
10,1890,11,-0.280,1.030,-0.417,0.379,NaN,NaN,NaN,NaN,NaN,NaN,29.63,0.58
11,1890,12,-0.182,1.147,-0.437,0.348,NaN,NaN,NaN,NaN,NaN,NaN,29.63,0.58
12,1891,1,-0.636,0.984,-0.474,0.319,NaN,NaN,NaN,NaN,NaN,NaN,29.63,0.58
13,1891,2,-1.416,1.067,-0.484,0.305,NaN,NaN,NaN,NaN,NaN,NaN,29.63,0.58
14,1891,3,-0.862,0.699,-0.543,0.309,NaN,NaN,NaN,NaN,NaN,NaN,29.63,0.58
15,1891,4,-0.187,0.916,-0.548,0.340,-0.573,0.502,NaN,NaN,NaN,NaN,29.63,0.58
16,1891,5,-0.229,1.029,-0.588,0.337,-0.575,0.516,NaN,NaN,NaN,NaN,29.63,0.58
17,1891,6,-0.451,0.995,-0.591,0.480,-0.587,0.528,NaN,NaN,NaN,NaN,29.63,0.58
18,1891,7,-0.892,1.702,-0.631,0.542,-0.593,0.518,NaN,NaN,NaN,NaN,29.63,0.58
19,1891,8,-0.470,0.959,-0.500,0.471,-0.602,0.538,NaN,NaN,NaN,NaN,29.63,0.58
20,1891,9,-0.682,1.101,-0.425,0.442,-0.624,0.569,NaN,NaN,NaN,NaN,29.63,0.58
21,1891,10,-0.289,0.626,-0.423,0.429,-0.638,0.582,NaN,NaN,NaN,NaN,29.63,0.58
22,1891,11,-0.756,0.700,-0.468,0.466,-0.645,0.591,NaN,NaN,NaN,NaN,29.63,0.58
23,1891,12,-0.226,1.789,-0.480,0.502,-0.658,0.596,NaN,NaN,NaN,NaN,29.63,0.58
24,1892,1,-1.107,1.216,-0.455,0.479,-0.668,0.613,NaN,NaN,NaN,NaN,29.63,0.58
25,1892,2,0.145,1.088,-0.490,0.534,-0.668,0.613,NaN,NaN,NaN,NaN,29.63,0.58
26,1892,3,0.043,1.822,-0.498,0.561,-0.660,0.627,NaN,NaN,NaN,NaN,29.63,0.58
27,1892,4,-0.168,1.123,-0.480,0.558,-0.657,0.623,NaN,NaN,NaN,NaN,29.63,0.58
28,1892,5,-0.761,0.776,-0.510,0.585,-0.659,0.625,NaN,NaN,NaN,NaN,29.63,0.58
29,1892,6,-0.597,0.808,-0.603,0.538,-0.679,0.630,NaN,NaN,NaN,NaN,29.63,0.58
30,1892,7,-0.598,1.163,-0.651,0.569,-0.691,0.629,NaN,NaN,NaN,NaN,29.63,0.58
31,1892,8,-0.886,1.433,-0.802,0.620,-0.704,0.652,NaN,NaN,NaN,NaN,29.63,0.58
32,1892,9,-0.779,1.492,-0.930,0.733,-0.722,0.694,NaN,NaN,NaN,NaN,29.63,0.58
