,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1880,8,-0.340,1.964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.52,0.39
1,1880,9,0.814,1.931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.52,0.39
2,1880,10,0.782,2.017,0.185,0.851,NaN,NaN,NaN,NaN,NaN,NaN,31.52,0.39
3,1880,11,0.336,1.387,0.275,0.895,NaN,NaN,NaN,NaN,NaN,NaN,31.52,0.39
4,1880,12,-0.575,2.561,0.254,0.889,NaN,NaN,NaN,NaN,NaN,NaN,31.52,0.39
5,1881,1,-0.804,0.930,0.289,0.921,NaN,NaN,NaN,NaN,NaN,NaN,31.52,0.39
6,1881,2,0.517,1.075,0.324,1.028,NaN,NaN,NaN,NaN,NaN,NaN,31.52,0.39
7,1881,3,0.342,2.071,0.292,1.006,NaN,NaN,NaN,NaN,NaN,NaN,31.52,0.39
8,1881,4,1.256,2.093,0.326,1.068,NaN,NaN,NaN,NaN,NaN,NaN,31.52,0.39
9,1881,5,0.964,1.192,0.342,1.121,NaN,NaN,NaN,NaN,NaN,NaN,31.52,0.39
10,1881,6,-0.308,1.014,0.375,0.997,NaN,NaN,NaN,NaN,NaN,NaN,31.52,0.39
11,1881,7,0.490,1.059,0.448,1.050,NaN,NaN,NaN,NaN,NaN,NaN,31.52,0.39
12,1881,8,0.080,0.820,0.368,1.075,NaN,NaN,NaN,NaN,NaN,NaN,31.52,0.39
13,1881,9,0.427,1.650,0.267,0.971,NaN,NaN,NaN,NaN,NaN,NaN,31.52,0.39
14,1881,10,1.181,2.960,0.207,0.946,-0.024,0.605,NaN,NaN,NaN,NaN,31.52,0.39
15,1881,11,0.530,1.967,0.164,1.020,-0.025,0.613,NaN,NaN,NaN,NaN,31.52,0.39
16,1881,12,-0.173,1.684,0.145,1.054,-0.025,0.606,NaN,NaN,NaN,NaN,31.52,0.39
17,1882,1,0.069,1.140,0.052,0.996,-0.024,0.622,NaN,NaN,NaN,NaN,31.52,0.39
18,1882,2,-0.442,1.251,0.039,0.993,-0.023,0.627,NaN,NaN,NaN,NaN,31.52,0.39
19,1882,3,-0.871,0.882,0.063,0.898,-0.016,0.653,NaN,NaN,NaN,NaN,31.52,0.39
20,1882,4,0.537,1.665,0.008,0.746,-0.020,0.656,NaN,NaN,NaN,NaN,31.52,0.39
21,1882,5,0.448,1.707,-0.054,0.685,-0.027,0.673,NaN,NaN,NaN,NaN,31.52,0.39
22,1882,6,-0.536,0.804,-0.115,0.723,-0.018,0.700,NaN,NaN,NaN,NaN,31.52,0.39
23,1882,7,-0.631,1.066,-0.128,0.767,-0.020,0.725,NaN,NaN,NaN,NaN,31.52,0.39
24,1882,8,-0.068,1.156,-0.139,0.801,-0.002,0.753,NaN,NaN,NaN,NaN,31.52,0.39
25,1882,9,0.712,1.039,-0.089,0.898,-0.010,0.762,NaN,NaN,NaN,NaN,31.52,0.39
26,1882,10,0.517,1.119,-0.087,0.864,-0.004,0.807,NaN,NaN,NaN,NaN,31.52,0.39
27,1882,11,-0.209,1.551,-0.134,0.755,-0.007,0.813,NaN,NaN,NaN,NaN,31.52,0.39
28,1882,12,-0.899,1.478,-0.070,0.681,-0.014,0.823,NaN,NaN,NaN,NaN,31.52,0.39
29,1883,1,-0.096,1.593,-0.135,0.562,-0.007,0.825,0.059,0.683,NaN,NaN,31.52,0.39
30,1883,2,-0.569,1.902,-0.131,0.572,0.036,0.855,0.052,0.697,NaN,NaN,31.52,0.39
31,1883,3,-0.277,1.889,-0.151,0.591,0.030,0.834,0.044,0.714,NaN,NaN,31.52,0.39
32,1883,4,0.566,1.280,-0.109,0.712,0.027,0.814,0.041,0.734,NaN,NaN,31.52,0.39
33,1883,5,-0.115,1.117,-0.101,0.749,0.032,0.818,0.033,0.750,NaN,NaN,31.52,0.39
34,1883,6,0.224,1.598,-0.075,0.762,0.045,0.805,0.033,0.753,NaN,NaN,31.52,0.39
35,1883,7,-1.407,2.713,-0.114,0.693,0.057,0.825,0.038,0.746,NaN,NaN,31.52,0.39
36,1883,8,-0.013,0.972,-0.140,0.599,0.040,0.830,0.035,0.749,NaN,NaN,31.52,0.39
37,1883,9,0.461,1.487,-0.130,0.561,0.031,0.849,0.036,0.755,NaN,NaN,31.52,0.39
38,1883,10,1.032,2.429,-0.186,0.513,0.023,0.868,0.036,0.760,NaN,NaN,31.52,0.39
39,1883,11,-0.121,2.011,-0.198,0.550,0.017,0.868,0.030,0.769,NaN,NaN,31.52,0.39
40,1883,12,-0.588,1.775,-0.252,0.580,0.033,0.875,0.028,0.785,NaN,NaN,31.52,0.39
41,1884,1,-0.564,0.838,-0.148,0.809,0.043,0.878,0.023,0.791,NaN,NaN,31.52,0.39
42,1884,2,-0.872,0.877,-0.141,0.839,0.051,0.871,0.024,0.804,NaN,NaN,31.52,0.39
43,1884,3,-0.163,1.469,-0.119,0.921,0.050,0.850,0.029,0.804,NaN,NaN,31.52,0.39
44,1884,4,-0.109,0.851,-0.214,0.784,0.051,0.826,0.030,0.807,NaN,NaN,31.52,0.39
45,1884,5,-0.255,1.067,-0.213,0.735,0.051,0.815,0.037,0.812,NaN,NaN,31.52,0.39
46,1884,6,-0.423,1.206,-0.174,0.764,0.046,0.825,0.042,0.806,NaN,NaN,31.52,0.39
47,1884,7,-0.162,1.170,-0.165,0.897,0.033,0.840,0.048,0.786,NaN,NaN,31.52,0.39
48,1884,8,0.069,0.950,-0.104,1.080,0.037,0.872,0.051,0.767,NaN,NaN,31.52,0.39
49,1884,9,0.726,2.320,-0.174,1.037,0.042,0.903,0.056,0.769,NaN,NaN,31.52,0.39
50,1884,10,-0.109,0.835,-0.140,1.217,0.036,0.905,0.064,0.768,NaN,NaN,31.52,0.39
51,1884,11,-0.110,1.385,-0.143,1.212,0.026,0.903,0.060,0.776,NaN,NaN,31.52,0.39
52,1884,12,-0.115,1.895,-0.145,1.306,0.025,0.915,0.065,0.778,NaN,NaN,31.52,0.39
53,1885,1,-0.462,2.442,-0.093,1.238,0.028,0.914,0.063,0.780,NaN,NaN,31.52,0.39
54,1885,2,-0.129,2.224,0.090,1.188,0.022,0.898,0.073,0.786,NaN,NaN,31.52,0.39
55,1885,3,-1.008,0.850,0.063,1.069,0.013,0.899,0.076,0.798,NaN,NaN,31.52,0.39
56,1885,4,0.297,2.855,0.126,1.091,0.011,0.896,0.078,0.810,NaN,NaN,31.52,0.39
57,1885,5,-0.284,1.357,0.186,1.085,0.019,0.905,0.078,0.809,NaN,NaN,31.52,0.39
58,1885,6,-0.452,1.226,0.215,1.065,0.021,0.908,0.076,0.813,NaN,NaN,31.52,0.39
59,1885,7,0.466,1.137,0.245,0.999,0.005,0.919,0.070,0.801,-0.028,0.410,31.52,0.39
60,1885,8,2.255,2.443,0.213,0.916,-0.002,0.925,0.065,0.800,-0.029,0.411,31.52,0.39
61,1885,9,0.407,1.585,0.282,1.093,-0.004,0.936,0.061,0.799,-0.030,0.411,31.52,0.39
62,1885,10,0.647,1.669,0.323,1.115,-0.006,0.965,0.058,0.787,-0.029,0.412,31.52,0.39
63,1885,11,0.614,1.578,0.393,1.141,-0.008,1.004,0.056,0.788,-0.028,0.411,31.52,0.39
64,1885,12,0.230,1.670,0.489,1.127,-0.008,1.030,0.058,0.783,-0.025,0.408,31.52,0.39
65,1886,1,-0.104,1.452,0.539,1.159,0.031,1.047,0.067,0.795,-0.021,0.408,31.52,0.39
66,1886,2,-0.505,1.378,0.398,1.092,0.042,1.044,0.062,0.801,-0.021,0.408,31.52,0.39
67,1886,3,-0.180,3.328,0.396,1.082,0.046,1.034,0.056,0.786,-0.018,0.405,31.52,0.39
68,1886,4,0.778,3.568,0.443,1.149,0.040,1.004,0.046,0.767,-0.015,0.404,31.52,0.39
69,1886,5,0.561,1.271,0.436,1.116,0.045,0.994,0.032,0.751,-0.013,0.403,31.52,0.39
70,1886,6,0.706,0.779,0.378,1.087,0.052,1.008,0.030,0.745,-0.009,0.402,31.52,0.39
71,1886,7,1.059,1.172,0.329,1.125,0.058,1.014,0.022,0.735,-0.006,0.404,31.52,0.39
72,1886,8,0.568,1.247,0.353,1.285,0.073,1.052,0.020,0.734,-0.007,0.405,31.52,0.39
73,1886,9,0.380,0.912,0.319,1.217,0.081,1.040,0.022,0.731,-0.005,0.406,31.52,0.39
74,1886,10,1.210,1.360,0.272,1.080,0.084,1.048,0.017,0.704,-0.006,0.401,31.52,0.39
75,1886,11,0.526,1.097,0.211,1.150,0.099,1.052,0.012,0.694,-0.004,0.400,31.52,0.39
76,1886,12,-0.466,1.659,0.104,1.207,0.109,1.051,0.013,0.685,-0.004,0.398,31.52,0.39
77,1887,1,-0.693,2.092,-0.021,1.153,0.120,0.989,-0.000,0.671,-0.007,0.398,31.52,0.39
78,1887,2,-0.212,3.486,-0.106,1.099,0.125,0.941,0.000,0.658,-0.014,0.397,31.52,0.39
79,1887,3,-0.589,2.652,-0.124,1.127,0.128,0.914,0.009,0.652,-0.013,0.398,31.52,0.39
80,1887,4,0.213,1.873,-0.190,1.082,0.147,0.909,0.010,0.643,-0.010,0.396,31.52,0.39
81,1887,5,-0.167,1.746,-0.212,1.157,0.147,0.908,0.007,0.630,-0.008,0.395,31.52,0.39
82,1887,6,-0.588,1.298,-0.240,1.186,0.148,0.882,0.011,0.629,-0.007,0.397,31.52,0.39
83,1887,7,-0.440,1.382,-0.270,1.250,0.146,0.859,0.009,0.632,-0.005,0.401,31.52,0.39
84,1887,8,-0.450,1.602,-0.335,1.125,0.148,0.841,0.002,0.630,-0.008,0.405,31.52,0.39
