,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1859,11,-0.089,1.759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.93,0.71
1,1859,12,0.386,2.198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.93,0.71
2,1860,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.93,0.71
3,1860,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.93,0.71
4,1860,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.93,0.71
5,1860,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.93,0.71
6,1860,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.93,0.71
7,1860,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.93,0.71
8,1860,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.93,0.71
9,1860,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.93,0.71
10,1860,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.93,0.71
11,1860,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.93,0.71
12,1860,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.93,0.71
13,1860,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.93,0.71
14,1861,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.93,0.71
15,1861,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.93,0.71
16,1861,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.93,0.71
17,1861,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.93,0.71
18,1861,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.93,0.71
19,1861,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.93,0.71
