,Country,RealName,Link,Code
0,Afghanistan,Afghanistan,http://berkeleyearth.lbl.gov/regions/afghanistan,AFG
1,Åland,Aland Islands,http://berkeleyearth.lbl.gov/regions/Ã¥land,ALA
2,Albania,Albania,http://berkeleyearth.lbl.gov/regions/albania,ALB
3,Algeria,Algeria,http://berkeleyearth.lbl.gov/regions/algeria,DZA
4,American Samoa,American Samoa,http://berkeleyearth.lbl.gov/regions/american-samoa,ASM
5,Andorra,Andorra,http://berkeleyearth.lbl.gov/regions/andorra,AND
6,Angola,Angola,http://berkeleyearth.lbl.gov/regions/angola,AGO
7,Anguilla,Anguilla,http://berkeleyearth.lbl.gov/regions/anguilla,AIA
8,Antarctica,Antarctica,http://berkeleyearth.lbl.gov/regions/antarctica,ATA
9,Antigua and Barbuda,Antigua and Barbuda,http://berkeleyearth.lbl.gov/regions/antigua-and-barbuda,ATG
10,Argentina,Argentina,http://berkeleyearth.lbl.gov/regions/argentina,ARG
11,Armenia,Armenia,http://berkeleyearth.lbl.gov/regions/armenia,ARM
12,Aruba,Aruba,http://berkeleyearth.lbl.gov/regions/aruba,ABW
13,Australia,Australia,http://berkeleyearth.lbl.gov/regions/australia,AUS
14,Austria,Austria,http://berkeleyearth.lbl.gov/regions/austria,AUT
15,Azerbaijan,Azerbaijan,http://berkeleyearth.lbl.gov/regions/azerbaijan,AZE
16,Bahamas,Bahamas,http://berkeleyearth.lbl.gov/regions/bahamas,BHS
17,Bahrain,Bahrain,http://berkeleyearth.lbl.gov/regions/bahrain,BHR
18,Bangladesh,Bangladesh,http://berkeleyearth.lbl.gov/regions/bangladesh,BGD
19,Barbados,Barbados,http://berkeleyearth.lbl.gov/regions/barbados,BRB
20,Belarus,Belarus,http://berkeleyearth.lbl.gov/regions/belarus,BLR
21,Belgium,Belgium,http://berkeleyearth.lbl.gov/regions/belgium,BEL
22,Belize,Belize,http://berkeleyearth.lbl.gov/regions/belize,BLZ
23,Benin,Benin,http://berkeleyearth.lbl.gov/regions/benin,BEN
24,Bhutan,Bhutan,http://berkeleyearth.lbl.gov/regions/bhutan,BTN
25,Bolivia,Bolivia,http://berkeleyearth.lbl.gov/regions/bolivia,BOL
26,Bosnia and Herzegovina,Bosnia and Herzegovina,http://berkeleyearth.lbl.gov/regions/bosnia-and-herzegovina,BIH
27,Botswana,Botswana,http://berkeleyearth.lbl.gov/regions/botswana,BWA
28,Brazil,Brazil,http://berkeleyearth.lbl.gov/regions/brazil,BRA
29,British Virgin Islands,Virgin Islands (British),http://berkeleyearth.lbl.gov/regions/british-virgin-islands,VGB
30,Bulgaria,Bulgaria,http://berkeleyearth.lbl.gov/regions/bulgaria,BGR
31,Burkina Faso,Burkina Faso,http://berkeleyearth.lbl.gov/regions/burkina-faso,BFA
32,Burma,Myanmar,http://berkeleyearth.lbl.gov/regions/burma,MMR
33,Burundi,Burundi,http://berkeleyearth.lbl.gov/regions/burundi,BDI
34,Cambodia,Cambodia,http://berkeleyearth.lbl.gov/regions/cambodia,KHM
35,Cameroon,Cameroon,http://berkeleyearth.lbl.gov/regions/cameroon,CMR
36,Canada,Canada,http://berkeleyearth.lbl.gov/regions/canada,CAN
37,Cape Verde,Cape Verde,http://berkeleyearth.lbl.gov/regions/cape-verde,CPV
38,Cayman Islands,Cayman Islands,http://berkeleyearth.lbl.gov/regions/cayman-islands,CYM
39,Central African Republic,Central African Republic,http://berkeleyearth.lbl.gov/regions/central-african-republic,CAF
40,Chad,Chad,http://berkeleyearth.lbl.gov/regions/chad,TCD
41,Chile,Chile,http://berkeleyearth.lbl.gov/regions/chile,CHL
42,China,China,http://berkeleyearth.lbl.gov/regions/china,CHN
43,Colombia,Colombia,http://berkeleyearth.lbl.gov/regions/colombia,COL
44,Comoros,Comoros,http://berkeleyearth.lbl.gov/regions/comoros,COM
45,Congo,Congo,http://berkeleyearth.lbl.gov/regions/congo,COG
46,Congo (Democratic Republic of the),Congo (The Democratic Republic of),http://berkeleyearth.lbl.gov/regions/congo-(democratic-republic-of-the),COD
47,Costa Rica,Costa Rica,http://berkeleyearth.lbl.gov/regions/costa-rica,CRI
48,Côte d'Ivoire,Cote d'Ivoire,http://berkeleyearth.lbl.gov/regions/cÃ´te-d'ivoire,CIV
49,Croatia,Croatia,http://berkeleyearth.lbl.gov/regions/croatia,HRV
50,Cuba,Cuba,http://berkeleyearth.lbl.gov/regions/cuba,CUB
51,Curaçao,Curaao,http://berkeleyearth.lbl.gov/regions/curaÃ§ao,CUW
52,Cyprus,Cyprus,http://berkeleyearth.lbl.gov/regions/cyprus,CYP
53,Czech Republic,Czechia,http://berkeleyearth.lbl.gov/regions/czech-republic,CZE
54,Denmark (Europe),Denmark,http://berkeleyearth.lbl.gov/regions/denmark-(europe),DNK
55,Djibouti,Djibouti,http://berkeleyearth.lbl.gov/regions/djibouti,DJI
56,Dominica,Dominica,http://berkeleyearth.lbl.gov/regions/dominica,DMA
57,Dominican Republic,Dominican Republic,http://berkeleyearth.lbl.gov/regions/dominican-republic,DOM
58,Ecuador,Ecuador,http://berkeleyearth.lbl.gov/regions/ecuador,ECU
59,Egypt,Egypt,http://berkeleyearth.lbl.gov/regions/egypt,EGY
60,El Salvador,El Salvador,http://berkeleyearth.lbl.gov/regions/el-salvador,SLV
