,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-1.464,2.934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
1,1814,2,-4.931,3.490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
2,1814,3,-2.827,2.455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
3,1814,4,2.369,1.772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
4,1814,5,-2.104,1.787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
5,1814,6,-1.725,1.963,-1.218,1.006,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
6,1814,7,0.344,1.705,-1.173,0.996,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
7,1814,8,0.034,1.505,-0.438,0.985,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
8,1814,9,-4.608,1.805,0.044,0.988,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
9,1814,10,-2.116,1.767,-0.043,0.983,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
10,1814,11,0.139,2.170,0.237,0.987,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
11,1814,12,2.303,2.148,0.385,0.949,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
12,1815,1,-0.916,2.873,0.142,0.964,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
13,1815,2,3.885,3.434,-0.089,0.946,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
14,1815,3,2.959,2.471,0.066,0.972,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
15,1815,4,1.321,1.735,0.245,0.990,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
16,1815,5,1.257,1.814,0.140,0.981,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
17,1815,6,0.048,1.444,-0.209,0.976,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
18,1815,7,-2.564,1.826,0.089,0.975,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
19,1815,8,-2.744,1.388,-0.209,0.985,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
20,1815,9,-2.743,1.708,-0.503,0.976,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
21,1815,10,0.033,1.888,-0.495,0.984,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
22,1815,11,-1.132,2.126,-0.647,1.003,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
23,1815,12,-1.884,2.151,-0.781,1.042,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
24,1816,1,2.665,2.880,-0.608,1.070,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
25,1816,2,0.304,3.472,-0.567,1.088,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
26,1816,3,-0.560,2.436,-0.431,1.135,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
27,1816,4,1.418,1.810,-0.499,1.173,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
28,1816,5,-0.576,2.018,-0.463,1.231,NaN,NaN,NaN,NaN,NaN,NaN,14.43,0.11
29,1816,6,-1.559,1.917,-0.318,1.236,-0.122,0.913,NaN,NaN,NaN,NaN,14.43,0.11
30,1816,7,-0.480,2.122,-0.253,1.248,-0.085,0.898,NaN,NaN,NaN,NaN,14.43,0.11
31,1816,8,-2.261,1.509,0.092,1.252,-0.001,0.879,NaN,NaN,NaN,NaN,14.43,0.11
32,1816,9,-1.110,2.049,0.131,1.299,0.063,0.890,NaN,NaN,NaN,NaN,14.43,0.11
33,1816,10,-0.786,2.229,-0.486,1.296,0.016,0.860,NaN,NaN,NaN,NaN,14.43,0.11
34,1816,11,-0.700,2.505,-0.384,1.317,0.119,0.942,NaN,NaN,NaN,NaN,14.43,0.11
35,1816,12,-0.138,2.164,-0.033,1.318,0.237,0.994,NaN,NaN,NaN,NaN,14.43,0.11
36,1817,1,3.446,2.926,0.026,1.333,0.259,0.996,NaN,NaN,NaN,NaN,14.43,0.11
37,1817,2,4.444,3.482,0.246,1.404,0.289,1.050,NaN,NaN,NaN,NaN,14.43,0.11
38,1817,3,-0.093,2.638,0.429,1.378,0.353,1.035,NaN,NaN,NaN,NaN,14.43,0.11
39,1817,4,-5.987,1.805,0.237,1.332,0.427,1.092,NaN,NaN,NaN,NaN,14.43,0.11
40,1817,5,0.650,2.237,0.359,1.269,0.456,1.168,NaN,NaN,NaN,NaN,14.43,0.11
41,1817,6,2.650,1.937,0.444,1.282,0.415,1.190,NaN,NaN,NaN,NaN,14.43,0.11
42,1817,7,0.223,2.285,0.274,1.272,0.454,1.347,NaN,NaN,NaN,NaN,14.43,0.11
43,1817,8,0.384,2.178,0.087,1.332,0.453,1.506,NaN,NaN,NaN,NaN,14.43,0.11
44,1817,9,1.092,1.865,0.238,1.341,0.412,1.513,NaN,NaN,NaN,NaN,14.43,0.11
45,1817,10,-3.091,1.864,0.880,1.357,0.402,1.546,NaN,NaN,NaN,NaN,14.43,0.11
46,1817,11,0.766,2.187,1.027,1.437,0.412,1.555,NaN,NaN,NaN,NaN,14.43,0.11
47,1817,12,0.874,2.173,0.942,1.501,0.419,1.677,NaN,NaN,NaN,NaN,14.43,0.11
48,1818,1,1.413,5.967,0.883,1.449,0.498,1.699,NaN,NaN,NaN,NaN,14.43,0.11
49,1818,2,2.198,4.889,0.693,1.361,0.557,1.500,NaN,NaN,NaN,NaN,14.43,0.11
50,1818,3,1.715,6.085,0.613,1.371,0.604,1.468,NaN,NaN,NaN,NaN,14.43,0.11
51,1818,4,1.721,5.584,0.843,1.371,0.634,1.513,NaN,NaN,NaN,NaN,14.43,0.11
52,1818,5,2.419,4.465,0.788,1.366,0.652,1.494,NaN,NaN,NaN,NaN,14.43,0.11
53,1818,6,1.621,3.977,0.691,1.421,0.683,1.482,NaN,NaN,NaN,NaN,14.43,0.11
54,1818,7,-0.477,1.794,0.639,1.355,0.680,1.580,NaN,NaN,NaN,NaN,14.43,0.11
55,1818,8,-1.897,3.018,0.464,1.263,0.664,1.553,NaN,NaN,NaN,NaN,14.43,0.11
56,1818,9,0.128,1.902,0.404,1.243,0.696,1.654,NaN,NaN,NaN,NaN,14.43,0.11
57,1818,10,-0.332,1.855,0.222,1.389,0.714,1.611,NaN,NaN,NaN,NaN,14.43,0.11
58,1818,11,0.107,3.253,0.363,1.237,0.784,1.641,NaN,NaN,NaN,NaN,14.43,0.11
59,1818,12,-0.292,2.568,0.673,1.390,0.828,1.778,0.400,1.138,NaN,NaN,14.43,0.11
60,1819,1,0.791,4.815,0.849,1.381,0.801,1.780,0.416,1.137,NaN,NaN,14.43,0.11
61,1819,2,0.102,5.120,1.164,1.685,0.789,1.748,0.476,1.144,NaN,NaN,14.43,0.11
62,1819,3,0.989,4.739,1.087,1.491,0.783,1.622,0.517,1.159,NaN,NaN,14.43,0.11
63,1819,4,-0.458,5.844,1.310,3.042,0.798,1.594,0.478,1.159,NaN,NaN,14.43,0.11
64,1819,5,4.110,3.546,1.455,3.165,0.796,1.490,0.493,1.169,NaN,NaN,14.43,0.11
65,1819,6,5.332,5.238,1.470,3.243,0.822,1.492,0.514,1.181,NaN,NaN,14.43,0.11
66,1819,7,1.640,3.880,1.520,3.219,0.794,1.492,0.501,1.179,NaN,NaN,14.43,0.11
67,1819,8,1.883,4.835,1.831,3.506,0.760,1.497,0.508,1.180,NaN,NaN,14.43,0.11
68,1819,9,-0.801,4.643,1.788,3.417,0.819,1.483,0.560,1.184,NaN,NaN,14.43,0.11
69,1819,10,2.348,3.470,1.886,3.689,0.953,1.481,0.590,1.192,NaN,NaN,14.43,0.11
70,1819,11,1.846,4.621,1.699,4.442,0.980,1.473,0.587,1.183,NaN,NaN,14.43,0.11
71,1819,12,-0.113,2.179,1.297,4.600,0.987,1.479,0.568,1.181,NaN,NaN,14.43,0.11
72,1820,1,1.395,3.038,1.341,4.806,1.056,1.493,0.574,1.175,NaN,NaN,14.43,0.11
73,1820,2,3.831,4.789,1.250,3.073,1.054,1.475,0.541,1.182,NaN,NaN,14.43,0.11
74,1820,3,0.473,3.603,1.323,3.101,1.065,1.485,0.511,1.192,NaN,NaN,14.43,0.11
75,1820,4,0.717,3.495,1.281,2.978,1.117,1.470,0.511,1.194,NaN,NaN,14.43,0.11
76,1820,5,1.872,2.201,1.120,2.319,1.109,1.464,0.502,1.198,NaN,NaN,14.43,0.11
77,1820,6,0.501,5.182,1.127,2.137,1.084,1.477,0.481,1.193,NaN,NaN,14.43,0.11
78,1820,7,2.175,2.729,1.221,1.867,0.968,1.487,0.492,1.189,NaN,NaN,14.43,0.11
79,1820,8,0.792,4.004,0.845,1.625,0.937,1.474,0.516,1.191,NaN,NaN,14.43,0.11
80,1820,9,0.066,3.999,0.920,1.617,0.917,1.463,0.537,1.184,NaN,NaN,14.43,0.11
81,1820,10,1.849,4.261,1.067,1.611,0.891,1.474,0.539,1.185,NaN,NaN,14.43,0.11
82,1820,11,-0.088,3.339,1.216,3.166,0.836,1.433,0.558,1.183,NaN,NaN,14.43,0.11
83,1820,12,-0.028,3.110,1.261,3.158,0.775,1.414,0.613,1.188,NaN,NaN,14.43,0.11
84,1821,1,2.530,5.312,0.906,3.213,0.787,1.426,0.584,1.207,NaN,NaN,14.43,0.11
85,1821,2,-0.683,4.312,0.590,2.989,0.849,1.431,0.580,1.215,NaN,NaN,14.43,0.11
86,1821,3,1.364,5.333,0.463,3.042,0.859,1.427,0.594,1.224,NaN,NaN,14.43,0.11
87,1821,4,2.489,3.623,0.321,3.008,0.907,1.432,0.575,1.221,NaN,NaN,14.43,0.11
88,1821,5,3.654,5.475,0.256,3.219,0.914,1.441,0.563,1.220,NaN,NaN,14.43,0.11
89,1821,6,1.041,3.179,0.381,3.294,0.921,1.419,0.565,1.213,NaN,NaN,14.43,0.11
90,1821,7,-2.087,3.336,0.315,3.512,0.917,1.434,0.570,1.208,NaN,NaN,14.43,0.11
91,1821,8,-2.993,3.243,0.573,3.614,0.952,1.477,0.597,1.203,NaN,NaN,14.43,0.11
92,1821,9,-1.455,2.952,0.744,3.883,0.971,1.497,0.588,1.181,NaN,NaN,14.43,0.11
93,1821,10,0.137,3.674,0.710,1.572,0.940,1.565,0.593,1.169,NaN,NaN,14.43,0.11
94,1821,11,-0.868,4.521,0.594,1.418,0.867,1.452,0.593,1.163,NaN,NaN,14.43,0.11
95,1821,12,1.475,3.836,0.762,2.045,0.791,1.416,0.591,1.160,NaN,NaN,14.43,0.11
96,1822,1,1.744,5.027,1.299,2.105,0.743,1.411,0.568,1.157,NaN,NaN,14.43,0.11
97,1822,2,2.406,6.421,1.574,1.970,0.726,1.361,0.486,1.150,NaN,NaN,14.43,0.11
98,1822,3,3.419,3.815,1.839,1.417,0.767,1.380,0.504,1.146,NaN,NaN,14.43,0.11
99,1822,4,2.078,1.741,1.832,1.280,0.753,1.344,0.566,1.144,NaN,NaN,14.43,0.11
100,1822,5,2.262,1.917,1.925,1.165,0.719,1.273,0.597,1.154,NaN,NaN,14.43,0.11
101,1822,6,3.058,2.828,1.750,1.233,0.720,1.250,0.595,1.148,NaN,NaN,14.43,0.11
102,1822,7,4.352,4.388,1.146,1.259,0.694,1.177,0.616,1.149,NaN,NaN,14.43,0.11
103,1822,8,0.311,3.057,0.973,1.249,0.629,1.154,0.618,1.144,NaN,NaN,14.43,0.11
104,1822,9,1.732,3.392,0.731,1.268,0.611,1.148,0.610,1.142,NaN,NaN,14.43,0.11
105,1822,10,0.041,3.753,0.571,1.339,0.620,1.156,0.645,NaN,NaN,NaN,14.43,0.11
106,1822,11,0.255,2.972,0.309,2.111,0.593,1.147,0.611,NaN,NaN,NaN,14.43,0.11
107,1822,12,-0.628,2.988,-0.119,2.170,0.543,1.138,0.617,NaN,NaN,NaN,14.43,0.11
108,1823,1,-5.504,4.961,-0.459,2.216,0.485,1.130,0.606,NaN,NaN,NaN,14.43,0.11
109,1823,2,0.336,4.786,-0.335,2.257,0.475,1.107,0.579,NaN,NaN,NaN,14.43,0.11
110,1823,3,0.509,4.835,-0.416,1.151,0.469,1.086,0.575,NaN,NaN,NaN,14.43,0.11
111,1823,4,0.165,3.735,-0.208,1.220,0.443,1.077,0.584,NaN,NaN,NaN,14.43,0.11
112,1823,5,-0.881,4.117,-0.184,1.276,0.464,1.057,0.576,NaN,NaN,NaN,14.43,0.11
113,1823,6,-2.080,3.238,-0.121,1.192,0.543,1.044,0.574,NaN,NaN,NaN,14.43,0.11
114,1823,7,0.266,3.862,0.383,1.161,0.488,1.036,0.608,NaN,NaN,NaN,14.43,0.11
115,1823,8,1.806,3.672,0.539,1.195,0.495,1.046,0.616,NaN,NaN,NaN,14.43,0.11
116,1823,9,0.750,1.826,0.671,1.305,0.493,1.044,0.622,NaN,NaN,NaN,14.43,0.11
117,1823,10,2.544,2.032,0.467,1.245,0.437,1.028,0.620,NaN,NaN,NaN,14.43,0.11
118,1823,11,0.537,4.829,0.519,1.362,0.341,0.985,0.620,NaN,NaN,NaN,14.43,0.11
119,1823,12,0.128,4.670,0.752,1.508,0.302,0.986,0.643,NaN,0.268,NaN,14.43,0.11
120,1824,1,0.548,3.817,0.631,1.444,0.340,0.987,0.622,NaN,0.294,NaN,14.43,0.11
121,1824,2,2.202,4.621,0.549,1.451,0.404,0.985,0.593,NaN,0.325,NaN,14.43,0.11
122,1824,3,2.100,4.314,0.626,1.478,0.392,0.945,0.570,NaN,0.339,NaN,14.43,0.11
123,1824,4,-2.286,2.117,0.539,2.916,0.387,0.940,0.593,NaN,0.335,NaN,14.43,0.11
124,1824,5,-0.254,3.445,0.477,2.878,0.390,0.942,0.544,NaN,0.356,NaN,14.43,0.11
125,1824,6,0.720,4.113,0.464,3.121,0.359,0.928,0.488,NaN,0.377,NaN,14.43,0.11
126,1824,7,-1.187,2.685,0.403,3.392,0.343,0.917,0.492,NaN,0.398,NaN,14.43,0.11
127,1824,8,0.822,3.526,0.216,3.593,0.212,0.895,0.473,NaN,0.410,NaN,14.43,0.11
128,1824,9,1.673,4.284,-0.012,3.581,0.189,0.903,0.486,NaN,0.444,NaN,14.43,0.11
129,1824,10,1.494,3.681,0.283,3.764,0.179,0.907,0.455,NaN,0.461,NaN,14.43,0.11
130,1824,11,-0.205,4.730,0.326,3.878,0.214,0.935,0.410,NaN,0.466,NaN,14.43,0.11
131,1824,12,-0.024,5.209,0.057,3.736,0.202,0.935,0.348,NaN,0.460,NaN,14.43,0.11
132,1825,1,-0.190,6.871,0.049,3.748,0.176,0.928,0.281,NaN,0.474,NaN,14.43,0.11
133,1825,2,-0.041,6.844,-0.003,3.691,0.182,0.931,0.233,NaN,0.467,NaN,14.43,0.11
134,1825,3,-0.629,4.117,-0.168,3.489,0.155,0.922,0.240,NaN,0.457,NaN,14.43,0.11
135,1825,4,1.249,3.442,-0.266,3.430,0.172,NaN,0.259,NaN,0.454,NaN,14.43,0.11
136,1825,5,0.262,3.884,-0.152,3.398,0.114,NaN,0.261,NaN,0.459,NaN,14.43,0.11
137,1825,6,-2.504,1.728,0.241,3.103,0.150,NaN,0.281,NaN,0.470,NaN,14.43,0.11
138,1825,7,-1.281,2.782,0.195,2.564,0.243,NaN,0.281,NaN,0.492,NaN,14.43,0.11
139,1825,8,0.194,3.485,0.176,2.115,0.221,NaN,0.296,NaN,0.505,NaN,14.43,0.11
140,1825,9,-0.307,2.285,0.329,1.973,0.233,NaN,0.288,NaN,0.520,NaN,14.43,0.11
141,1825,10,0.314,2.844,0.152,1.895,0.277,NaN,0.254,NaN,0.515,NaN,14.43,0.11
142,1825,11,1.162,4.497,-0.042,1.710,0.316,NaN,0.263,NaN,NaN,NaN,14.43,0.11
143,1825,12,4.694,4.040,0.056,1.708,0.373,NaN,0.266,NaN,NaN,NaN,14.43,0.11
144,1826,1,-0.740,3.900,0.179,1.802,0.430,NaN,0.218,NaN,NaN,NaN,14.43,0.11
145,1826,2,-0.271,5.627,0.236,1.867,0.383,NaN,0.217,NaN,NaN,NaN,14.43,0.11
146,1826,3,1.205,3.060,0.080,1.969,0.385,NaN,0.209,NaN,NaN,NaN,14.43,0.11
147,1826,4,-0.874,2.604,0.039,1.811,0.332,NaN,0.219,NaN,NaN,NaN,14.43,0.11
148,1826,5,-2.061,2.009,-0.113,1.728,0.325,NaN,0.196,NaN,NaN,NaN,14.43,0.11
149,1826,6,-1.327,1.722,-0.537,1.619,0.364,NaN,0.182,NaN,NaN,NaN,14.43,0.11
150,1826,7,0.193,4.222,-0.413,1.904,0.326,NaN,0.205,NaN,NaN,NaN,14.43,0.11
151,1826,8,0.878,4.496,-0.846,1.929,0.234,NaN,0.225,NaN,NaN,NaN,14.43,0.11
152,1826,9,-2.179,3.731,-0.776,2.250,0.170,NaN,0.215,NaN,NaN,NaN,14.43,0.11
153,1826,10,-0.175,2.538,-0.576,2.248,0.245,NaN,0.227,NaN,NaN,NaN,14.43,0.11
154,1826,11,-0.669,3.975,-0.042,2.656,0.221,NaN,0.236,NaN,NaN,NaN,14.43,0.11
155,1826,12,-0.385,2.943,0.265,2.967,0.185,NaN,0.218,NaN,NaN,NaN,14.43,0.11
156,1827,1,0.746,5.268,0.480,2.805,0.240,NaN,0.201,NaN,NaN,NaN,14.43,0.11
157,1827,2,-5.466,4.252,0.461,2.793,0.220,NaN,0.190,NaN,NaN,NaN,14.43,0.11
158,1827,3,2.039,4.829,0.652,2.751,0.205,NaN,0.174,NaN,NaN,NaN,14.43,0.11
159,1827,4,1.524,2.949,0.757,NaN,0.157,NaN,0.160,NaN,NaN,NaN,14.43,0.11
160,1827,5,4.347,4.943,0.543,NaN,0.102,NaN,0.138,NaN,NaN,NaN,14.43,0.11
161,1827,6,2.354,4.812,0.701,NaN,-0.023,NaN,0.118,NaN,NaN,NaN,14.43,0.11
162,1827,7,2.781,3.153,0.646,NaN,-0.131,NaN,0.073,NaN,NaN,NaN,14.43,0.11
163,1827,8,0.646,4.079,1.019,NaN,-0.164,NaN,0.096,NaN,NaN,NaN,14.43,0.11
164,1827,9,0.108,3.266,0.954,NaN,-0.131,NaN,0.087,NaN,NaN,NaN,14.43,0.11
165,1827,10,1.090,NaN,1.057,NaN,-0.103,NaN,0.093,NaN,NaN,NaN,14.43,0.11
166,1827,11,-3.239,2.712,0.820,NaN,-0.071,NaN,0.081,NaN,NaN,NaN,14.43,0.11
167,1827,12,1.511,3.862,0.732,NaN,0.018,NaN,0.079,NaN,NaN,NaN,14.43,0.11
168,1828,1,0.088,5.148,0.809,NaN,0.077,NaN,0.102,NaN,NaN,NaN,14.43,0.11
169,1828,2,-0.988,3.566,0.670,NaN,0.117,NaN,0.122,NaN,NaN,NaN,14.43,0.11
170,1828,3,1.264,4.431,0.736,NaN,0.108,NaN,0.125,NaN,NaN,NaN,14.43,0.11
171,1828,4,2.760,4.822,0.592,2.517,0.065,NaN,0.110,NaN,NaN,NaN,14.43,0.11
172,1828,5,1.493,3.652,0.872,2.579,0.063,NaN,0.160,NaN,NaN,NaN,14.43,0.11
173,1828,6,1.305,4.163,0.951,2.659,-0.010,NaN,0.204,NaN,NaN,NaN,14.43,0.11
174,1828,7,3.698,5.327,0.799,2.640,-0.052,NaN,0.190,NaN,NaN,NaN,14.43,0.11
175,1828,8,-1.022,1.987,0.604,2.610,-0.060,NaN,0.146,NaN,NaN,NaN,14.43,0.11
176,1828,9,0.910,2.615,0.356,2.402,-0.076,NaN,0.131,NaN,NaN,NaN,14.43,0.11
177,1828,10,-0.641,2.385,0.311,2.413,0.001,NaN,0.112,NaN,NaN,NaN,14.43,0.11
178,1828,11,0.126,2.572,0.043,2.118,0.050,NaN,0.104,NaN,NaN,NaN,14.43,0.11
179,1828,12,2.451,4.693,-0.186,2.132,0.062,NaN,0.136,NaN,NaN,NaN,14.43,0.11
180,1829,1,-1.733,3.646,-0.316,1.987,0.071,NaN,0.172,NaN,NaN,NaN,14.43,0.11
181,1829,2,-3.330,3.538,-0.262,2.069,0.046,NaN,0.175,NaN,NaN,NaN,14.43,0.11
182,1829,3,-1.713,2.939,-0.275,2.129,0.037,NaN,0.161,NaN,NaN,NaN,14.43,0.11
183,1829,4,2.221,5.118,-0.335,2.152,0.066,NaN,0.192,NaN,NaN,NaN,14.43,0.11
184,1829,5,-1.716,2.774,-0.640,2.124,0.082,NaN,0.220,NaN,NaN,NaN,14.43,0.11
185,1829,6,-1.443,2.460,-1.472,1.380,0.077,NaN,0.240,NaN,NaN,NaN,14.43,0.11
186,1829,7,2.128,3.640,-1.882,NaN,0.060,NaN,0.295,NaN,NaN,NaN,14.43,0.11
187,1829,8,-0.372,2.800,-1.772,NaN,0.168,NaN,0.313,NaN,NaN,NaN,14.43,0.11
188,1829,9,0.757,3.445,-1.518,NaN,0.159,NaN,0.328,NaN,NaN,NaN,14.43,0.11
189,1829,10,-1.363,2.484,-1.456,NaN,0.141,NaN,0.333,NaN,NaN,NaN,14.43,0.11
190,1829,11,-3.536,2.812,-1.134,NaN,0.061,NaN,0.345,NaN,NaN,NaN,14.43,0.11
191,1829,12,-7.537,2.213,-0.776,NaN,0.034,NaN,0.352,NaN,NaN,NaN,14.43,0.11
192,1830,1,-6.652,NaN,-0.767,NaN,-0.030,NaN,0.373,NaN,NaN,NaN,14.43,0.11
193,1830,2,-2.003,4.884,-0.519,NaN,0.010,NaN,0.394,NaN,NaN,NaN,14.43,0.11
194,1830,3,1.328,3.605,-0.654,NaN,0.019,NaN,0.404,NaN,NaN,NaN,14.43,0.11
195,1830,4,2.964,2.948,-0.726,NaN,0.014,NaN,0.398,NaN,NaN,NaN,14.43,0.11
196,1830,5,2.158,3.184,-0.349,NaN,0.047,NaN,0.416,NaN,NaN,NaN,14.43,0.11
197,1830,6,2.851,5.492,0.308,NaN,0.009,NaN,0.459,NaN,NaN,NaN,14.43,0.11
198,1830,7,2.230,3.049,0.588,2.050,-0.038,NaN,0.493,NaN,NaN,NaN,14.43,0.11
199,1830,8,2.609,3.822,0.692,1.788,0.023,NaN,0.494,NaN,NaN,NaN,14.43,0.11
200,1830,9,-0.869,3.206,0.606,1.681,0.016,NaN,0.503,NaN,NaN,NaN,14.43,0.11
201,1830,10,-2.226,1.910,0.667,1.917,-0.056,NaN,0.492,NaN,NaN,NaN,14.43,0.11
202,1830,11,0.998,2.221,0.564,1.911,0.004,NaN,NaN,NaN,NaN,NaN,14.43,0.11
203,1830,12,0.339,2.628,0.273,1.741,0.035,NaN,NaN,NaN,NaN,NaN,14.43,0.11
204,1831,1,-3.286,3.339,0.148,1.751,-0.049,NaN,NaN,NaN,NaN,NaN,14.43,0.11
205,1831,2,-0.754,4.219,-0.120,1.585,-0.090,NaN,NaN,NaN,NaN,NaN,14.43,0.11
206,1831,3,0.296,2.657,-0.274,1.397,-0.122,NaN,NaN,NaN,NaN,NaN,14.43,0.11
207,1831,4,3.693,5.646,0.042,1.385,-0.108,NaN,NaN,NaN,NaN,NaN,14.43,0.11
208,1831,5,0.918,3.100,-0.016,1.384,-0.118,NaN,NaN,NaN,NaN,NaN,14.43,0.11
209,1831,6,-0.633,3.375,-0.102,1.400,-0.093,NaN,NaN,NaN,NaN,NaN,14.43,0.11
210,1831,7,0.719,3.296,0.148,1.537,0.019,NaN,NaN,NaN,NaN,NaN,14.43,0.11
211,1831,8,-0.601,2.320,0.296,1.582,0.115,NaN,NaN,NaN,NaN,NaN,14.43,0.11
212,1831,9,-2.714,1.843,0.396,1.721,0.152,NaN,NaN,NaN,NaN,NaN,14.43,0.11
213,1831,10,1.562,4.693,0.128,1.390,0.138,NaN,NaN,NaN,NaN,NaN,14.43,0.11
214,1831,11,0.303,3.060,0.013,1.371,0.218,NaN,NaN,NaN,NaN,NaN,14.43,0.11
215,1831,12,-0.699,2.287,0.126,1.355,0.296,NaN,NaN,NaN,NaN,NaN,14.43,0.11
216,1832,1,-0.280,5.766,-0.023,1.222,0.349,NaN,NaN,NaN,NaN,NaN,14.43,0.11
