,id,Code,Temp
217,4.0,AFG,
92,8.0,ALB,-0.373
203,10.0,ATA,
116,12.0,DZA,-0.27699999999999997
138,20.0,AND,-0.324
18,24.0,AGO,
181,28.0,ATG,-0.445
54,31.0,AZE,-0.109
91,32.0,ARG,-0.5529999999999999
36,36.0,AUS,
41,40.0,AUT,-0.455
201,44.0,BHS,-0.29600000000000004
183,48.0,BHR,
176,50.0,BGD,-0.293
189,51.0,ARM,-0.10800000000000001
126,52.0,BRB,-0.44299999999999995
57,56.0,BEL,-0.41100000000000003
121,64.0,BTN,-0.222
68,68.0,BOL,
40,70.0,BIH,-0.375
123,72.0,BWA,
5,76.0,BRA,
156,84.0,BLZ,-0.53
79,90.0,SLB,
75,100.0,BGR,-0.35600000000000004
135,104.0,MMR,-0.441
89,108.0,BDI,
169,112.0,BLR,-0.63
2,116.0,KHM,-0.259
131,120.0,CMR,
30,124.0,CAN,-0.314
166,132.0,CPV,
13,140.0,CAF,
204,144.0,LKA,-0.307
117,148.0,TCD,
145,152.0,CHL,-0.45899999999999996
3,156.0,CHN,-0.149
225,170.0,COL,
216,174.0,COM,
94,178.0,COG,
210,180.0,COD,
192,188.0,CRI,
140,191.0,HRV,-0.395
50,192.0,CUB,-0.40299999999999997
173,196.0,CYP,-0.251
149,203.0,CZE,-0.51
160,204.0,BEN,
90,208.0,DNK,-0.515
174,212.0,DMA,-0.43200000000000005
170,214.0,DOM,-0.39399999999999996
96,218.0,ECU,
86,222.0,SLV,
9,226.0,GNQ,
177,231.0,ETH,
77,232.0,ERI,
158,233.0,EST,-0.59
66,242.0,FJI,
48,246.0,FIN,-0.64
34,250.0,FRA,-0.38799999999999996
163,262.0,DJI,
141,266.0,GAB,
93,268.0,GEO,-0.18899999999999997
4,270.0,GMB,-0.257
63,276.0,DEU,-0.434
15,288.0,GHA,
108,296.0,KIR,
74,300.0,GRC,-0.423
88,304.0,GRL,-0.418
76,308.0,GRD,-0.43200000000000005
191,320.0,GTM,-0.516
214,324.0,GIN,-0.387
70,328.0,GUY,-0.43700000000000006
118,332.0,HTI,-0.369
200,340.0,HND,-0.45399999999999996
107,348.0,HUN,-0.465
171,352.0,ISL,-0.36700000000000005
31,356.0,IND,-0.319
147,360.0,IDN,-0.5379999999999999
190,364.0,IRN,-0.04
84,368.0,IRQ,-0.136
83,372.0,IRL,-0.442
46,376.0,ISR,-0.32
87,380.0,ITA,-0.365
110,384.0,CIV,-0.642
196,388.0,JAM,-0.33299999999999996
114,392.0,JPN,-0.428
130,398.0,KAZ,-0.449
37,400.0,JOR,-0.319
206,404.0,KEN,
153,408.0,PRK,-0.28600000000000003
207,410.0,KOR,-0.32899999999999996
178,414.0,KWT,-0.11800000000000001
25,417.0,KGZ,-0.337
193,418.0,LAO,-0.153
188,422.0,LBN,-0.22
215,426.0,LSO,
99,428.0,LVA,-0.607
197,430.0,LBR,
72,434.0,LBY,-0.37
164,438.0,LIE,-0.429
136,440.0,LTU,-0.645
212,442.0,LUX,-0.41200000000000003
120,450.0,MDG,
82,454.0,MWI,
52,458.0,MYS,-0.47200000000000003
103,466.0,MLI,
106,470.0,MLT,-0.24100000000000002
187,478.0,MRT,-0.193
167,480.0,MUS,
221,484.0,MEX,-0.5329999999999999
218,492.0,MCO,-0.40299999999999997
129,496.0,MNG,-0.242
134,498.0,MDA,-0.5479999999999999
21,499.0,MNE,-0.344
14,504.0,MAR,-0.253
97,508.0,MOZ,
17,512.0,OMN,
179,516.0,NAM,
224,524.0,NPL,-0.308
157,528.0,NLD,-0.396
223,554.0,NZL,-0.381
53,558.0,NIC,-0.414
56,562.0,NER,
182,566.0,NGA,
69,578.0,NOR,-0.532
113,583.0,FSM,
12,585.0,PLW,
101,586.0,PAK,
219,591.0,PAN,
115,598.0,PNG,
155,600.0,PRY,-0.43799999999999994
132,604.0,PER,
112,608.0,PHL,
23,616.0,POL,-0.562
44,620.0,PRT,-0.316
16,624.0,GNB,-0.316
143,626.0,TLS,
47,634.0,QAT,
11,642.0,ROU,-0.45299999999999996
185,643.0,RUS,-0.32299999999999995
38,646.0,RWA,
10,659.0,KNA,-0.44799999999999995
59,662.0,LCA,-0.43799999999999994
146,670.0,VCT,-0.433
49,674.0,SMR,-0.37200000000000005
111,678.0,STP,
162,682.0,SAU,
184,686.0,SEN,-0.254
209,688.0,SRB,-0.426
1,690.0,SYC,
81,694.0,SLE,
168,702.0,SGP,-0.588
142,703.0,SVK,-0.535
95,704.0,VNM,-0.161
8,705.0,SVN,-0.395
78,706.0,SOM,
208,710.0,ZAF,-0.49200000000000005
35,716.0,ZWE,
39,724.0,ESP,-0.268
67,729.0,SDN,
32,740.0,SUR,
213,748.0,SWZ,-0.46799999999999997
102,752.0,SWE,-0.5670000000000001
144,756.0,CHE,-0.409
122,760.0,SYR,-0.188
133,762.0,TJK,
205,764.0,THA,-0.27399999999999997
100,768.0,TGO,
137,776.0,TON,
152,780.0,TTO,-0.409
175,784.0,ARE,
71,788.0,TUN,-0.20800000000000002
80,792.0,TUR,-0.258
98,795.0,TKM,-0.07
161,800.0,UGA,
51,804.0,UKR,-0.537
124,807.0,MKD,-0.374
127,818.0,EGY,-0.43
27,826.0,GBR,-0.425
198,834.0,TZA,
0,840.0,USA,-0.315
159,854.0,BFA,
109,858.0,URY,-0.643
139,860.0,UZB,-0.183
22,862.0,VEN,-0.42
24,882.0,WSM,
73,887.0,YEM,
220,894.0,ZMB,
6,,REU,
7,,GGY,-0.396
19,,MAF,-0.48700000000000004
20,,ABW,-0.408
26,,SPM,-0.895
28,,FRO,-0.396
29,,MNP,
33,,TCA,-0.375
42,,ASM,
43,,GUM,
45,,CUW,-0.44299999999999995
55,,MYT,
58,,NCL,-0.408
60,,SGS,
61,,FLK,-0.586
62,,MSR,-0.49200000000000005
64,,PRI,-0.439
65,,BLM,-0.46
85,,PSE,-0.462
104,,AIA,-0.48700000000000004
105,,VGB,-0.47200000000000003
119,,IMN,-0.326
