,id,Code,Temp
217,4.0,AFG,-0.8440000000000001
92,8.0,ALB,-0.652
203,10.0,ATA,
116,12.0,DZA,-0.762
138,20.0,AND,-0.7959999999999999
18,24.0,AGO,-0.723
181,28.0,ATG,-1.0190000000000001
54,31.0,AZE,
91,32.0,ARG,
36,36.0,AUS,-0.5329999999999999
41,40.0,AUT,-0.757
201,44.0,BHS,-0.40399999999999997
183,48.0,BHR,-0.62
176,50.0,BGD,-0.892
189,51.0,ARM,
126,52.0,BRB,-0.98
57,56.0,BEL,-0.795
121,64.0,BTN,-0.884
68,68.0,BOL,
40,70.0,BIH,-0.715
123,72.0,BWA,
5,76.0,BRA,
156,84.0,BLZ,-0.335
79,90.0,SLB,
75,100.0,BGR,-0.78
135,104.0,MMR,-0.728
89,108.0,BDI,
169,112.0,BLR,-0.934
2,116.0,KHM,-0.914
131,120.0,CMR,-0.752
30,124.0,CAN,-1.043
166,132.0,CPV,-0.8240000000000001
13,140.0,CAF,
204,144.0,LKA,-0.993
117,148.0,TCD,
145,152.0,CHL,
3,156.0,CHN,-0.63
225,170.0,COL,
216,174.0,COM,
94,178.0,COG,-0.9420000000000001
210,180.0,COD,-0.9259999999999999
192,188.0,CRI,
140,191.0,HRV,-0.7070000000000001
50,192.0,CUB,-0.446
173,196.0,CYP,
149,203.0,CZE,-0.825
160,204.0,BEN,-0.7120000000000001
90,208.0,DNK,-0.927
174,212.0,DMA,-1.025
170,214.0,DOM,-0.872
96,218.0,ECU,
86,222.0,SLV,-0.488
9,226.0,GNQ,-0.74
177,231.0,ETH,
77,232.0,ERI,
158,233.0,EST,-1.204
66,242.0,FJI,
48,246.0,FIN,-1.16
34,250.0,FRA,-0.758
163,262.0,DJI,
141,266.0,GAB,-0.7290000000000001
93,268.0,GEO,
4,270.0,GMB,-0.883
63,276.0,DEU,-0.773
15,288.0,GHA,-0.7559999999999999
108,296.0,KIR,
74,300.0,GRC,-0.649
88,304.0,GRL,-0.6679999999999999
76,308.0,GRD,-0.9670000000000001
191,320.0,GTM,-0.408
214,324.0,GIN,-0.892
70,328.0,GUY,
118,332.0,HTI,-0.813
200,340.0,HND,-0.451
107,348.0,HUN,-0.8190000000000001
171,352.0,ISL,-0.6409999999999999
31,356.0,IND,-1.02
147,360.0,IDN,-0.958
190,364.0,IRN,-0.767
84,368.0,IRQ,-0.611
83,372.0,IRL,-0.8290000000000001
46,376.0,ISR,
87,380.0,ITA,-0.579
110,384.0,CIV,-0.607
196,388.0,JAM,-0.5820000000000001
114,392.0,JPN,-0.6829999999999999
130,398.0,KAZ,
37,400.0,JOR,
206,404.0,KEN,
153,408.0,PRK,-0.522
207,410.0,KOR,-0.626
178,414.0,KWT,-0.602
25,417.0,KGZ,-1.0390000000000001
193,418.0,LAO,-0.818
188,422.0,LBN,
215,426.0,LSO,
99,428.0,LVA,-1.091
197,430.0,LBR,-0.83
72,434.0,LBY,
164,438.0,LIE,-0.7959999999999999
136,440.0,LTU,-1.001
212,442.0,LUX,-0.747
120,450.0,MDG,
82,454.0,MWI,
52,458.0,MYS,-1.031
103,466.0,MLI,-0.878
106,470.0,MLT,-0.433
187,478.0,MRT,-0.996
167,480.0,MUS,
221,484.0,MEX,-0.557
218,492.0,MCO,-0.6609999999999999
129,496.0,MNG,
134,498.0,MDA,-0.9329999999999999
21,499.0,MNE,-0.711
14,504.0,MAR,-1.042
97,508.0,MOZ,
17,512.0,OMN,-0.688
179,516.0,NAM,
224,524.0,NPL,-1.013
157,528.0,NLD,-0.8190000000000001
223,554.0,NZL,-0.505
53,558.0,NIC,-0.557
56,562.0,NER,
182,566.0,NGA,
69,578.0,NOR,-0.8690000000000001
113,583.0,FSM,
12,585.0,PLW,
101,586.0,PAK,-0.884
219,591.0,PAN,
115,598.0,PNG,
155,600.0,PRY,
132,604.0,PER,
112,608.0,PHL,
23,616.0,POL,-0.8490000000000001
44,620.0,PRT,-0.858
16,624.0,GNB,-0.888
143,626.0,TLS,-0.7340000000000001
47,634.0,QAT,-0.648
11,642.0,ROU,-0.889
185,643.0,RUS,
38,646.0,RWA,
10,659.0,KNA,-1.0190000000000001
59,662.0,LCA,-1.005
146,670.0,VCT,-1.018
49,674.0,SMR,-0.593
111,678.0,STP,-0.8059999999999999
162,682.0,SAU,
184,686.0,SEN,-0.898
209,688.0,SRB,-0.93
1,690.0,SYC,
81,694.0,SLE,-0.865
168,702.0,SGP,-1.02
142,703.0,SVK,-0.833
95,704.0,VNM,-0.8759999999999999
8,705.0,SVN,-0.6829999999999999
78,706.0,SOM,
208,710.0,ZAF,
35,716.0,ZWE,
39,724.0,ESP,-0.892
67,729.0,SDN,
32,740.0,SUR,
213,748.0,SWZ,
102,752.0,SWE,-1.042
144,756.0,CHE,-0.701
122,760.0,SYR,
133,762.0,TJK,-0.996
205,764.0,THA,-0.85
100,768.0,TGO,-0.728
137,776.0,TON,
152,780.0,TTO,-0.965
175,784.0,ARE,-0.6729999999999999
71,788.0,TUN,-0.5
80,792.0,TUR,
98,795.0,TKM,-0.919
161,800.0,UGA,
51,804.0,UKR,-0.9670000000000001
124,807.0,MKD,-0.705
127,818.0,EGY,
27,826.0,GBR,-0.8109999999999999
198,834.0,TZA,
0,840.0,USA,-0.5479999999999999
159,854.0,BFA,-0.7929999999999999
109,858.0,URY,
139,860.0,UZB,-0.929
22,862.0,VEN,-0.9490000000000001
24,882.0,WSM,
73,887.0,YEM,
220,894.0,ZMB,
6,,REU,
7,,GGY,-0.6990000000000001
19,,MAF,-1.001
20,,ABW,-0.935
26,,SPM,-1.7590000000000001
28,,FRO,-0.527
29,,MNP,
33,,TCA,-0.836
42,,ASM,
43,,GUM,
45,,CUW,-0.946
55,,MYT,
58,,NCL,-0.769
60,,SGS,
61,,FLK,
62,,MSR,-0.971
64,,PRI,-0.929
65,,BLM,-1.001
85,,PSE,-0.7240000000000001
104,,AIA,-1.001
105,,VGB,-0.9940000000000001
119,,IMN,-0.541
125,,VIR,-0.982
128,,MAC,-0.882
148,,ESH,-1.1
150,,TWN,-0.6859999999999999
151,,CYM,-0.16399999999999998
154,,NIU,
165,,JEY,-0.6990000000000001
172,,GUF,-0.752
180,,HMD,
186,,SJM,
194,,HKG,-0.871
195,,PYF,
199,,MTQ,-0.924
202,,ATF,
211,,ALA,-0.754
222,,SXM,-1.001
226,,GLP,-0.9620000000000001
