,id,Code,Temp
217,4.0,AFG,-0.355
92,8.0,ALB,-0.299
203,10.0,ATA,
116,12.0,DZA,-0.135
138,20.0,AND,-0.126
18,24.0,AGO,-0.17600000000000002
181,28.0,ATG,-0.45
54,31.0,AZE,-0.72
91,32.0,ARG,-0.38799999999999996
36,36.0,AUS,-0.287
41,40.0,AUT,-0.243
201,44.0,BHS,-0.21899999999999997
183,48.0,BHR,-0.501
176,50.0,BGD,-0.159
189,51.0,ARM,-0.7040000000000001
126,52.0,BRB,-0.517
57,56.0,BEL,-0.248
121,64.0,BTN,-0.14300000000000002
68,68.0,BOL,-0.40399999999999997
40,70.0,BIH,-0.142
123,72.0,BWA,-0.337
5,76.0,BRA,-0.37
156,84.0,BLZ,-0.252
79,90.0,SLB,
75,100.0,BGR,-0.255
135,104.0,MMR,-0.295
89,108.0,BDI,-0.20800000000000002
169,112.0,BLR,-0.047
2,116.0,KHM,-0.342
131,120.0,CMR,-0.48100000000000004
30,124.0,CAN,-0.456
166,132.0,CPV,-0.341
13,140.0,CAF,-0.413
204,144.0,LKA,0.087
117,148.0,TCD,-0.41700000000000004
145,152.0,CHL,-0.37
3,156.0,CHN,-0.368
225,170.0,COL,-0.5
216,174.0,COM,-0.22399999999999998
94,178.0,COG,-0.451
210,180.0,COD,-0.335
192,188.0,CRI,-0.355
140,191.0,HRV,-0.172
50,192.0,CUB,-0.35
173,196.0,CYP,-0.628
149,203.0,CZE,-0.28300000000000003
160,204.0,BEN,-0.425
90,208.0,DNK,-0.019
174,212.0,DMA,-0.5
170,214.0,DOM,-0.363
96,218.0,ECU,-0.45899999999999996
86,222.0,SLV,-0.289
9,226.0,GNQ,-0.42700000000000005
177,231.0,ETH,-0.127
77,232.0,ERI,-0.28300000000000003
158,233.0,EST,0.267
66,242.0,FJI,-0.141
48,246.0,FIN,0.226
34,250.0,FRA,-0.245
163,262.0,DJI,-0.10099999999999999
141,266.0,GAB,-0.392
93,268.0,GEO,-0.7909999999999999
4,270.0,GMB,-0.423
63,276.0,DEU,-0.27
15,288.0,GHA,-0.45
108,296.0,KIR,
74,300.0,GRC,-0.44
88,304.0,GRL,-1.729
76,308.0,GRD,-0.542
191,320.0,GTM,-0.304
214,324.0,GIN,-0.387
70,328.0,GUY,-0.519
118,332.0,HTI,-0.366
200,340.0,HND,-0.27899999999999997
107,348.0,HUN,-0.261
171,352.0,ISL,-0.34600000000000003
31,356.0,IND,-0.04
147,360.0,IDN,-0.5379999999999999
190,364.0,IRN,-0.515
84,368.0,IRQ,-0.882
83,372.0,IRL,-0.282
46,376.0,ISR,-0.748
87,380.0,ITA,-0.221
110,384.0,CIV,-0.7709999999999999
196,388.0,JAM,-0.44299999999999995
114,392.0,JPN,-0.535
130,398.0,KAZ,-0.9640000000000001
37,400.0,JOR,-0.804
206,404.0,KEN,-0.14300000000000002
153,408.0,PRK,-0.278
207,410.0,KOR,-0.183
178,414.0,KWT,-0.677
25,417.0,KGZ,-0.662
193,418.0,LAO,-0.264
188,422.0,LBN,-0.773
215,426.0,LSO,-0.371
99,428.0,LVA,0.212
197,430.0,LBR,-0.368
72,434.0,LBY,-0.313
164,438.0,LIE,-0.187
136,440.0,LTU,0.134
212,442.0,LUX,-0.285
120,450.0,MDG,-0.22699999999999998
82,454.0,MWI,-0.27699999999999997
52,458.0,MYS,-0.424
103,466.0,MLI,-0.326
106,470.0,MLT,-0.247
187,478.0,MRT,-0.26
167,480.0,MUS,-0.22
221,484.0,MEX,-0.462
218,492.0,MCO,-0.24
129,496.0,MNG,-0.353
134,498.0,MDA,-0.21100000000000002
21,499.0,MNE,-0.19899999999999998
14,504.0,MAR,-0.157
97,508.0,MOZ,-0.313
17,512.0,OMN,-0.32899999999999996
179,516.0,NAM,-0.3
224,524.0,NPL,-0.127
157,528.0,NLD,-0.252
223,554.0,NZL,-0.43799999999999994
53,558.0,NIC,-0.31
56,562.0,NER,-0.377
182,566.0,NGA,-0.445
69,578.0,NOR,0.068
113,583.0,FSM,
12,585.0,PLW,
101,586.0,PAK,-0.198
219,591.0,PAN,-0.42200000000000004
115,598.0,PNG,
155,600.0,PRY,-0.369
132,604.0,PER,
112,608.0,PHL,-0.5479999999999999
23,616.0,POL,-0.094
44,620.0,PRT,-0.076
16,624.0,GNB,-0.414
143,626.0,TLS,-0.632
47,634.0,QAT,-0.439
11,642.0,ROU,-0.231
185,643.0,RUS,-0.035
38,646.0,RWA,-0.21100000000000002
10,659.0,KNA,-0.462
59,662.0,LCA,-0.528
146,670.0,VCT,-0.537
49,674.0,SMR,-0.147
111,678.0,STP,-0.539
162,682.0,SAU,-0.547
184,686.0,SEN,-0.41200000000000003
209,688.0,SRB,-0.32299999999999995
1,690.0,SYC,-0.142
81,694.0,SLE,-0.33399999999999996
168,702.0,SGP,-0.344
142,703.0,SVK,-0.22399999999999998
95,704.0,VNM,-0.302
8,705.0,SVN,-0.153
78,706.0,SOM,-0.10800000000000001
208,710.0,ZAF,-0.406
35,716.0,ZWE,-0.322
39,724.0,ESP,-0.105
67,729.0,SDN,-0.365
32,740.0,SUR,-0.484
213,748.0,SWZ,-0.449
102,752.0,SWE,0.16399999999999998
144,756.0,CHE,-0.257
122,760.0,SYR,-0.851
133,762.0,TJK,-0.634
205,764.0,THA,-0.28800000000000003
100,768.0,TGO,-0.441
137,776.0,TON,-0.18
152,780.0,TTO,-0.562
175,784.0,ARE,-0.377
71,788.0,TUN,-0.046
80,792.0,TUR,-0.677
98,795.0,TKM,-0.597
161,800.0,UGA,-0.19399999999999998
51,804.0,UKR,-0.387
124,807.0,MKD,-0.312
127,818.0,EGY,-0.493
27,826.0,GBR,-0.18100000000000002
198,834.0,TZA,-0.158
0,840.0,USA,-0.478
159,854.0,BFA,-0.40700000000000003
109,858.0,URY,-0.511
139,860.0,UZB,-0.7170000000000001
22,862.0,VEN,-0.5660000000000001
24,882.0,WSM,-0.3
73,887.0,YEM,-0.255
220,894.0,ZMB,-0.24100000000000002
6,,REU,-0.374
7,,GGY,-0.21100000000000002
19,,MAF,-0.42
20,,ABW,-0.58
26,,SPM,-0.794
28,,FRO,-0.264
29,,MNP,
33,,TCA,-0.293
42,,ASM,-0.304
43,,GUM,
45,,CUW,-0.703
55,,MYT,-0.175
58,,NCL,-0.491
60,,SGS,-0.42200000000000004
61,,FLK,-0.29
62,,MSR,-0.486
64,,PRI,-0.39399999999999996
65,,BLM,-0.47100000000000003
85,,PSE,-0.6
104,,AIA,-0.42
105,,VGB,-0.413
119,,IMN,-0.115
125,,VIR,-0.402
128,,MAC,-0.5720000000000001
148,,ESH,-0.201
150,,TWN,-0.462
151,,CYM,-0.309
154,,NIU,-0.49200000000000005
165,,JEY,-0.21100000000000002
172,,GUF,-0.5379999999999999
180,,HMD,
186,,SJM,-0.124
194,,HKG,-0.5660000000000001
195,,PYF,-0.478
199,,MTQ,-0.546
202,,ATF,
211,,ALA,0.237
222,,SXM,-0.42
226,,GLP,-0.498
