,id,Code,Temp
217,4.0,AFG,-0.667
92,8.0,ALB,-0.252
203,10.0,ATA,
116,12.0,DZA,-0.617
138,20.0,AND,-0.275
18,24.0,AGO,
181,28.0,ATG,-0.5720000000000001
54,31.0,AZE,-0.784
91,32.0,ARG,-0.58
36,36.0,AUS,-0.41100000000000003
41,40.0,AUT,-0.14800000000000002
201,44.0,BHS,-0.35200000000000004
183,48.0,BHR,-0.6679999999999999
176,50.0,BGD,-1.005
189,51.0,ARM,-0.759
126,52.0,BRB,-0.672
57,56.0,BEL,-0.32899999999999996
121,64.0,BTN,-1.055
68,68.0,BOL,-0.672
40,70.0,BIH,-0.121
123,72.0,BWA,-0.508
5,76.0,BRA,
156,84.0,BLZ,-0.4
79,90.0,SLB,
75,100.0,BGR,-0.324
135,104.0,MMR,-0.815
89,108.0,BDI,-0.307
169,112.0,BLR,-0.361
2,116.0,KHM,-1.014
131,120.0,CMR,-0.696
30,124.0,CAN,-0.568
166,132.0,CPV,-0.86
13,140.0,CAF,-0.508
204,144.0,LKA,-0.895
117,148.0,TCD,-0.579
145,152.0,CHL,-0.496
3,156.0,CHN,-0.8270000000000001
225,170.0,COL,-0.608
216,174.0,COM,-0.61
94,178.0,COG,-0.537
210,180.0,COD,-0.469
192,188.0,CRI,-0.555
140,191.0,HRV,-0.08800000000000001
50,192.0,CUB,-0.33299999999999996
173,196.0,CYP,-0.6679999999999999
149,203.0,CZE,-0.29100000000000004
160,204.0,BEN,-0.853
90,208.0,DNK,-0.5479999999999999
174,212.0,DMA,-0.631
170,214.0,DOM,-0.415
96,218.0,ECU,
86,222.0,SLV,-0.505
9,226.0,GNQ,-0.7809999999999999
177,231.0,ETH,-0.52
77,232.0,ERI,-0.54
158,233.0,EST,-0.615
66,242.0,FJI,-0.927
48,246.0,FIN,-0.632
34,250.0,FRA,-0.293
163,262.0,DJI,-0.57
141,266.0,GAB,-0.718
93,268.0,GEO,-0.7190000000000001
4,270.0,GMB,-1.03
63,276.0,DEU,-0.253
15,288.0,GHA,-0.9740000000000001
108,296.0,KIR,
74,300.0,GRC,-0.402
88,304.0,GRL,-0.56
76,308.0,GRD,-0.6890000000000001
191,320.0,GTM,-0.455
214,324.0,GIN,-1.054
70,328.0,GUY,-0.7090000000000001
118,332.0,HTI,-0.414
200,340.0,HND,-0.46299999999999997
107,348.0,HUN,-0.141
171,352.0,ISL,-0.674
31,356.0,IND,-0.782
147,360.0,IDN,-0.79
190,364.0,IRN,-0.6829999999999999
84,368.0,IRQ,-0.7020000000000001
83,372.0,IRL,-0.31
46,376.0,ISR,-0.659
87,380.0,ITA,-0.198
110,384.0,CIV,-0.62
196,388.0,JAM,-0.395
114,392.0,JPN,-0.777
130,398.0,KAZ,-0.6729999999999999
37,400.0,JOR,-0.665
206,404.0,KEN,-0.433
153,408.0,PRK,-0.69
207,410.0,KOR,-0.705
178,414.0,KWT,-0.669
25,417.0,KGZ,-0.966
193,418.0,LAO,-1.03
188,422.0,LBN,-0.6829999999999999
215,426.0,LSO,
99,428.0,LVA,-0.51
197,430.0,LBR,-0.981
72,434.0,LBY,-0.51
164,438.0,LIE,-0.205
136,440.0,LTU,-0.41
212,442.0,LUX,-0.297
120,450.0,MDG,-0.6659999999999999
82,454.0,MWI,-0.478
52,458.0,MYS,-0.917
103,466.0,MLI,-0.9309999999999999
106,470.0,MLT,-0.33
187,478.0,MRT,-0.934
167,480.0,MUS,
221,484.0,MEX,-0.183
218,492.0,MCO,-0.309
129,496.0,MNG,-0.9279999999999999
134,498.0,MDA,-0.371
21,499.0,MNE,-0.201
14,504.0,MAR,-0.595
97,508.0,MOZ,-0.545
17,512.0,OMN,-0.58
179,516.0,NAM,
224,524.0,NPL,-0.9
157,528.0,NLD,-0.353
223,554.0,NZL,-0.851
53,558.0,NIC,-0.506
56,562.0,NER,-0.71
182,566.0,NGA,-0.722
69,578.0,NOR,-0.478
113,583.0,FSM,
12,585.0,PLW,
101,586.0,PAK,-0.665
219,591.0,PAN,-0.552
115,598.0,PNG,
155,600.0,PRY,-0.713
132,604.0,PER,
112,608.0,PHL,-0.937
