,id,Code,Temp
217,4.0,AFG,-0.154
92,8.0,ALB,-0.142
203,10.0,ATA,
116,12.0,DZA,-0.64
138,20.0,AND,-0.8320000000000001
18,24.0,AGO,-0.013000000000000001
181,28.0,ATG,-0.852
54,31.0,AZE,0.508
91,32.0,ARG,-0.113
36,36.0,AUS,-0.9670000000000001
41,40.0,AUT,-0.649
201,44.0,BHS,-0.691
183,48.0,BHR,-0.222
176,50.0,BGD,-0.573
189,51.0,ARM,0.622
126,52.0,BRB,-0.9059999999999999
57,56.0,BEL,-1.014
121,64.0,BTN,-0.46799999999999997
68,68.0,BOL,-1.29
40,70.0,BIH,-0.276
123,72.0,BWA,-0.33
5,76.0,BRA,-1.023
156,84.0,BLZ,-0.82
79,90.0,SLB,-0.308
75,100.0,BGR,-0.042
135,104.0,MMR,-0.6609999999999999
89,108.0,BDI,-0.41
169,112.0,BLR,-0.898
2,116.0,KHM,-0.7909999999999999
131,120.0,CMR,-0.039
30,124.0,CAN,-1.351
166,132.0,CPV,-0.42100000000000004
13,140.0,CAF,-0.43
204,144.0,LKA,-0.42200000000000004
117,148.0,TCD,-0.358
145,152.0,CHL,-0.18
3,156.0,CHN,-0.556
225,170.0,COL,-1.03
216,174.0,COM,-0.387
94,178.0,COG,-0.2
210,180.0,COD,-0.363
192,188.0,CRI,-1.011
140,191.0,HRV,-0.408
50,192.0,CUB,-0.8190000000000001
173,196.0,CYP,-0.13699999999999998
149,203.0,CZE,-0.6859999999999999
160,204.0,BEN,0.284
90,208.0,DNK,-0.5589999999999999
174,212.0,DMA,-0.868
170,214.0,DOM,-0.912
96,218.0,ECU,-0.8909999999999999
86,222.0,SLV,-0.8740000000000001
9,226.0,GNQ,-0.079
177,231.0,ETH,-0.622
77,232.0,ERI,-0.633
158,233.0,EST,-0.986
66,242.0,FJI,-0.35100000000000003
48,246.0,FIN,-1.079
34,250.0,FRA,-0.997
163,262.0,DJI,-0.504
141,266.0,GAB,-0.149
93,268.0,GEO,0.336
4,270.0,GMB,-0.46799999999999997
63,276.0,DEU,-0.759
15,288.0,GHA,0.21
108,296.0,KIR,-0.96
74,300.0,GRC,-0.1
88,304.0,GRL,-1.128
76,308.0,GRD,-0.924
191,320.0,GTM,-0.823
214,324.0,GIN,-0.35600000000000004
70,328.0,GUY,-1.034
118,332.0,HTI,-0.9520000000000001
200,340.0,HND,-0.8690000000000001
107,348.0,HUN,-0.484
171,352.0,ISL,-1.13
31,356.0,IND,-0.997
147,360.0,IDN,-0.569
190,364.0,IRN,0.10099999999999999
84,368.0,IRQ,0.094
83,372.0,IRL,-0.7959999999999999
46,376.0,ISR,-0.332
87,380.0,ITA,-0.542
110,384.0,CIV,-0.153
196,388.0,JAM,-0.8240000000000001
114,392.0,JPN,-0.851
130,398.0,KAZ,0.228
37,400.0,JOR,-0.303
206,404.0,KEN,-0.626
153,408.0,PRK,-1.079
207,410.0,KOR,-1.311
178,414.0,KWT,-0.031
25,417.0,KGZ,0.37
193,418.0,LAO,-1.044
188,422.0,LBN,-0.048
215,426.0,LSO,-0.9109999999999999
99,428.0,LVA,-0.958
197,430.0,LBR,-0.218
72,434.0,LBY,-0.45399999999999996
164,438.0,LIE,-0.851
136,440.0,LTU,-0.835
212,442.0,LUX,-1.001
120,450.0,MDG,-0.6920000000000001
82,454.0,MWI,-0.183
52,458.0,MYS,-0.7859999999999999
103,466.0,MLI,-0.324
106,470.0,MLT,-0.16
187,478.0,MRT,-0.44799999999999995
167,480.0,MUS,-0.754
221,484.0,MEX,-0.517
218,492.0,MCO,-0.905
129,496.0,MNG,-0.39299999999999996
134,498.0,MDA,-0.46299999999999997
21,499.0,MNE,-0.139
14,504.0,MAR,-0.687
97,508.0,MOZ,-0.292
17,512.0,OMN,-0.57
179,516.0,NAM,-0.256
224,524.0,NPL,-0.922
157,528.0,NLD,-0.894
223,554.0,NZL,0.14800000000000002
53,558.0,NIC,-0.932
56,562.0,NER,-0.021
182,566.0,NGA,0.254
69,578.0,NOR,-1.358
113,583.0,FSM,
12,585.0,PLW,-0.41600000000000004
101,586.0,PAK,-0.65
219,591.0,PAN,-1.071
115,598.0,PNG,0.006999999999999999
155,600.0,PRY,-0.875
132,604.0,PER,-0.8490000000000001
112,608.0,PHL,-0.653
23,616.0,POL,-0.624
44,620.0,PRT,-0.867
16,624.0,GNB,-0.358
143,626.0,TLS,-0.445
47,634.0,QAT,-0.301
11,642.0,ROU,-0.261
185,643.0,RUS,0.034
38,646.0,RWA,-0.428
10,659.0,KNA,-0.866
59,662.0,LCA,-0.903
146,670.0,VCT,-0.905
49,674.0,SMR,-0.45299999999999996
111,678.0,STP,-0.12300000000000001
162,682.0,SAU,-0.35200000000000004
184,686.0,SEN,-0.493
209,688.0,SRB,-0.182
