,id,Code,Temp
217,4.0,AFG,-0.48
92,8.0,ALB,-0.08
203,10.0,ATA,
116,12.0,DZA,-0.46
138,20.0,AND,-0.284
18,24.0,AGO,-0.386
181,28.0,ATG,-0.478
54,31.0,AZE,-0.534
91,32.0,ARG,-0.556
36,36.0,AUS,-0.3
41,40.0,AUT,-0.078
201,44.0,BHS,-0.22
183,48.0,BHR,-0.325
176,50.0,BGD,-0.741
189,51.0,ARM,-0.47100000000000003
126,52.0,BRB,-0.561
57,56.0,BEL,-0.341
121,64.0,BTN,-0.716
68,68.0,BOL,-0.32299999999999995
40,70.0,BIH,-0.067
123,72.0,BWA,-0.488
5,76.0,BRA,-0.575
156,84.0,BLZ,-0.2
79,90.0,SLB,-0.32899999999999996
75,100.0,BGR,-0.075
135,104.0,MMR,-0.638
89,108.0,BDI,-0.462
169,112.0,BLR,-0.19
2,116.0,KHM,-0.7609999999999999
131,120.0,CMR,-0.35700000000000004
30,124.0,CAN,-0.39
166,132.0,CPV,-0.594
13,140.0,CAF,-0.467
204,144.0,LKA,-0.705
117,148.0,TCD,-0.51
145,152.0,CHL,-0.396
3,156.0,CHN,-0.597
225,170.0,COL,-0.529
216,174.0,COM,-0.41700000000000004
94,178.0,COG,-0.322
210,180.0,COD,-0.371
192,188.0,CRI,-0.386
140,191.0,HRV,-0.039
50,192.0,CUB,-0.259
173,196.0,CYP,-0.342
149,203.0,CZE,-0.16399999999999998
160,204.0,BEN,-0.28
90,208.0,DNK,-0.215
174,212.0,DMA,-0.508
170,214.0,DOM,-0.467
96,218.0,ECU,-0.39399999999999996
86,222.0,SLV,-0.273
9,226.0,GNQ,-0.35100000000000003
177,231.0,ETH,-0.5720000000000001
77,232.0,ERI,-0.522
158,233.0,EST,-0.134
66,242.0,FJI,-0.569
48,246.0,FIN,-0.228
34,250.0,FRA,-0.316
163,262.0,DJI,-0.628
141,266.0,GAB,-0.36
93,268.0,GEO,-0.53
4,270.0,GMB,-0.59
63,276.0,DEU,-0.2
15,288.0,GHA,-0.337
108,296.0,KIR,-0.46799999999999997
74,300.0,GRC,-0.16
88,304.0,GRL,-0.23
76,308.0,GRD,-0.613
191,320.0,GTM,-0.198
214,324.0,GIN,-0.613
70,328.0,GUY,-0.625
118,332.0,HTI,-0.462
200,340.0,HND,-0.29
107,348.0,HUN,-0.142
171,352.0,ISL,-0.248
31,356.0,IND,-0.625
147,360.0,IDN,-0.616
190,364.0,IRN,-0.434
84,368.0,IRQ,-0.34
83,372.0,IRL,-0.18600000000000003
46,376.0,ISR,-0.37799999999999995
87,380.0,ITA,-0.044000000000000004
110,384.0,CIV,-0.6659999999999999
196,388.0,JAM,-0.406
114,392.0,JPN,-0.5770000000000001
130,398.0,KAZ,-0.659
37,400.0,JOR,-0.374
206,404.0,KEN,-0.53
153,408.0,PRK,-0.611
207,410.0,KOR,-0.677
178,414.0,KWT,-0.319
25,417.0,KGZ,-0.8059999999999999
193,418.0,LAO,-0.7759999999999999
188,422.0,LBN,-0.35700000000000004
215,426.0,LSO,-0.631
99,428.0,LVA,-0.134
197,430.0,LBR,-0.539
72,434.0,LBY,-0.371
164,438.0,LIE,-0.191
136,440.0,LTU,-0.131
212,442.0,LUX,-0.28800000000000003
120,450.0,MDG,-0.47100000000000003
82,454.0,MWI,-0.48
52,458.0,MYS,-0.7490000000000001
103,466.0,MLI,-0.532
106,470.0,MLT,-0.091
187,478.0,MRT,-0.5529999999999999
167,480.0,MUS,
221,484.0,MEX,-0.024
218,492.0,MCO,-0.263
129,496.0,MNG,-0.574
134,498.0,MDA,-0.24600000000000002
21,499.0,MNE,-0.08800000000000001
14,504.0,MAR,-0.5
97,508.0,MOZ,-0.505
17,512.0,OMN,-0.424
179,516.0,NAM,-0.5
224,524.0,NPL,-0.705
157,528.0,NLD,-0.33299999999999996
223,554.0,NZL,-0.449
53,558.0,NIC,-0.34299999999999997
56,562.0,NER,-0.46
182,566.0,NGA,-0.298
69,578.0,NOR,-0.149
113,583.0,FSM,-0.435
12,585.0,PLW,-0.551
101,586.0,PAK,-0.43200000000000005
219,591.0,PAN,-0.45799999999999996
115,598.0,PNG,-0.271
155,600.0,PRY,-0.54
132,604.0,PER,-0.265
112,608.0,PHL,-0.727
23,616.0,POL,-0.091
44,620.0,PRT,-0.201
16,624.0,GNB,-0.62
143,626.0,TLS,-0.5660000000000001
47,634.0,QAT,-0.35700000000000004
11,642.0,ROU,-0.166
185,643.0,RUS,-0.139
38,646.0,RWA,-0.475
10,659.0,KNA,-0.48700000000000004
59,662.0,LCA,-0.562
146,670.0,VCT,-0.569
49,674.0,SMR,0.063
111,678.0,STP,-0.35200000000000004
162,682.0,SAU,-0.375
184,686.0,SEN,-0.569
209,688.0,SRB,-0.19
1,690.0,SYC,-0.46299999999999997
81,694.0,SLE,-0.609
168,702.0,SGP,-0.7
142,703.0,SVK,-0.128
95,704.0,VNM,-0.7979999999999999
8,705.0,SVN,0.008
78,706.0,SOM,-0.557
208,710.0,ZAF,-0.614
35,716.0,ZWE,-0.479
39,724.0,ESP,-0.29100000000000004
67,729.0,SDN,-0.563
32,740.0,SUR,-0.605
213,748.0,SWZ,-0.6
102,752.0,SWE,-0.134
144,756.0,CHE,-0.245
122,760.0,SYR,-0.358
133,762.0,TJK,-0.6659999999999999
