,id,Code,Temp
217,4.0,AFG,-0.376
92,8.0,ALB,0.168
203,10.0,ATA,
116,12.0,DZA,-0.013000000000000001
138,20.0,AND,0.24
18,24.0,AGO,-0.038
181,28.0,ATG,-0.109
54,31.0,AZE,-0.494
91,32.0,ARG,-0.299
36,36.0,AUS,-0.147
41,40.0,AUT,0.163
201,44.0,BHS,-0.046
183,48.0,BHR,-0.04
176,50.0,BGD,-0.14400000000000002
189,51.0,ARM,-0.40700000000000003
126,52.0,BRB,-0.142
57,56.0,BEL,0.226
121,64.0,BTN,-0.124
68,68.0,BOL,-0.35600000000000004
40,70.0,BIH,0.245
123,72.0,BWA,-0.018000000000000002
5,76.0,BRA,-0.174
156,84.0,BLZ,-0.23600000000000002
79,90.0,SLB,-0.113
75,100.0,BGR,0.10400000000000001
135,104.0,MMR,-0.19699999999999998
89,108.0,BDI,-0.018000000000000002
169,112.0,BLR,-0.063
2,116.0,KHM,-0.46299999999999997
131,120.0,CMR,0.222
30,124.0,CAN,-0.062
166,132.0,CPV,0.012
13,140.0,CAF,0.174
204,144.0,LKA,-0.252
117,148.0,TCD,0.228
145,152.0,CHL,-0.33
3,156.0,CHN,-0.331
225,170.0,COL,-0.306
216,174.0,COM,-0.066
94,178.0,COG,0.055
210,180.0,COD,0.027999999999999997
192,188.0,CRI,-0.21899999999999997
140,191.0,HRV,0.196
50,192.0,CUB,-0.147
173,196.0,CYP,-0.217
149,203.0,CZE,0.12300000000000001
160,204.0,BEN,0.33299999999999996
90,208.0,DNK,0.063
174,212.0,DMA,-0.126
170,214.0,DOM,-0.127
96,218.0,ECU,-0.336
86,222.0,SLV,-0.149
9,226.0,GNQ,0.11900000000000001
177,231.0,ETH,0.037000000000000005
77,232.0,ERI,0.154
158,233.0,EST,0.11
66,242.0,FJI,-0.20199999999999999
48,246.0,FIN,0.217
34,250.0,FRA,0.21600000000000003
163,262.0,DJI,0.022000000000000002
141,266.0,GAB,0.043
93,268.0,GEO,-0.41700000000000004
4,270.0,GMB,0.35200000000000004
63,276.0,DEU,0.111
15,288.0,GHA,0.386
108,296.0,KIR,-0.139
74,300.0,GRC,0.052000000000000005
88,304.0,GRL,-0.18899999999999997
76,308.0,GRD,-0.156
191,320.0,GTM,-0.19
214,324.0,GIN,0.442
70,328.0,GUY,-0.17800000000000002
118,332.0,HTI,-0.145
200,340.0,HND,-0.18899999999999997
107,348.0,HUN,0.11900000000000001
171,352.0,ISL,-0.22
31,356.0,IND,-0.087
147,360.0,IDN,-0.245
190,364.0,IRN,-0.3
84,368.0,IRQ,-0.16699999999999998
83,372.0,IRL,-0.024
46,376.0,ISR,-0.14800000000000002
87,380.0,ITA,0.081
110,384.0,CIV,0.256
196,388.0,JAM,-0.16
114,392.0,JPN,-0.27
130,398.0,KAZ,-0.639
37,400.0,JOR,-0.141
206,404.0,KEN,-0.07400000000000001
153,408.0,PRK,-0.337
207,410.0,KOR,-0.325
178,414.0,KWT,-0.12
25,417.0,KGZ,-0.622
193,418.0,LAO,-0.413
188,422.0,LBN,-0.187
215,426.0,LSO,-0.231
99,428.0,LVA,0.046
197,430.0,LBR,0.405
72,434.0,LBY,0.013000000000000001
164,438.0,LIE,0.187
136,440.0,LTU,-0.005
212,442.0,LUX,0.20199999999999999
120,450.0,MDG,0.003
82,454.0,MWI,0.001
52,458.0,MYS,-0.32
103,466.0,MLI,0.271
106,470.0,MLT,0.008
187,478.0,MRT,0.12300000000000001
167,480.0,MUS,
221,484.0,MEX,-0.263
218,492.0,MCO,0.171
129,496.0,MNG,-0.645
134,498.0,MDA,-0.11800000000000001
21,499.0,MNE,0.23399999999999999
14,504.0,MAR,-0.032
97,508.0,MOZ,0.015
17,512.0,OMN,-0.015
179,516.0,NAM,-0.063
224,524.0,NPL,-0.043
157,528.0,NLD,0.171
223,554.0,NZL,-0.45899999999999996
53,558.0,NIC,-0.19399999999999998
56,562.0,NER,0.27699999999999997
182,566.0,NGA,0.33299999999999996
69,578.0,NOR,0.063
113,583.0,FSM,-0.142
12,585.0,PLW,-0.209
101,586.0,PAK,-0.18100000000000002
219,591.0,PAN,-0.265
115,598.0,PNG,-0.064
155,600.0,PRY,-0.318
132,604.0,PER,-0.376
112,608.0,PHL,-0.314
23,616.0,POL,0.013999999999999999
44,620.0,PRT,0.077
16,624.0,GNB,0.401
143,626.0,TLS,-0.369
47,634.0,QAT,-0.043
11,642.0,ROU,0.021
185,643.0,RUS,-0.094
38,646.0,RWA,-0.003
10,659.0,KNA,-0.11900000000000001
59,662.0,LCA,-0.151
146,670.0,VCT,-0.157
49,674.0,SMR,0.113
111,678.0,STP,0.073
162,682.0,SAU,0.005
184,686.0,SEN,0.32299999999999995
209,688.0,SRB,0.19399999999999998
1,690.0,SYC,-0.184
