,id,Code,Temp
217,4.0,AFG,-0.266
92,8.0,ALB,-0.053
203,10.0,ATA,
116,12.0,DZA,0.003
138,20.0,AND,0.075
18,24.0,AGO,0.08199999999999999
181,28.0,ATG,-0.23399999999999999
54,31.0,AZE,-0.31
91,32.0,ARG,-0.184
36,36.0,AUS,-0.16699999999999998
41,40.0,AUT,-0.111
201,44.0,BHS,-0.026000000000000002
183,48.0,BHR,-0.16899999999999998
176,50.0,BGD,-0.205
189,51.0,ARM,-0.298
126,52.0,BRB,-0.235
57,56.0,BEL,-0.034
121,64.0,BTN,-0.131
68,68.0,BOL,-0.16
40,70.0,BIH,-0.087
123,72.0,BWA,-0.077
5,76.0,BRA,-0.175
156,84.0,BLZ,-0.149
79,90.0,SLB,-0.19399999999999998
75,100.0,BGR,-0.14
135,104.0,MMR,-0.203
89,108.0,BDI,0.019
169,112.0,BLR,-0.115
2,116.0,KHM,-0.24
131,120.0,CMR,0.19
30,124.0,CAN,0.175
166,132.0,CPV,0.035
13,140.0,CAF,0.18100000000000002
204,144.0,LKA,-0.062
117,148.0,TCD,0.17
145,152.0,CHL,-0.152
3,156.0,CHN,-0.132
225,170.0,COL,-0.214
216,174.0,COM,-0.018000000000000002
94,178.0,COG,0.139
210,180.0,COD,0.081
192,188.0,CRI,-0.159
140,191.0,HRV,-0.098
50,192.0,CUB,-0.131
173,196.0,CYP,-0.018000000000000002
149,203.0,CZE,-0.16399999999999998
160,204.0,BEN,0.17300000000000001
90,208.0,DNK,0.02
174,212.0,DMA,-0.24
170,214.0,DOM,-0.182
96,218.0,ECU,-0.22399999999999998
86,222.0,SLV,-0.12300000000000001
9,226.0,GNQ,0.136
177,231.0,ETH,0.03
77,232.0,ERI,-0.016
158,233.0,EST,0.18899999999999997
66,242.0,FJI,-0.18899999999999997
48,246.0,FIN,0.384
34,250.0,FRA,-0.005
163,262.0,DJI,-0.002
141,266.0,GAB,0.11699999999999999
93,268.0,GEO,-0.37200000000000005
4,270.0,GMB,0.022000000000000002
63,276.0,DEU,-0.067
15,288.0,GHA,0.062
108,296.0,KIR,-0.043
74,300.0,GRC,-0.053
88,304.0,GRL,0.787
76,308.0,GRD,-0.225
191,320.0,GTM,-0.132
214,324.0,GIN,-0.01
70,328.0,GUY,-0.25
118,332.0,HTI,-0.16399999999999998
200,340.0,HND,-0.126
107,348.0,HUN,-0.154
171,352.0,ISL,0.457
31,356.0,IND,-0.20199999999999999
147,360.0,IDN,-0.18600000000000003
190,364.0,IRN,-0.18899999999999997
84,368.0,IRQ,-0.151
83,372.0,IRL,-0.001
46,376.0,ISR,-0.006999999999999999
87,380.0,ITA,-0.037000000000000005
110,384.0,CIV,0.025
196,388.0,JAM,-0.157
114,392.0,JPN,-0.43
130,398.0,KAZ,-0.445
37,400.0,JOR,-0.051
206,404.0,KEN,0.040999999999999995
153,408.0,PRK,-0.16899999999999998
207,410.0,KOR,-0.22899999999999998
178,414.0,KWT,-0.192
25,417.0,KGZ,-0.442
193,418.0,LAO,-0.214
188,422.0,LBN,0.006
215,426.0,LSO,-0.096
99,428.0,LVA,0.098
197,430.0,LBR,-0.027000000000000003
72,434.0,LBY,0.002
164,438.0,LIE,-0.087
136,440.0,LTU,-0.002
212,442.0,LUX,-0.05
120,450.0,MDG,-0.092
82,454.0,MWI,-0.111
52,458.0,MYS,-0.20199999999999999
103,466.0,MLI,0.037000000000000005
106,470.0,MLT,0.099
187,478.0,MRT,0.026000000000000002
167,480.0,MUS,-0.16699999999999998
221,484.0,MEX,-0.047
218,492.0,MCO,-0.021
129,496.0,MNG,-0.324
134,498.0,MDA,-0.325
21,499.0,MNE,-0.055
14,504.0,MAR,-0.025
97,508.0,MOZ,-0.146
17,512.0,OMN,-0.18899999999999997
179,516.0,NAM,0.043
224,524.0,NPL,-0.21
157,528.0,NLD,-0.02
223,554.0,NZL,-0.465
53,558.0,NIC,-0.132
56,562.0,NER,0.14800000000000002
182,566.0,NGA,0.226
69,578.0,NOR,0.293
113,583.0,FSM,-0.075
12,585.0,PLW,-0.109
101,586.0,PAK,-0.223
219,591.0,PAN,-0.174
115,598.0,PNG,-0.098
155,600.0,PRY,-0.146
132,604.0,PER,-0.203
112,608.0,PHL,-0.18600000000000003
23,616.0,POL,-0.08800000000000001
44,620.0,PRT,-0.011000000000000001
16,624.0,GNB,-0.001
143,626.0,TLS,-0.249
47,634.0,QAT,-0.17600000000000002
11,642.0,ROU,-0.239
185,643.0,RUS,0.17300000000000001
38,646.0,RWA,0.026000000000000002
10,659.0,KNA,-0.242
59,662.0,LCA,-0.23800000000000002
146,670.0,VCT,-0.23800000000000002
49,674.0,SMR,-0.086
111,678.0,STP,0.064
162,682.0,SAU,-0.11
184,686.0,SEN,0.005
209,688.0,SRB,-0.11699999999999999
1,690.0,SYC,-0.037000000000000005
81,694.0,SLE,-0.028999999999999998
168,702.0,SGP,-0.203
142,703.0,SVK,-0.18600000000000003
95,704.0,VNM,-0.22899999999999998
8,705.0,SVN,-0.111
78,706.0,SOM,-0.006999999999999999
208,710.0,ZAF,-0.048
35,716.0,ZWE,-0.11900000000000001
39,724.0,ESP,0.040999999999999995
67,729.0,SDN,0.073
32,740.0,SUR,-0.239
213,748.0,SWZ,-0.04
