,id,Code,Temp
217,4.0,AFG,-0.057999999999999996
92,8.0,ALB,-0.015
203,10.0,ATA,0.096
116,12.0,DZA,-0.069
138,20.0,AND,-0.04
18,24.0,AGO,0.028999999999999998
181,28.0,ATG,-0.127
54,31.0,AZE,0.034
91,32.0,ARG,0.013000000000000001
36,36.0,AUS,-0.071
41,40.0,AUT,0.102
201,44.0,BHS,-0.027999999999999997
183,48.0,BHR,-0.027000000000000003
176,50.0,BGD,-0.11
189,51.0,ARM,-0.034
126,52.0,BRB,-0.11900000000000001
57,56.0,BEL,0.011000000000000001
121,64.0,BTN,-0.16
68,68.0,BOL,-0.048
40,70.0,BIH,0.092
123,72.0,BWA,-0.022000000000000002
5,76.0,BRA,-0.028999999999999998
156,84.0,BLZ,0.013999999999999999
79,90.0,SLB,-0.09699999999999999
75,100.0,BGR,0.133
135,104.0,MMR,-0.024
89,108.0,BDI,0.015
169,112.0,BLR,0.335
2,116.0,KHM,-0.022000000000000002
131,120.0,CMR,0.098
30,124.0,CAN,-0.256
166,132.0,CPV,-0.035
13,140.0,CAF,0.086
204,144.0,LKA,-0.011000000000000001
117,148.0,TCD,0.09300000000000001
145,152.0,CHL,-0.12300000000000001
3,156.0,CHN,-0.064
225,170.0,COL,-0.17800000000000002
216,174.0,COM,-0.064
94,178.0,COG,0.052000000000000005
210,180.0,COD,0.057999999999999996
192,188.0,CRI,-0.075
140,191.0,HRV,0.11900000000000001
50,192.0,CUB,-0.053
173,196.0,CYP,-0.073
149,203.0,CZE,0.128
160,204.0,BEN,0.129
90,208.0,DNK,0.141
174,212.0,DMA,-0.128
170,214.0,DOM,-0.16899999999999998
96,218.0,ECU,-0.312
86,222.0,SLV,0.040999999999999995
9,226.0,GNQ,0.067
177,231.0,ETH,-0.084
77,232.0,ERI,-0.081
158,233.0,EST,0.19899999999999998
66,242.0,FJI,-0.165
48,246.0,FIN,0.005
34,250.0,FRA,-0.027999999999999997
163,262.0,DJI,-0.133
141,266.0,GAB,0.063
93,268.0,GEO,0.10099999999999999
4,270.0,GMB,0.127
63,276.0,DEU,0.084
15,288.0,GHA,0.094
108,296.0,KIR,-0.011000000000000001
74,300.0,GRC,0.011000000000000001
88,304.0,GRL,-0.503
76,308.0,GRD,-0.121
191,320.0,GTM,0.06
214,324.0,GIN,0.171
70,328.0,GUY,-0.11
118,332.0,HTI,-0.151
200,340.0,HND,0.015
107,348.0,HUN,0.21899999999999997
171,352.0,ISL,-0.284
31,356.0,IND,0.004
147,360.0,IDN,0.033
190,364.0,IRN,-0.063
84,368.0,IRQ,-0.18899999999999997
83,372.0,IRL,-0.021
46,376.0,ISR,-0.135
87,380.0,ITA,-0.016
110,384.0,CIV,0.099
196,388.0,JAM,-0.115
114,392.0,JPN,-0.10400000000000001
130,398.0,KAZ,0.156
37,400.0,JOR,-0.15
206,404.0,KEN,-0.037000000000000005
153,408.0,PRK,-0.19399999999999998
207,410.0,KOR,-0.21
178,414.0,KWT,-0.105
25,417.0,KGZ,-0.006
193,418.0,LAO,-0.021
188,422.0,LBN,-0.139
215,426.0,LSO,-0.08800000000000001
99,428.0,LVA,0.251
197,430.0,LBR,0.115
72,434.0,LBY,0.01
164,438.0,LIE,0.013999999999999999
136,440.0,LTU,0.287
212,442.0,LUX,0.02
120,450.0,MDG,-0.061
82,454.0,MWI,-0.109
52,458.0,MYS,0.054000000000000006
103,466.0,MLI,0.102
106,470.0,MLT,-0.081
187,478.0,MRT,0.016
167,480.0,MUS,-0.055999999999999994
221,484.0,MEX,-0.106
218,492.0,MCO,0.04
129,496.0,MNG,-0.034
134,498.0,MDA,0.252
21,499.0,MNE,0.057999999999999996
14,504.0,MAR,-0.136
97,508.0,MOZ,-0.099
17,512.0,OMN,-0.08199999999999999
179,516.0,NAM,-0.04
224,524.0,NPL,-0.065
157,528.0,NLD,0.077
223,554.0,NZL,0.145
53,558.0,NIC,-0.027999999999999997
56,562.0,NER,0.10400000000000001
182,566.0,NGA,0.131
69,578.0,NOR,-0.021
113,583.0,FSM,-0.003
12,585.0,PLW,0.071
101,586.0,PAK,0.016
219,591.0,PAN,-0.16
115,598.0,PNG,-0.017
155,600.0,PRY,0.048
132,604.0,PER,-0.252
112,608.0,PHL,0.122
23,616.0,POL,0.192
44,620.0,PRT,-0.26
16,624.0,GNB,0.13
143,626.0,TLS,0.054000000000000006
47,634.0,QAT,0.015
11,642.0,ROU,0.20600000000000002
185,643.0,RUS,0.005
38,646.0,RWA,0.027999999999999997
10,659.0,KNA,-0.121
59,662.0,LCA,-0.127
146,670.0,VCT,-0.131
49,674.0,SMR,0.055
111,678.0,STP,0.059000000000000004
162,682.0,SAU,-0.154
184,686.0,SEN,0.12300000000000001
209,688.0,SRB,0.161
1,690.0,SYC,-0.071
81,694.0,SLE,0.154
168,702.0,SGP,-0.009000000000000001
142,703.0,SVK,0.188
95,704.0,VNM,0.011000000000000001
8,705.0,SVN,0.1
78,706.0,SOM,-0.12
208,710.0,ZAF,-0.069
35,716.0,ZWE,-0.025
39,724.0,ESP,-0.207
67,729.0,SDN,0.03
32,740.0,SUR,-0.10400000000000001
213,748.0,SWZ,-0.065
102,752.0,SWE,0.033
144,756.0,CHE,0.011000000000000001
122,760.0,SYR,-0.151
133,762.0,TJK,-0.021
205,764.0,THA,-0.038
100,768.0,TGO,0.129
137,776.0,TON,-0.085
152,780.0,TTO,-0.12
175,784.0,ARE,-0.03
71,788.0,TUN,-0.076
80,792.0,TUR,-0.054000000000000006
98,795.0,TKM,0.07200000000000001
161,800.0,UGA,0.027000000000000003
51,804.0,UKR,0.36700000000000005
124,807.0,MKD,0.038
127,818.0,EGY,-0.042
27,826.0,GBR,-0.018000000000000002
198,834.0,TZA,-0.026000000000000002
0,840.0,USA,-0.207
159,854.0,BFA,0.09
109,858.0,URY,-0.045
139,860.0,UZB,0.091
22,862.0,VEN,-0.1
24,882.0,WSM,-0.147
73,887.0,YEM,-0.133
220,894.0,ZMB,-0.018000000000000002
6,,REU,-0.055
7,,GGY,0.0
19,,MAF,-0.094
20,,ABW,-0.166
26,,SPM,-0.142
28,,FRO,-0.069
29,,MNP,0.033
33,,TCA,-0.066
42,,ASM,-0.142
43,,GUM,0.004
45,,CUW,-0.184
55,,MYT,-0.021
58,,NCL,-0.064
60,,SGS,-0.14400000000000002
61,,FLK,-0.035
62,,MSR,-0.12
64,,PRI,-0.115
65,,BLM,-0.135
85,,PSE,-0.158
104,,AIA,-0.094
105,,VGB,-0.084
119,,IMN,-0.018000000000000002
125,,VIR,-0.11
128,,MAC,-0.113
148,,ESH,-0.081
150,,TWN,-0.027000000000000003
151,,CYM,-0.08199999999999999
154,,NIU,-0.183
165,,JEY,0.0
172,,GUF,-0.159
180,,HMD,0.135
186,,SJM,-0.23
194,,HKG,-0.092
195,,PYF,0.022000000000000002
