,id,Code,Temp
217,4.0,AFG,-0.001
92,8.0,ALB,-0.306
203,10.0,ATA,0.42700000000000005
116,12.0,DZA,-0.193
138,20.0,AND,-0.06
18,24.0,AGO,0.785
181,28.0,ATG,0.124
54,31.0,AZE,-0.7959999999999999
91,32.0,ARG,-0.831
36,36.0,AUS,-0.389
41,40.0,AUT,-0.46399999999999997
201,44.0,BHS,-0.075
183,48.0,BHR,-0.2
176,50.0,BGD,0.08
189,51.0,ARM,-0.27899999999999997
126,52.0,BRB,0.042
57,56.0,BEL,-0.21899999999999997
121,64.0,BTN,0.326
68,68.0,BOL,-0.138
40,70.0,BIH,-0.48700000000000004
123,72.0,BWA,0.8270000000000001
5,76.0,BRA,0.18
156,84.0,BLZ,-0.084
79,90.0,SLB,0.158
75,100.0,BGR,-0.31
135,104.0,MMR,0.068
89,108.0,BDI,0.564
169,112.0,BLR,0.156
2,116.0,KHM,-0.057
131,120.0,CMR,0.7040000000000001
30,124.0,CAN,0.259
166,132.0,CPV,-0.065
13,140.0,CAF,0.6890000000000001
204,144.0,LKA,-0.188
117,148.0,TCD,0.426
145,152.0,CHL,-0.5670000000000001
3,156.0,CHN,-0.546
225,170.0,COL,-0.304
216,174.0,COM,-0.013999999999999999
94,178.0,COG,0.556
210,180.0,COD,0.5870000000000001
192,188.0,CRI,0.071
140,191.0,HRV,-0.5489999999999999
50,192.0,CUB,-0.086
173,196.0,CYP,-0.26899999999999996
149,203.0,CZE,-0.46399999999999997
160,204.0,BEN,0.431
90,208.0,DNK,0.159
174,212.0,DMA,0.039
170,214.0,DOM,0.154
96,218.0,ECU,-0.281
86,222.0,SLV,0.099
9,226.0,GNQ,0.6890000000000001
177,231.0,ETH,0.5870000000000001
77,232.0,ERI,0.505
158,233.0,EST,0.762
66,242.0,FJI,0.21600000000000003
48,246.0,FIN,0.838
34,250.0,FRA,-0.067
163,262.0,DJI,0.249
141,266.0,GAB,0.667
93,268.0,GEO,-0.321
4,270.0,GMB,0.061
63,276.0,DEU,-0.425
15,288.0,GHA,0.5710000000000001
108,296.0,KIR,0.11199999999999999
74,300.0,GRC,-0.215
88,304.0,GRL,-1.187
76,308.0,GRD,0.063
191,320.0,GTM,0.055
214,324.0,GIN,0.31
70,328.0,GUY,-0.294
118,332.0,HTI,0.10400000000000001
200,340.0,HND,0.185
107,348.0,HUN,-0.40299999999999997
171,352.0,ISL,0.045
31,356.0,IND,0.145
147,360.0,IDN,0.002
190,364.0,IRN,-0.203
84,368.0,IRQ,-0.268
83,372.0,IRL,0.505
46,376.0,ISR,-0.301
87,380.0,ITA,-0.48
110,384.0,CIV,0.405
196,388.0,JAM,0.095
114,392.0,JPN,-0.7190000000000001
130,398.0,KAZ,-0.75
37,400.0,JOR,-0.35600000000000004
206,404.0,KEN,0.544
153,408.0,PRK,-0.505
207,410.0,KOR,-0.24600000000000002
178,414.0,KWT,-0.254
25,417.0,KGZ,-0.561
193,418.0,LAO,-0.065
188,422.0,LBN,-0.36700000000000005
215,426.0,LSO,0.484
99,428.0,LVA,0.5489999999999999
197,430.0,LBR,0.48
72,434.0,LBY,-0.14800000000000002
164,438.0,LIE,-0.374
136,440.0,LTU,0.354
