,id,Code,Temp
217,4.0,AFG,0.257
92,8.0,ALB,-0.066
203,10.0,ATA,0.34299999999999997
116,12.0,DZA,0.775
138,20.0,AND,1.082
18,24.0,AGO,0.313
181,28.0,ATG,0.155
54,31.0,AZE,0.6679999999999999
91,32.0,ARG,0.71
36,36.0,AUS,0.39
41,40.0,AUT,0.998
201,44.0,BHS,0.48200000000000004
183,48.0,BHR,0.067
176,50.0,BGD,0.13699999999999998
189,51.0,ARM,0.531
126,52.0,BRB,0.20199999999999999
57,56.0,BEL,1.032
121,64.0,BTN,0.344
68,68.0,BOL,0.276
40,70.0,BIH,0.42
123,72.0,BWA,0.009000000000000001
5,76.0,BRA,0.23800000000000002
156,84.0,BLZ,-0.03
79,90.0,SLB,0.479
75,100.0,BGR,0.12
135,104.0,MMR,0.10300000000000001
89,108.0,BDI,0.025
169,112.0,BLR,2.386
2,116.0,KHM,0.278
131,120.0,CMR,-0.19
30,124.0,CAN,-0.39299999999999996
166,132.0,CPV,0.478
13,140.0,CAF,-0.46
204,144.0,LKA,0.053
117,148.0,TCD,-0.529
145,152.0,CHL,0.665
3,156.0,CHN,0.728
225,170.0,COL,-0.028999999999999998
216,174.0,COM,0.276
94,178.0,COG,0.32299999999999995
210,180.0,COD,0.10300000000000001
192,188.0,CRI,-0.145
140,191.0,HRV,0.563
50,192.0,CUB,0.46399999999999997
173,196.0,CYP,-0.084
149,203.0,CZE,1.2309999999999999
160,204.0,BEN,0.237
90,208.0,DNK,1.494
174,212.0,DMA,0.282
170,214.0,DOM,0.122
96,218.0,ECU,0.001
86,222.0,SLV,-0.217
9,226.0,GNQ,0.285
177,231.0,ETH,0.16
77,232.0,ERI,-0.14800000000000002
158,233.0,EST,2.6010000000000004
66,242.0,FJI,0.35
48,246.0,FIN,2.678
34,250.0,FRA,0.8059999999999999
163,262.0,DJI,0.11800000000000001
141,266.0,GAB,0.354
93,268.0,GEO,0.359
4,270.0,GMB,0.7
63,276.0,DEU,1.186
15,288.0,GHA,0.391
108,296.0,KIR,0.348
74,300.0,GRC,-0.22399999999999998
88,304.0,GRL,-0.9840000000000001
76,308.0,GRD,0.128
191,320.0,GTM,-0.099
214,324.0,GIN,0.28
70,328.0,GUY,0.152
118,332.0,HTI,0.259
200,340.0,HND,-0.215
107,348.0,HUN,0.907
171,352.0,ISL,-0.446
31,356.0,IND,0.095
147,360.0,IDN,0.35200000000000004
190,364.0,IRN,0.28
84,368.0,IRQ,0.27
83,372.0,IRL,0.588
46,376.0,ISR,-0.048
87,380.0,ITA,0.315
110,384.0,CIV,0.29
196,388.0,JAM,0.244
114,392.0,JPN,0.779
130,398.0,KAZ,1.4369999999999998
37,400.0,JOR,-0.02
206,404.0,KEN,0.318
153,408.0,PRK,1.109
207,410.0,KOR,0.852
178,414.0,KWT,0.22399999999999998
25,417.0,KGZ,0.305
193,418.0,LAO,0.11800000000000001
188,422.0,LBN,0.033
215,426.0,LSO,0.040999999999999995
99,428.0,LVA,2.45
197,430.0,LBR,0.29
72,434.0,LBY,0.126
164,438.0,LIE,1.1159999999999999
136,440.0,LTU,2.327
212,442.0,LUX,1.0190000000000001
120,450.0,MDG,0.376
82,454.0,MWI,0.387
52,458.0,MYS,0.215
103,466.0,MLI,0.48100000000000004
106,470.0,MLT,0.37200000000000005
187,478.0,MRT,0.914
167,480.0,MUS,0.284
221,484.0,MEX,0.168
218,492.0,MCO,0.657
129,496.0,MNG,1.189
134,498.0,MDA,1.16
21,499.0,MNE,0.069
14,504.0,MAR,1.1540000000000001
97,508.0,MOZ,0.32
17,512.0,OMN,-0.147
179,516.0,NAM,0.163
224,524.0,NPL,-0.028999999999999998
157,528.0,NLD,1.091
223,554.0,NZL,0.737
53,558.0,NIC,-0.20800000000000002
56,562.0,NER,-0.262
182,566.0,NGA,-0.095
69,578.0,NOR,1.455
113,583.0,FSM,0.109
12,585.0,PLW,0.42200000000000004
101,586.0,PAK,0.253
219,591.0,PAN,-0.145
115,598.0,PNG,0.446
155,600.0,PRY,0.09
132,604.0,PER,0.133
112,608.0,PHL,0.265
23,616.0,POL,1.81
44,620.0,PRT,1.4340000000000002
16,624.0,GNB,0.563
143,626.0,TLS,0.48200000000000004
47,634.0,QAT,-0.07200000000000001
11,642.0,ROU,0.585
185,643.0,RUS,1.4140000000000001
38,646.0,RWA,0.0
10,659.0,KNA,0.124
59,662.0,LCA,0.17800000000000002
146,670.0,VCT,0.157
49,674.0,SMR,0.131
111,678.0,STP,0.35100000000000003
162,682.0,SAU,-0.059000000000000004
184,686.0,SEN,0.735
209,688.0,SRB,0.47200000000000003
1,690.0,SYC,0.37799999999999995
81,694.0,SLE,0.278
168,702.0,SGP,0.248
142,703.0,SVK,1.149
95,704.0,VNM,0.146
8,705.0,SVN,0.62
78,706.0,SOM,0.207
208,710.0,ZAF,0.06
35,716.0,ZWE,0.4
39,724.0,ESP,1.291
67,729.0,SDN,-0.365
32,740.0,SUR,0.27899999999999997
213,748.0,SWZ,0.21899999999999997
102,752.0,SWE,2.097
144,756.0,CHE,0.828
122,760.0,SYR,0.195
133,762.0,TJK,0.285
205,764.0,THA,0.255
100,768.0,TGO,0.33899999999999997
137,776.0,TON,0.428
152,780.0,TTO,0.128
175,784.0,ARE,-0.023
71,788.0,TUN,0.753
80,792.0,TUR,0.048
98,795.0,TKM,0.68
161,800.0,UGA,0.06
51,804.0,UKR,1.766
124,807.0,MKD,-0.045
127,818.0,EGY,-0.006999999999999999
27,826.0,GBR,0.731
198,834.0,TZA,0.185
0,840.0,USA,0.047
159,854.0,BFA,0.254
109,858.0,URY,0.479
139,860.0,UZB,0.79
22,862.0,VEN,0.05
24,882.0,WSM,-0.046
73,887.0,YEM,-0.092
220,894.0,ZMB,0.233
6,,REU,0.24100000000000002
7,,GGY,0.9540000000000001
19,,MAF,0.139
20,,ABW,-0.048
26,,SPM,-0.606
28,,FRO,0.381
29,,MNP,0.5
33,,TCA,0.331
42,,ASM,-0.069
43,,GUM,0.48700000000000004
45,,CUW,-0.004
55,,MYT,0.067
58,,NCL,0.43700000000000006
60,,SGS,1.286
61,,FLK,1.047
62,,MSR,0.193
64,,PRI,-0.003
65,,BLM,0.139
85,,PSE,0.187
104,,AIA,0.139
105,,VGB,0.11800000000000001
119,,IMN,0.818
125,,VIR,0.066
128,,MAC,0.22699999999999998
148,,ESH,0.991
150,,TWN,-0.022000000000000002
151,,CYM,0.331
154,,NIU,0.19
165,,JEY,0.9540000000000001
172,,GUF,0.26899999999999996
180,,HMD,0.634
186,,SJM,-0.512
194,,HKG,0.218
195,,PYF,0.023
199,,MTQ,0.33399999999999996
202,,ATF,0.634
211,,ALA,2.036
222,,SXM,0.139
226,,GLP,0.221
