,id,Code,Temp
217,4.0,AFG,0.912
92,8.0,ALB,1.636
203,10.0,ATA,0.43700000000000006
116,12.0,DZA,1.354
138,20.0,AND,1.633
18,24.0,AGO,1.3619999999999999
181,28.0,ATG,0.9670000000000001
54,31.0,AZE,1.527
91,32.0,ARG,0.715
36,36.0,AUS,1.047
41,40.0,AUT,1.879
201,44.0,BHS,
183,48.0,BHR,1.403
176,50.0,BGD,0.802
189,51.0,ARM,1.531
126,52.0,BRB,0.861
57,56.0,BEL,1.2209999999999999
121,64.0,BTN,0.7959999999999999
68,68.0,BOL,0.833
40,70.0,BIH,1.8230000000000002
123,72.0,BWA,1.4069999999999998
5,76.0,BRA,1.088
156,84.0,BLZ,0.722
79,90.0,SLB,0.8029999999999999
75,100.0,BGR,1.673
135,104.0,MMR,
89,108.0,BDI,1.06
169,112.0,BLR,1.7169999999999999
2,116.0,KHM,0.982
131,120.0,CMR,1.139
30,124.0,CAN,1.475
166,132.0,CPV,
13,140.0,CAF,1.06
204,144.0,LKA,1.0979999999999999
117,148.0,TCD,1.165
145,152.0,CHL,0.7979999999999999
3,156.0,CHN,0.767
225,170.0,COL,0.777
216,174.0,COM,0.8340000000000001
94,178.0,COG,
210,180.0,COD,
192,188.0,CRI,0.91
140,191.0,HRV,1.794
50,192.0,CUB,0.9990000000000001
173,196.0,CYP,0.938
149,203.0,CZE,
160,204.0,BEN,1.0270000000000001
90,208.0,DNK,1.355
174,212.0,DMA,0.898
170,214.0,DOM,0.977
96,218.0,ECU,0.856
86,222.0,SLV,0.887
9,226.0,GNQ,1.043
177,231.0,ETH,1.012
77,232.0,ERI,1.143
158,233.0,EST,1.7
66,242.0,FJI,0.645
48,246.0,FIN,1.716
34,250.0,FRA,1.3869999999999998
163,262.0,DJI,1.197
141,266.0,GAB,1.0590000000000002
93,268.0,GEO,1.4869999999999999
4,270.0,GMB,1.012
63,276.0,DEU,1.485
15,288.0,GHA,1.06
108,296.0,KIR,1.054
74,300.0,GRC,1.453
88,304.0,GRL,
76,308.0,GRD,0.8420000000000001
191,320.0,GTM,0.715
214,324.0,GIN,0.9159999999999999
70,328.0,GUY,0.951
118,332.0,HTI,0.9640000000000001
200,340.0,HND,0.8270000000000001
107,348.0,HUN,1.81
171,352.0,ISL,0.9840000000000001
31,356.0,IND,0.799
147,360.0,IDN,1.003
190,364.0,IRN,1.442
84,368.0,IRQ,1.4269999999999998
83,372.0,IRL,0.7979999999999999
46,376.0,ISR,0.991
87,380.0,ITA,1.5419999999999998
110,384.0,CIV,
196,388.0,JAM,0.98
